Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
O[C@]12C(C[C@]3([C@@H](NC)c4c(C)cccc4[C@H]3CC2)C1)=C,+,3-17,239.0,Low
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,3-19,49.0,Low
O=C1[C@]2(C)[C@H](N=[N+]=[N-])C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,neutral,3-21,16.0,Low
COc1ccc2nccc([C@@H]3SC(N4[C@H]3C[C@@H]([C@@H](C=C)CN(C)C)CC4)=O)c2c1,+,3-24,48.0,Low
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[N+](C)(C)C)C=C)=O)ccn2,+,3-25,44.0,Low
O=C(NC[C@H](C=C)[C@@H]1C[C@H]2[C@H](c3c4c(ncc3)ccc(OC)c4)SC(=O)N2CC1)C,neutral,3-26,91.0,Low
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CO)[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,neutral,3-29,21.0,Low
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,neutral,3-30,61.0,Low
O=C(OC)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,3-31,38.0,Low
COc1c(O)c2c(C=C[C@]3(CCN(C)C)C2=CC(C(OC)=C3)=O)cc1,+,3-33,126.0,Low
O=S(O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1)(c3ccc(C)cc3)=O,+,3-34,877.0,High
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1)c1ccc(C)cc1,neutral,3-35,25.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(C)cc1,neutral,3-36,111.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(C)cc1,neutral,3-37,152.0,Low
O=S(O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1)(c3ccccc3)=O,+,3-38,616.0,High
O=S(O[C@H]1[C@H]2OC[C@H](NC)[C@H]2OC1)(c3ccccc3)=O,+,3-39,339.0,High
O=S(O[C@H]1[C@H]2OC[C@H](N(C)C)[C@H]2OC1)(c3ccccc3)=O,+,3-40,116.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccccc1,neutral,3-41,93.0,Low
N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1,+,3-42,552.0,High
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,neutral,3-43,20.0,Low
O=C(N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1)C,neutral,3-44,103.0,Low
O=C1[C@]2(CO)C[C@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1,+,3-45,542.0,High
O=C1[C@]2(CO)C[C@]3([C@@H](NC)C4C(C)CCCC4[C@H]3CC2)C1,+,3-46,179.0,Low
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,neutral,3-48,86.0,Low
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2)C,neutral,3-49,69.0,Low
O=C1[C@]2(C)C[C@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1,+,3-50,515.0,High
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,neutral,3-52,28.0,Low
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2)C,neutral,3-53,49.0,Low
O=C(O)[C@@]12C(C[C@@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1)=O,±,3-54,238.0,Low
O=S(O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1)(c3ccc(c4ccccc4)cc3)=O,+,2-1,1965.0,High
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@H](N)[C@H]3OC2)=O)cc1,+,2-2,1647.0,High
O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)CN)=C,+,2-3,1335.0,High
NC[C@H]1c2c(C)cccc2[C@@H]3[C@]14C[C@@H](N)[C@](CC3)(C)C4,+ +,2-4,946.0,High
O[C@]12C(C[C@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1)=C,+,2-5,756.0,High
O=C1[C@]2(C)[C@H](N)C=C[C@]3(O1)[C@@H]2[C@H](CN)[C@@]45[C@H]3CC[C@@](C5)(O)C(C4)=C,+ +,2-6,504.0,High
COc1ccc2nccc([C@@H]3SC(N4[C@H]3C[C@@H]([C@@H](C=C)CN)CC4)=O)c2c1,+,2-7,458.0,High
O=S(O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1)(c3ccc(N)cc3)=O,+,2-8,331.0,Low
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN)[C@@]45[C@H]3CC[C@@](C5)(O)C(C4)=C,+,2-9,309.0,High
