refcode, mean, STD, min, max, median
4-9_8971_vol,260.1535,29.036711495105642,214.73,319.342,264.283
2-87_2606_vol,286.74010000000004,27.367931808779417,240.127,322.053,283.91549999999995
3-54_11009_vol,207.4215,20.16606466443069,174.286,251.746,206.5605
4-57_9052_vol,335.0674,27.92889308655107,290.168,394.017,332.92949999999996
