refcode, mean, STD, min, max, median
2-1_9304_vol,241.69340000000003,23.463255158651794,208.307,282.499,233.989
4-28a_8960_vol,279.46840000000003,20.04054138091084,255.913,325.707,277.7235
4-44_11278_vol,334.3476,29.4823400027881,265.244,373.436,340.281
4-33_9018_vol,255.2772,14.218990222937776,225.702,272.399,260.725
4-36_9022_vol,239.48449999999997,26.369223311466726,182.851,286.975,242.53199999999998
2-6_8849_vol,242.8587,20.679352446583042,215.191,274.113,243.37099999999998
