Canonical SMILES,name
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H](NC(=O)C)[C@H]3OC2)cc1,3-7
O[C@]12C(C[C@]3([C@@H](CNC)c4c(C)cccc4[C@H]3CC2)C1)=C,3-9
O[C@]12C(C[C@]3([C@@H](CN(C)C)c4c(C)cccc4[C@H]3CC2)C1)=C,3-10
CC1=C(C2=CC=C1)[C@@H]([C@@]3([C@@]2(CC[C@@]4(C3)O)[H])CC4=C)C[N+](C)(C)C,3-11
CC1=C([C@H](CNC(C)=O)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,3-12
OC[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@@H](O)[C@](C)(C3)CC2,3-15
O[C@]12C(C[C@]3([C@@H](NC)c4c(C)cccc4[C@H]3CC2)C1)=C,3-17
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,3-19
O=C1[C@]2(C)[C@H](N=[N+]=[N-])C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,3-21
COc1ccc2nccc([C@@H]3SC(N4[C@H]3C[C@@H]([C@@H](C=C)CN(C)C)CC4)=O)c2c1,3-24
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[N+](C)(C)C)C=C)=O)ccn2,3-25
O=C(NC[C@H](C=C)[C@@H]1C[C@H]2[C@H](c3c4c(ncc3)ccc(OC)c4)SC(=O)N2CC1)C,3-26
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CO)[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,3-29
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,3-30
O=C(OC)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,3-31
COc1c(O)c2c(C=C[C@]3(CCN(C)C)C2=CC(C(OC)=C3)=O)cc1,3-33
O=S(O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1)(c3ccc(C)cc3)=O,3-34
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1)c1ccc(C)cc1,3-35
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(C)cc1,3-36
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(C)cc1,3-37
O=S(O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1)(c3ccccc3)=O,3-38
O=S(O[C@H]1[C@H]2OC[C@H](NC)[C@H]2OC1)(c3ccccc3)=O,3-39
O=S(O[C@H]1[C@H]2OC[C@H](N(C)C)[C@H]2OC1)(c3ccccc3)=O,3-40
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccccc1,3-41
N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1,3-42
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,3-43
O=C(N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1)C,3-44
O=C1[C@]2(CO)C[C@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1,3-45
O=C1[C@]2(CO)C[C@]3([C@@H](NC)C4C(C)CCCC4[C@H]3CC2)C1,3-46
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,3-48
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2)C,3-49
O=C1[C@]2(C)C[C@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1,3-50
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,3-52
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2)C,3-53
O=C(O)[C@@]12C(C[C@@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1)=O,3-54
O=S(O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1)(c3ccc(c4ccccc4)cc3)=O,2-1
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@H](N)[C@H]3OC2)=O)cc1,2-2
O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)CN)=C,2-3
NC[C@H]1c2c(C)cccc2[C@@H]3[C@]14C[C@@H](N)[C@](CC3)(C)C4,2-4
O[C@]12C(C[C@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1)=C,2-5
O=C1[C@]2(C)[C@H](N)C=C[C@]3(O1)[C@@H]2[C@H](CN)[C@@]45[C@H]3CC[C@@](C5)(O)C(C4)=C,2-6
COc1ccc2nccc([C@@H]3SC(N4[C@H]3C[C@@H]([C@@H](C=C)CN)CC4)=O)c2c1,2-7
O=S(O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1)(c3ccc(N)cc3)=O,2-8
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN)[C@@]45[C@H]3CC[C@@](C5)(O)C(C4)=C,2-9
COC1=C[C@@H]2[C@H](N(C)CC[C@@]23CNC1=O)[C@H](N)c4c3c(OCO5)c5cc4,2-10
CO[C@H]1[C@H](N)C[C@]23[C@@H]([C@@H](NCC3)Cc4c2c(O)c(OC)cc4)C1,2-11
COc1ccc2nccc([C@H](N)[C@H]3N4C[C@H](C=C)[C@H](C3)CC4)c2c1,2-12
N[C@@H]1[C@H]2OC[C@H](N)[C@H]2OC1,2-13
O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1,2-14
COc1c(O)c2c(C=C[C@]3(CCNC)C2=CC(C(OC)=C3)=O)cc1,2-15
OCCN[C@H]1c2c(C)cccc2[C@@H]3[C@@]14CC([C@@](CC3)(O)C4)=C,2-16
Oc1c(O)cccc1CN[C@H]2c3c(C)cccc3[C@@H]4[C@@]25CC([C@@](CC4)(O)C5)=C,2-17
COc1ccc2nccc([C@@H]3SC(N4[C@H]3C[C@@H]([C@@H](C=C)CNC)CC4)=O)c2c1,2-18
O=C(CC[C@H]1[C@@H](C=C)CNCC1)c(ccn2)c3c2ccc(OC)c3,2-19
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@H](NC)[C@H]3OC2)=O)cc1,2-20
O=C(NC1CC1)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)[C@H]5O[C@@]35[C@H]6[C@]27CC([C@](CC6)(CNC(C)(C)C)C7)=O,2-21
COc1c(O)c2c(C([C@@H]3NCC[C@]42[C@@H]3C=C(OC)C(C4)=O)=O)cc1,2-22
O=C1[C@]2(CO)C[C@]3([C@@H](NCCO)c4c(C)cccc4[C@H]3CC2)C1,2-23
O=C(NC1CC1)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)[C@H]5O[C@@]35[C@H]6[C@]27CC([C@](CC6)(CNC8CC8)C7)=O,2-24
O=C1[C@]2(C)C[C@]3([C@@H](NCCO)c4c(C)cccc4[C@H]3CC2)C1,2-25
O=C(NC1CCC1)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]5[C@]26CC([C@](CC5)(CNCc7occc7)C6)=O,2-26
O=C(OC)[C@H](NC[C@@]12C(C[C@@]3([C@@H](C(OC)=O)c4c(C)cccc4[C@H]3CC2)C1)=O)CO,2-27
O=C(OC)[C@H](NC[C@@]12C(C[C@@]3([C@@H](C(OC)=O)c4c(C)cccc4[C@H]3CC2)C1)=O)C,2-28
COc1c(O[C@H]2[C@]34CCN5C)c4c(C[C@H]5[C@H]3C=C(OC)C2=O)cc1,2-29
COc1ccc2nccc([C@@H](O)[C@H]3N4C[C@H](C=C)[C@H](C3)CC4)c2c1,2-30
COc1c(O)c2c(C[C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)C(C4)=O)cc1,2-32
COC1=C[C@@H]2[C@@H](N(C)CC[C@@]23CC1=O)C=C4C3=C(O)C(C=C4)=O,2-33
COc1c(O[C@H]2[C@]34[C@@H]([C@@H](N(C)CC4)C5)CCOC(NC2)=O)c3c5cc1,2-34
COc1c(O)c2c(C[C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)/C(C4)=N/O)cc1,2-35
COC(C(C[C@](CCN(C)C)1c2c(OCO3)c3ccc24)=O)=CC1=CC4=O,2-36
COc1c(O)c2c(C=CC([C@]32C[C@](O)4N(C)CC3)=CC4=O)cc1,2-37
COc1c(O)c2c(C([C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)/C(C4)=N/O)=O)cc1,2-38
O=C(NCCCN(C)C)CC[C@@]1(C)C(CC[C@@H]2[C@@H]1C(C[C@]3(C)C(CC[C@@H]23)=O)=O)=O,2-39
CO[C@H]1[C@H]2N(C)CC[C@@]3([C@@H]2C=C(OC)C(C3)=O)C(C(C(OC)=C4)=O)=C1C4=O,2-40
COc1c(O)c([C@@]2(CCN(C)C)C(C=C3)=Cc(c(C2)n4)nc5c4cccc5)c3cc1,2-41
O=C(O)[C@H]1c2c(C)cccc2[C@@H]3[C@]14CC([C@](CC3)(C)C4)=O,2-42
O=C(O)[C@H]1[C@@H]2[C@@]([C@@H](O)C=CC2=C3[C@@]14CC([C@@](CC3)(O)C4)=C)(C(O)=O)C,2-43
O=C(O)CC[C@@]1(C)C(CC[C@@H]2[C@@H]1C(C[C@]3(C)C(CC[C@@H]23)=O)=O)=O,2-44
O=C(O)CO[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,2-45
O=C(O)[C@H]1c2c(C)cccc2[C@@H]3[C@]14CC([C@](CC3)(CO)C4)=O,2-46
O=C(O[C@@H]1[C@@]2(C)C(O[C@]3([C@@H]2[C@H](C(O)=O)[C@@]45[C@H]3CC[C@@](C5)(O)C(C4)=C)C=C1)=O)C,2-47
O=C(NCc1occc1)[C@H]2[C@@H]3[C@@]([C@@H](O)[C@H](O)C=C3[C@H]4[C@@]25CC([C@@](CC4)(O)C5)=C)(C(O)=O)C,2-48
O=C(O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]4[C@@]15CC([C@@](CC4)(O)C5)=C,2-49
O=C(NC1CC1)[C@H]2[C@@H]3[C@@]([C@@H](O)[C@H](O)C=C3[C@H]4[C@@]25CC([C@@](CC4)(O)C5)=C)(C(O)=O)C,2-50
O=C(NCc1sccc1)[C@H]2[C@@H]3[C@@]([C@@H](O)[C@H](O)C=C3[C@H]4[C@@]25CC([C@@](CC4)(O)C5)=C)(C(O)=O)C,2-51
O=C(O)[C@H]1c2c(C)cccc2[C@@H]3[C@@]14CC([C@@](CC3)(O)C4)=C,2-52
O=C(NCCc1cc(OCO2)c2cc1)[C@H]3[C@@H]4[C@@]([C@@H](O)[C@H](O)C=C4[C@H]5[C@@]36CC([C@@](CC5)(O)C6)=C)(C(O)=O)C,2-53
O=C(O)[C@H]1[C@@H]2[C@@]([C@@H](O)[C@H](O)C=C2[C@H]3[C@@]14CC([C@@](CC3)(O)C4)=C)(C(O)=O)C,2-54
O=C(O)[C@H](NC[C@@]12C(C[C@@]3([C@@H](C(O)=O)c4c(C)cccc4[C@H]3CC2)C1)=O)CC(O)=O,2-55
O=C(O)[C@@H](NC(CC[C@@]1(C)C(CC[C@@H]2[C@@H]1C(C[C@]3(C)C(CC[C@@H]23)=O)=O)=O)=O)CC(O)=O,2-56
O=C(O)[C@@]1(C)[C@H]2[C@@](CCC1)(C)[C@@H]3C(C=C(C(C)C)CC3)=CC2,2-57
O=C(NCc1c(OC)cc(OC)cc1)[C@H]2[C@@H]3[C@@]([C@@H](O)[C@H](O)C=C3[C@H]4[C@@]25CC([C@@](CC4)(O)C5)=C)(C(O)=O)C,2-58
O=C(NCCCCO)[C@H]1[C@@H]2[C@@]([C@@H](O)[C@H](O)C=C2[C@H]3[C@@]14CC([C@@](CC3)(O)C4)=C)(C(O)=O)C,2-59
O=C(O)CCNC(CC[C@@]1(C)C(CC[C@@H]2[C@@H]1C(C[C@]3(C)C(CC[C@@H]23)=O)=O)=O)=O,2-60
O=C(O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]4[C@@]15CC([C@@](CC4)(O)C5)=C,2-61
O(CC=C)[C@H]1[C@H]2OC[C@@H](OCC=C)[C@H]2OC1,2-62
O=C(OC)[C@@H](NC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21)Cc1[nH]cnc1,2-63
O=C(NCC#N)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-64
O=C(OC)[C@@H](NC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2)CO,2-65
Clc1c(F)ccc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)c1,2-66
O=C1[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,2-67
O=C(N1CCOCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-68
O=C1[C@]2(CI)C[C@@]3(C1)[C@@H](C(OC)=O)C([C@@]4(C=C5)[C@]3([H])CC2)[C@](C)(C(O4)=O)[C@H]5O,2-69
O=C(OC)CNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,2-70
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-71
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-72
O=C1NCC[C@]2(C)[C@H]3C(=O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,2-73
Clc1cc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)ccc1,2-74
O=C(N1CCC(O)CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-75
O[C@@]12C(=C)C[C@]3([C@@H](CC#N)c4c(C)cccc4[C@H]3CC1)C2,2-76
O=C1NCC[C@]2(C)[C@H]3[C@H](O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,2-77
O=C1[C@@H]2[C@]3(C)C(=CNC(=O)CC3)CC[C@H]2[C@H](CCC#N)C(C)=C1,2-78
O=C(NCCc1cc2OCOc2cc1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-79
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H](O)C=CC2=C2[C@]31CC(=C)[C@@](O)(C3)CC2,2-80
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,2-81
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C=O)(C3)CC2,2-82
O=C(NCC1CCCCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,2-83
O=C(OCC)CCNC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-84
O=C(OCC=C)N[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-85
O=C(OCC)CCNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,2-86
O=C1[C@@H]2[C@]3(C)[C@]4(O[C@H]4C[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-87
O=C1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-88
O[C@@H]1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-89
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-90
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)C)[C@H]2OC1)C,2-91
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H]3O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CO3,2-92
O=C(OCC=C)N[C@H]1[C@@H]2[C@]3(C)C(=O)O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CC3=O,2-93
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c([N+](=O)[O-])cccc1,2-94
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(N)cc1,2-95
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c(N)cccc1,2-96
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3ccc(N)cc3)[C@H]2OC1)c1ccc(N)cc1,2-97
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3c(N)cccc3)[C@H]2OC1)c1c(N)cccc1,2-98
O=C(O)[C@]1(C)[C@@H](O)[C@H](O)C=C2[C@@H]1[C@H](N)[C@@]34[C@H]2CC[C@@](C4)(O)C(C3)=C,2-99
COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[N+](C)(C)[O-])c3c1O,2-100
O=C(N[C@@H]1C(N2[C@@H](C(O)=O)C(S[C@H]12)(C)C)=O)[C@H](N)c3ccccc3,Ampcillin
O=C(N)C1=C([C@]2(C(C3=C(O)c4c(O)cccc4[C@]([C@H]3C[C@H]2[C@@H](C1=O)N(C)C)(O)C)=O)O)O,Tetracycline
Fc1c(N2CCNCC2)cc(N(C3CC3)C=C(C(O)=O)C4=O)c4c1,Ciprofloxacin
ClC(C(N[C@H](CO)[C@@H](c1ccc([N+]([O-])=O)cc1)O)=O)Cl,Chloramphenicol
