No.	NAME	IDDE	rGes	Yindex	IC1	IC3	TIC1	SIC0	CIC3	BIC1	BIC5
424	2-59	4.63161566522558	0.967741935483871	0.784275849322807	3.57793840768926	5.61609123298939	225.410119684423	0.246635585282518	0.361188690510528	0.583745015166981	0.91627213451609
425	2-39	4.51315340892067	0.96551724137931	0.639068748756172	2.7674275573094	4.99864336165158	182.650218782421	0.230963601676407	1.04575075770688	0.448535039998456	0.864188250868281
426	4-58	4.72640976555739	0.90625	0.568863808006079	3.82756084708056	5.10464834742216	218.170968283592	0.253152752953467	0.728241666742577	0.614492255637617	0.875852358446205
427	4-15	2.35538854220753	0.666666666666667	1.46636247920499	2.72143983529728	3.17225392836493	81.6431950589184	0.231608451917234	1.73463666724359	0.539497860576245	0.655299166457411
428	2-16	4.36852252772821	0.954545454545455	0.918314414065014	3.47327143234235	5.11090234442609	166.717028752433	0.235588513349329	0.474060156295069	0.600770684483985	0.891238266845611
429	2-65	4.875	1	0.701685005468553	3.75636322898909	5.57811807519687	229.138156968335	0.256655682384455	0.352619262366019	0.612855242383861	0.910076767507006
430	3-24	4.51315340892067	0.96551724137931	0.612712076821278	3.70910633955923	5.33578436281115	218.837274033995	0.256636658752874	0.546858686550688	0.60616801101311	0.872011071751705
431	4-30	4.26269239083962	1	0.857088072925658	3.71917050047571	5.13948725584089	174.801013522359	0.260347997559315	0.415101595836744	0.646262937212507	0.893064765194589
432	4-33	4.37366068968818	1	0.807615898702262	3.63508495181978	5.21366068968818	181.754247590989	0.267142816734134	0.430195500086541	0.62053546347168	0.890009833426345
433	2-99	4.05350885479768	0.958333333333333	0.940908516513208	3.74176213981281	5.21655117055752	183.346344850828	0.262997533286187	0.398158673557688	0.647211439042532	0.902305241162239
434	4-35	4.08877934736136	1	0.792254312341061	3.02174316799306	5.11324878594275	172.239360575605	0.22268003275767	0.719641228221997	0.51156240649515	0.909464357679689
435	2-41	4.50689059560852	0.966666666666667	0.625858411623605	3.74668802110048	5.15977166301313	209.814529181627	0.246452103141907	0.647583259044474	0.610254366491552	0.857866351764961
436	3-38	3.7216117239699	0.789473684210526	0.775110815950146	3.33702427542495	4.45757515967848	116.795849639873	0.339204830153285	0.671707857266485	0.618847892990936	0.851846938555157
437	2-41	4.50689059560852	0.966666666666667	0.625858411623605	3.74668802110048	5.15977166301313	209.814529181627	0.246452103141907	0.647583259044474	0.610254366491552	0.857866351764961
438	4-43	4.48385618977472	0.96	0.679103484968204	3.93303567277201	4.96927448988345	184.852676620284	0.316149550131353	0.585314361794191	0.685022779385048	0.865506063459624
439	3-29	4.22017552146435	1	0.919837348069065	3.49107878593137	5.23590234442609	167.571781724706	0.245148008226543	0.349060156295068	0.603850816921925	0.905652407716034
440	2-99	4.05350885479768	0.958333333333333	0.940908516513208	3.74176213981281	5.21655117055752	183.346344850828	0.262997533286187	0.398158673557688	0.647211439042532	0.902305241162239
441	2-54	4.39274741044879	0.923076923076923	0.961982527162752	3.5896617192458	5.27756901109275	172.303762523798	0.259657805840891	0.307393489628401	0.620902676380488	0.912859478151245
442	2-84	4.875	1	0.625281927974603	3.61036000678528	5.57236285993917	227.452680427473	0.247758194311833	0.404917063560743	0.585154601707688	0.90314920499626
443	2-19	4.08496250072116	1	0.63411549530319	3.64321272301056	5.23195703794861	178.517423427517	0.249293474417989	0.382752806166597	0.620610966616245	0.891249059959583
444	3-34	3.62192809488736	0.8	0.73726717658312	3.41730849214524	4.57661764490867	129.857722701519	0.324174279972112	0.671309868534919	0.622250528592817	0.842930271924036
445	2-73	4.14291467335425	1	0.905706819809157	3.27813026911344	5.09693406435153	154.072122648332	0.254020192408537	0.457654787326106	0.567017177887188	0.881615107329853
446	4-44	4.7606479232901	0.935483870967742	0.789383168270459	3.26943723496367	5.18520038435846	219.052294742566	0.245810398646538	0.880888806099311	0.526525773276746	0.865707739971109
447	4-39	3.25162916738782	1	1.56322318309402	2.99795269866069	3.76718346789146	77.946770165178	0.314038857992852	0.933256250249631	0.617119066885515	0.838800271073675
448	4-18	3.23592635062903	0.714285714285714	0.951148878208516	2.45687143891028	3.68200581476021	68.7924002894878	0.246625469211868	1.12534910729739	0.478989252648727	0.778798977403311
449	3-38	3.7216117239699	0.789473684210526	0.775110815950146	3.33702427542495	4.45757515967848	116.795849639873	0.339204830153285	0.671707857266485	0.618847892990936	0.851846938555157
450	4-30	4.26269239083962	1	0.857088072925658	3.71917050047571	5.13948725584089	174.801013522359	0.260347997559315	0.415101595836744	0.646262937212507	0.893064765194589
