No.	NAME	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_4	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_m_1	P_VSA_m_2	P_VSA_m_3	P_VSA_m_4	P_VSA_e_2	P_VSA_e_4	P_VSA_i_1	P_VSA_i_4	P_VSA_s_3	P_VSA_s_4	P_VSA_s_5	P_VSA_ppp_L	P_VSA_ppp_P	P_VSA_ppp_D	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
1	2-6	93.8051262390362	61.6358381077815	32.3362575085443	14.1854628383465	0	0	230.589802896395	118.542528896156	0	21.0690355606751	26.1438254229868	18.9524949468603	0	247.193141928397	131.959730874653	78.8281580809454	0	66.1653559305221	0	0	65.794374944131	22.6207367256516	27.7776992087503	0	56.8683211124106	65.794374944131	42.6833431609212	0	0	50.4674152181333	119.477605992659	0	25.1449270324178	0	15.7669199961202	41.1014011162904	11.7711019965903	0	0	0	7.19133047612651
2	2-6	93.8051262390362	61.6358381077815	32.3362575085443	14.1854628383465	0	0	230.589802896395	118.542528896156	0	21.0690355606751	26.1438254229868	18.9524949468603	0	247.193141928397	131.959730874653	78.8281580809454	0	66.1653559305221	0	0	65.794374944131	22.6207367256516	27.7776992087503	0	56.8683211124106	65.794374944131	42.6833431609212	0	0	50.4674152181333	119.477605992659	0	25.1449270324178	0	15.7669199961202	41.1014011162904	11.7711019965903	0	0	0	7.19133047612651
3	2-11	63.1517694538808	18.9524949468603	53.6832310485276	22.6144658836707	0	0	203.93226411077	159.62314901784	0	12.243831298785	52.3331877543931	0	0	258.964243924987	115.484957208274	64.6831189361341	0	64.5770190531781	0	0	50.9079381550958	23.8584092948493	58.7293604413591	0	35.4617718051404	50.9079381550958	60.6940938439515	30.5670729429246	0	60.8216549247399	115.59105709123	0	0	0	9.47624747343013	15.1963541633702	0	5.24342809458423	0	0	0
4	2-6	93.8051262390362	61.6358381077815	32.3362575085443	14.1854628383465	0	0	230.589802896395	118.542528896156	0	21.0690355606751	26.1438254229868	18.9524949468603	0	247.193141928397	131.959730874653	78.8281580809454	0	66.1653559305221	0	0	65.794374944131	22.6207367256516	27.7776992087503	0	56.8683211124106	65.794374944131	42.6833431609212	0	0	50.4674152181333	119.477605992659	0	25.1449270324178	0	15.7669199961202	41.1014011162904	11.7711019965903	0	0	0	7.19133047612651
5	2-6	93.8051262390362	61.6358381077815	32.3362575085443	14.1854628383465	0	0	230.589802896395	118.542528896156	0	21.0690355606751	26.1438254229868	18.9524949468603	0	247.193141928397	131.959730874653	78.8281580809454	0	66.1653559305221	0	0	65.794374944131	22.6207367256516	27.7776992087503	0	56.8683211124106	65.794374944131	42.6833431609212	0	0	50.4674152181333	119.477605992659	0	25.1449270324178	0	15.7669199961202	41.1014011162904	11.7711019965903	0	0	0	7.19133047612651
6	2-6	93.8051262390362	61.6358381077815	32.3362575085443	14.1854628383465	0	0	230.589802896395	118.542528896156	0	21.0690355606751	26.1438254229868	18.9524949468603	0	247.193141928397	131.959730874653	78.8281580809454	0	66.1653559305221	0	0	65.794374944131	22.6207367256516	27.7776992087503	0	56.8683211124106	65.794374944131	42.6833431609212	0	0	50.4674152181333	119.477605992659	0	25.1449270324178	0	15.7669199961202	41.1014011162904	11.7711019965903	0	0	0	7.19133047612651
7	2-11	63.1517694538808	18.9524949468603	53.6832310485276	22.6144658836707	0	0	203.93226411077	159.62314901784	0	12.243831298785	52.3331877543931	0	0	258.964243924987	115.484957208274	64.6831189361341	0	64.5770190531781	0	0	50.9079381550958	23.8584092948493	58.7293604413591	0	35.4617718051404	50.9079381550958	60.6940938439515	30.5670729429246	0	60.8216549247399	115.59105709123	0	0	0	9.47624747343013	15.1963541633702	0	5.24342809458423	0	0	0
8	2-99	85.4247738129849	137.526276956194	31.8596250671182	6.3711499014801	0	0	224.315154812329	84.0004370153694	0	18.9633312186901	28.8527679323008	9.47624747343013	0	223.650937935216	90.1895340964865	179.81749590318	0	57.292346624421	0	0	32.8971874720655	23.2239748929806	18.3014517353202	0	50.5776485897205	32.8971874720655	128.050029482764	0	0	25.9855243317102	212.714683375246	0	0	0	37.2539466821805	13.3237019075401	0	0	0	0	0
9	2-6	93.8051262390362	61.6358381077815	32.3362575085443	14.1854628383465	0	0	230.589802896395	118.542528896156	0	21.0690355606751	26.1438254229868	18.9524949468603	0	247.193141928397	131.959730874653	78.8281580809454	0	66.1653559305221	0	0	65.794374944131	22.6207367256516	27.7776992087503	0	56.8683211124106	65.794374944131	42.6833431609212	0	0	50.4674152181333	119.477605992659	0	25.1449270324178	0	15.7669199961202	41.1014011162904	11.7711019965903	0	0	0	7.19133047612651
10	2-6	93.8051262390362	61.6358381077815	32.3362575085443	14.1854628383465	0	0	230.589802896395	118.542528896156	0	21.0690355606751	26.1438254229868	18.9524949468603	0	247.193141928397	131.959730874653	78.8281580809454	0	66.1653559305221	0	0	65.794374944131	22.6207367256516	27.7776992087503	0	56.8683211124106	65.794374944131	42.6833431609212	0	0	50.4674152181333	119.477605992659	0	25.1449270324178	0	15.7669199961202	41.1014011162904	11.7711019965903	0	0	0	7.19133047612651
