No.	NAME	G2u	G3u	E3u	L1m	G1m	G2m	G3m	E1m	E2m	E3m	G2v	G3v	E1v	E2v	E3v	P1e	G2e	G3e	E1e	E2e	G2p	G3p	E2p	E3p	L1i	G2i	G3i	L2s	P2s	G2s	G3s	E1s	E2s	E3s	Am	Gu	Gm	Dm	Dv	De	Ds
2272	3-53	0.175645012205851	0.186149695561878	0.353804931855977	6.00355026304108	0.154039221954264	0.160057089508594	0.154039221954264	0.358131789877039	0.259014616487187	0.168999803333474	0.180850359223894	0.202876922241746	0.38419292516047	0.281110164544413	0.197820964500494	0.554344661074463	0.175645012205851	0.175645012205851	0.492719823700433	0.385346444404088	0.175645012205851	0.186149695561878	0.298510555425097	0.212772382396018	7.17184611396489	0.170495129586256	0.175645012205851	4.5018073636429	0.344501886918109	0.154039221954264	0.154039221954264	0.553100429114804	0.419666259790218	0.409336676805294	29.6277485131001	0.182580122476716	0.156019608106459	0.2620487365659	0.287708018068459	0.413868305692272	0.460701121903439
2273	2-43	0.16534028427935	0.22129500703638	0.411956113771044	7.23346405008959	0.154039221954264	0.154039221954264	0.16534028427935	0.418380121744309	0.351770642073844	0.327780677883242	0.175645012205851	0.197140378233957	0.430281812063315	0.314901863605227	0.267638265553834	0.658620350713081	0.154039221954264	0.154039221954264	0.556913577038643	0.427013869364795	0.16534028427935	0.170495129586256	0.308173811233268	0.25088207108852	8.55272692649909	0.16534028427935	0.16534028427935	3.27865054832119	0.239902746098622	0.154039221954264	0.154039221954264	0.566216476393859	0.594032687765853	0.725168346604546	31.2326515392041	0.189556002701544	0.157717700888086	0.365977147233798	0.337607313740792	0.475716432095697	0.628472503588086
2274	2-57	0.196105222203421	0.201140519815175	0.426090281874976	11.1318410539276	0.149870541631947	0.168364457317961	0.21169173459717	0.466505404651656	0.302458829402089	0.16838361619487	0.159572475390038	0.206331517891454	0.450076511319927	0.327052893226972	0.234934691505008	0.765825502123211	0.159572475390038	0.177246816847943	0.541305411169272	0.467894717648182	0.168364457317961	0.18644788079913	0.338006688439857	0.254178647657639	12.242989796018	0.18644788079913	0.191212215535456	2.37520936055279	0.138578652562228	0.168364457317961	0.163979741833038	0.682832496165092	0.513818344960573	0.44017463209938	31.6118860082597	0.186320071333973	0.174806213018204	0.312449283416205	0.337354698683969	0.485588683585154	0.545608491075015
2275	3-52	0.17703420673468	0.224251605952246	0.328531007707546	5.95509916422237	0.154812382735768	0.166428834349117	0.166428834349117	0.340012635587666	0.190695610399162	0.144028313396977	0.166428834349117	0.166428834349117	0.372814770570971	0.231977495744196	0.177310371408828	0.549929287546502	0.171731919799903	0.166428834349117	0.468170100650564	0.351609263606694	0.166428834349117	0.166428834349117	0.258625436961081	0.191043993342126	7.20405010879411	0.154812382735768	0.166428834349117	4.25063788151935	0.339195732617606	0.154812382735768	0.17703420673468	0.507747668091637	0.290545817652225	0.340904210814651	27.2216016306326	0.191550510385016	0.162462929200126	0.224912186461268	0.260700879241331	0.385953899103601	0.379732565519504
2276	4-20	0.175428647161764	0.188704122661139	0.46898539362755	8.8175971942802	0.161044771756444	0.16869490542591	0.161044771756444	0.50560541220764	0.157424327822675	0.14008330674094	0.188704122661139	0.188704122661139	0.497119557216429	0.276812326089771	0.228121365925376	0.749967918764815	0.161044771756444	0.161044771756444	0.489578967923501	0.506462772841926	0.175428647161764	0.217138035311194	0.3463468342599	0.282907551925187	8.59019389455993	0.16869490542591	0.161044771756444	1.44334576819464	0.124780942428745	0.161044771756444	0.188704122661139	0.527894699296096	0.375602948914708	0.351432595126414	14.8915849780637	0.179746650254806	0.163555470929798	0.267704348923752	0.334017749743859	0.481149480910059	0.418310081112406
2277	3-36	0.179995788838212	0.21005782560082	0.403618555606082	11.2903428317096	0.168737001330765	0.168737001330765	0.168737001330765	0.355322955039953	0.262786414181858	0.177055578059662	0.156437788342072	0.168737001330765	0.442337437873778	0.353474539764823	0.222177059629999	0.753987823475428	0.174361897410474	0.168737001330765	0.513017680498235	0.473163359572342	0.168737001330765	0.156437788342072	0.366713232284033	0.237225416336619	14.3261002744597	0.168737001330765	0.185706113758209	3.93399654428143	0.220625891538124	0.156437788342072	0.179995788838212	0.47075150518458	0.355007779189375	0.364129325064075	46.3475965220471	0.187507048964544	0.168737001330765	0.265054982427158	0.339329679089533	0.461007973383774	0.396629536479343
2278	2-40	0.164970462449074	0.188046903542351	0.445101101919389	5.01226402017884	0.150514997831991	0.178586538130555	0.160453178962979	0.18521125861628	0.362615169313942	0.226152872843098	0.160453178962979	0.160453178962979	0.216841123860806	0.302572349833718	0.294382732653502	0.456960246275845	0.160453178962979	0.150514997831991	0.312496230996022	0.370658034520611	0.150514997831991	0.150514997831991	0.283141758198041	0.32086007937694	6.72638426419887	0.173995418619253	0.150514997831991	4.85587204743091	0.353199719719556	0.160453178962979	0.160453178962979	0.276668867223443	0.616663617182947	0.355086411351394	40.2770771652696	0.173881295045158	0.16277671275855	0.257993100257773	0.271265402116009	0.376940299442492	0.416139631919261
2279	2-92	0.19088998338507	0.182010779200909	0.44122358476703	5.10929687044449	0.148040955482933	0.15709347966205	0.15709347966205	0.295407508868029	0.252028843968042	0.213926234835946	0.182010779200909	0.165276697243779	0.367834769112277	0.314826170535791	0.283089306580475	0.478118322414732	0.165276697243779	0.165276697243779	0.481180029884606	0.44285134743399	0.165276697243779	0.173513459530581	0.355964535829551	0.305008448535589	6.65079257227486	0.165276697243779	0.15709347966205	4.02387964946312	0.307396204803838	0.177721033110084	0.148040955482933	0.413194436234455	0.377554859596404	0.276108514818975	36.6160644986837	0.181999895790948	0.154016080211491	0.253787529224006	0.321916748742848	0.451859097585566	0.355619270216611
2280	2-64	0.149243936527412	0.175956633401682	0.450421228219588	6.24629251461527	0.149243936527412	0.149243936527412	0.175956633401682	0.457878816442383	0.343938692417211	0.295525270274557	0.175956633401682	0.184911354482311	0.405908232110925	0.330442297601814	0.278050050943152	0.51023046223941	0.175956633401682	0.194295664666336	0.471130080756016	0.368787934203727	0.149243936527412	0.175956633401682	0.322347673298837	0.277633879197512	6.8756030672707	0.15871993279114	0.214775282022584	5.37819255982368	0.369028406804628	0.149243936527412	0.167299752740038	0.609098704716778	0.502611181714653	0.633482970126847	42.0916848956195	0.160932813366234	0.157664171054803	0.365780926378051	0.338133526885297	0.436326555023637	0.581730952186093
2281	2-50	0.174064002475462	0.174064002475462	0.406162057707617	6.26412160514342	0.146350958075862	0.154831067173577	0.162480369128111	0.329318203411941	0.309417358695712	0.389904512762707	0.146350958075862	0.166299314815862	0.269003133748363	0.354007456340273	0.29727316895893	0.483836258196237	0.154831067173577	0.178042382447598	0.347799277474355	0.444775308972379	0.146350958075862	0.146350958075862	0.3722492643207	0.258087602242383	7.78431621383587	0.166299314815862	0.182101623974422	6.03030356546683	0.394381118245703	0.162480369128111	0.162480369128111	0.55231585604169	0.341826124104566	0.768865393878771	49.9803030467294	0.170113824855374	0.15441335459627	0.342880024956787	0.306761253015855	0.415374083384088	0.554335791341676
