No.	NAME	SRW07	piPC10	piID	PCD
1	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
2	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
3	2-11	0	6.76529125176161	8.95917102245656	1.23384098453942
4	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
5	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
6	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
7	2-11	0	6.76529125176161	8.95917102245656	1.23384098453942
8	2-99	5.73334127689775	6.20455776256869	8.29903718161307	0.542841837664948
9	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
10	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
11	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
12	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
13	4-2	0	6.78226291517423	8.96101726327317	1.23480461276564
14	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
15	4-6	5.73334127689775	6.76539935013123	8.81246668845054	1.33316705066771
16	4-3a	5.73334127689775	6.69045400329216	8.73148266077682	1.34315480119972
17	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
18	4-11	4.84418708645859	7.57696790915931	9.46202309180443	2.6003117513237
19	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
20	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
21	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
22	4-11	4.84418708645859	7.57696790915931	9.46202309180443	2.6003117513237
23	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
24	4-6	5.73334127689775	6.76539935013123	8.81246668845054	1.33316705066771
25	4-3	5.73334127689775	6.74347008467428	8.81738111372788	1.34147514436048
26	2-9	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
27	4-28a	0	4.00733318523247	6.67456139181443	0.507044900926084
28	4-28a	0	4.00733318523247	6.67456139181443	0.507044900926084
29	2-9	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
30	4-3	5.73334127689775	6.74347008467428	8.81738111372788	1.34147514436048
31	2-11	0	6.76529125176161	8.95917102245656	1.23384098453942
32	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
33	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
34	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
35	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
36	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
37	3-33	0	7.62513765045794	9.80379497152393	2.45327879968993
38	4-53	0	7.91279208031324	10.9364490002794	3.47711010505913
39	4-43	4.72738781871234	5.55827489098496	8.19764198329006	1.49568161728752
40	2-4	5.73334127689775	6.58046575193558	8.63019816361952	1.24187030404241
41	4-53	0	7.91279208031324	10.9364490002794	3.47711010505913
42	4-28a	0	4.00733318523247	6.67456139181443	0.507044900926084
43	2-8	5.41610040220442	5.33060303004601	7.66911586065425	1.07470240090447
44	4-3a	5.73334127689775	6.69045400329216	8.73148266077682	1.34315480119972
45	4-37	0	0	6.29595764411851	1.23336261109155
46	4-37	0	0	6.29595764411851	1.23336261109155
47	2-6	6.19644412779452	6.5792512120101	8.67573421954479	0.48899143243127
48	2-15	0	7.60424063164066	9.74853915878637	2.46371824621777
49	4-44	4.59511985013459	5.23444528995363	7.70458657081896	0.925801673133788
50	4-36	4.72738781871234	5.92584210540737	9.22506059744881	1.93272342127493
51	4-53	0	7.91279208031324	10.9364490002794	3.47711010505913
52	2-11	0	6.76529125176161	8.95917102245656	1.23384098453942
53	4-35	0	4.92725368515721	7.34923082461333	0.719867571175886
54	4-53	0	7.91279208031324	10.9364490002794	3.47711010505913
55	4-53	0	7.91279208031324	10.9364490002794	3.47711010505913
56	4-60	4.94875989037817	7.02320225484097	9.06243473454816	1.27173870337343
57	2-99	5.73334127689775	6.20455776256869	8.29903718161307	0.542841837664948
58	2-11	0	6.76529125176161	8.95917102245656	1.23384098453942
59	2-4	5.73334127689775	6.58046575193558	8.63019816361952	1.24187030404241
60	4-11	4.84418708645859	7.57696790915931	9.46202309180443	2.6003117513237
61	4-54	0	6.00388706710654	8.20056279700856	0.825933781789619
62	2-15	0	7.60424063164066	9.74853915878637	2.46371824621777
