No.	NAME	qpmax	qnmax	Qpos	Qneg	Qtot	Qmean	Q2	RPCG	RNCG	PCWTE1
1	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	48.5970825444285
2	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	48.5688329180052
3	2-11	0.34690123796463	-0.503090739250183	4.18744591856375	-2.18744587246329	6.37489179102704	0.124997878255432	1.75173402476139	0.0828431565949903	0.229990028820074	40.3480443422804
4	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	47.6784442901243
5	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	48.6267889629743
6	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	48.538629956555
7	2-11	0.34690123796463	-0.503090739250183	4.18744591856375	-2.18744587246329	6.37489179102704	0.124997878255432	1.75173402476139	0.0828431565949903	0.229990028820074	40.4335625606619
8	2-99	0.34518164396286	-0.847136914730072	3.06897849217057	-3.06897853128612	6.13795702345669	0.125264429050137	1.99207233523339	0.112474442177901	0.276032206186552	24.7596814479611
9	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	47.9689179756965
10	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	47.8412591295644
11	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	48.7026455193583
12	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	47.8100939998125
13	4-2	0.348422795534134	-0.503090739250183	4.19019315997139	-2.19019313901663	6.38038629898801	0.125105613705647	1.6973182011825	0.0831519651319638	0.229701541059555	40.1913852673059
14	4-36	0.45241117477417	-0.35783115029335	3.64597758837044	-2.64597756136209	6.29195514973253	0.142998980675739	1.47456924921698	0.124085012540182	0.135235897506684	46.4739128015611
15	4-6	0.344948947429657	-0.394040405750275	2.51211220957339	-1.51211216859519	4.02422437816858	0.0894272084037463	0.877627533961459	0.137314307105827	0.260589401986198	32.1337116857089
16	4-3a	0.344948947429657	-0.360411167144775	2.17589585389942	-1.17589582270011	3.35179167659953	0.0761770835590803	0.671030114898713	0.158531919995837	0.306499232489144	29.1114718375802
17	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	47.7254864189994
18	4-11	0.345201641321182	-0.4591004550457	2.6330726929009	-1.63307266868651	4.26614536158741	0.121889867473926	1.15952864630162	0.131102207034348	0.281126776443425	24.3880168847914
19	2-6	0.345430225133896	-0.452707797288895	4.15721537917852	-2.15721536101773	6.31443074019626	0.12143136038839	1.67061074826415	0.0830917317548637	0.209857488255283	48.3585623018324
20	4-36	0.45241117477417	-0.35783115029335	3.64597758837044	-2.64597756136209	6.29195514973253	0.142998980675739	1.47456924921698	0.124085012540182	0.135235897506684	46.7761907161212
21	4-36	0.45241117477417	-0.35783115029335	3.64597758837044	-2.64597756136209	6.29195514973253	0.142998980675739	1.47456924921698	0.124085012540182	0.135235897506684	47.1869107176595
22	4-11	0.345201641321182	-0.4591004550457	2.6330726929009	-1.63307266868651	4.26614536158741	0.121889867473926	1.15952864630162	0.131102207034348	0.281126776443425	24.3649627642155
23	4-36	0.45241117477417	-0.35783115029335	3.64597758837044	-2.64597756136209	6.29195514973253	0.142998980675739	1.47456924921698	0.124085012540182	0.135235897506684	47.3104567218863
24	4-6	0.344948947429657	-0.394040405750275	2.51211220957339	-1.51211216859519	4.02422437816858	0.0894272084037463	0.877627533961459	0.137314307105827	0.260589401986198	31.5145366353923
25	4-3	0.344934672117233	-0.384266704320908	2.34708365146071	-1.34708359884098	3.69416725030169	0.0785993031979083	0.772502911336233	0.146963092645873	0.285258245777417	30.1999219144118
26	2-9	0.344941526651382	-0.45279797911644	3.22532884124666	-2.22532884171233	5.45065768295899	0.10901315365918	1.36210058184224	0.106947707855443	0.203474637378997	41.5251766856295
27	4-28a	0.344978153705597	-0.370954722166061	3.53210450382903	-2.53210456296802	6.06420906679705	0.112300167903649	1.40450419874833	0.0976692941365744	0.146500554357536	51.6098833061448
28	4-28a	0.344978153705597	-0.370954722166061	3.53210450382903	-2.53210456296802	6.06420906679705	0.112300167903649	1.40450419874833	0.0976692941365744	0.146500554357536	51.6342190097344
29	2-9	0.344941526651382	-0.45279797911644	3.22532884124666	-2.22532884171233	5.45065768295899	0.10901315365918	1.36210058184224	0.106947707855443	0.203474637378997	41.5444394839587
30	4-3	0.344934672117233	-0.384266704320908	2.34708365146071	-1.34708359884098	3.69416725030169	0.0785993031979083	0.772502911336233	0.146963092645873	0.285258245777417	30.1698650716228
