No.	NAME	DBI	HNar	PJI2	ICR	MeanTD	MaxDD	GMTIV	S2K	PW2	PW5	MAXDN	MAXDP	TIE	Psi_i_1d	Psi_i_1s	Psi_e_0d	LOC
14	4-36	4.24264068711928	1.74093264248705	0.875	2.95470124416735	6.03439153439153	20	46137	7.63309861161049	0.609141156462585	0.0928888979205385	5.88455583772191	5.70723896567074	109.520681087101	4.18625842134357E-8	1.73506896969866E-10	2.05457029715255E-7	0.859769615020573
15	4-6	3.3166247903554	1.90909090909091	1	2.16712428215016	3.57619047619048	17	6894	4.17737190693922	0.605536659108088	0.137330505380391	1.69457577475435	5.66325774754346	42.7143208033003	1.74730295866976E-6	4.30878548092988E-7	-0.0000197773599648066	0.987915331402444
16	4-3a	3.16227766016838	1.9047619047619	0.75	1.95272419562465	3.42105263157895	17	5201	3.73539536600651	0.615535714285714	0.13851076601905	1.29179799697657	5.59200774754346	34.6026571245566	-3.27432515849633E-6	1.08545086926176E-6	0.0000376090061762143	0.896578428466209
17	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
18	4-11	2.34520787991171	1.80952380952381	0.8	2.24928706865216	3.63157894736842	15	6845	4.13501886129859	0.6015664160401	0.118520589068444	1.99249099794239	4.51360544217687	27.4618477673258	-0.0000137843812066508	5.28104683786479E-7	-0.0000728340890860831	0.953992216824647
19	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
20	4-36	4.24264068711928	1.74093264248705	0.875	2.95470124416735	6.03439153439153	20	46137	7.63309861161049	0.609141156462585	0.0928888979205385	5.88455583772191	5.70723896567074	109.520681087101	4.18625842134357E-8	1.73506896969866E-10	2.05457029715255E-7	0.859769615020573
21	4-36	4.24264068711928	1.74093264248705	0.875	2.95470124416735	6.03439153439153	20	46137	7.63309861161049	0.609141156462585	0.0928888979205385	5.88455583772191	5.70723896567074	109.520681087101	4.18625842134357E-8	1.73506896969866E-10	2.05457029715255E-7	0.859769615020573
22	4-11	2.34520787991171	1.80952380952381	0.8	2.24928706865216	3.63157894736842	15	6845	4.13501886129859	0.6015664160401	0.118520589068444	1.99249099794239	4.51360544217687	27.4618477673258	-0.0000137843812066508	5.28104683786479E-7	-0.0000728340890860831	0.953992216824647
23	4-36	4.24264068711928	1.74093264248705	0.875	2.95470124416735	6.03439153439153	20	46137	7.63309861161049	0.609141156462585	0.0928888979205385	5.88455583772191	5.70723896567074	109.520681087101	4.18625842134357E-8	1.73506896969866E-10	2.05457029715255E-7	0.859769615020573
24	4-6	3.3166247903554	1.90909090909091	1	2.16712428215016	3.57619047619048	17	6894	4.17737190693922	0.605536659108088	0.137330505380391	1.69457577475435	5.66325774754346	42.7143208033003	1.74730295866976E-6	4.30878548092988E-7	-0.0000197773599648066	0.987915331402444
25	4-3	3.3166247903554	1.90909090909091	0.75	1.88417292453795	3.58571428571429	18	5754	4.20793190890932	0.606859410430839	0.144629198966707	1.84140117157974	4.95121031746032	36.8116695615519	1.7135709388226E-6	5.71800955526397E-7	-0.0000197649313011057	1.08315342664054
26	2-9	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	10648	4.04081632653061	0.638338744588745	0.144780271307276	2.16147250566893	5.75320338088939	63.0988979519689	1.28605166195484E-7	3.18861778969856E-8	2.81129996577624E-6	0.88208020839343
27	4-28a	4.24264068711928	1.66265060240964	0.833333333333333	2.52468506688149	4.8300395256917	13	10092	9.9065587376643	0.555848861283644	0.101645686376415	1.81763348652643	5.19620984504913	90.7234204819852	-3.70522812756185E-6	1.78112020429056E-7	-5.47604802949216E-6	2.04424970662868
28	4-28a	4.24264068711928	1.66265060240964	0.833333333333333	2.52468506688149	4.8300395256917	13	10092	9.9065587376643	0.555848861283644	0.101645686376415	1.81763348652643	5.19620984504913	90.7234204819852	-3.70522812756185E-6	1.78112020429056E-7	-5.47604802949216E-6	2.04424970662868
29	2-9	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	10648	4.04081632653061	0.638338744588745	0.144780271307276	2.16147250566893	5.75320338088939	63.0988979519689	1.28605166195484E-7	3.18861778969856E-8	2.81129996577624E-6	0.88208020839343
