No.	NAME	Eta_betaS_A	Eta_betaP_A	Eta_beta	Eta_F_A	Eta_FL_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_5	Eta_D_epsiA	Eta_D_epsiB	Eta_psi1	Eta_D_beta
11	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
12	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
13	4-2	0.652173913043478	0.304347826086957	22	0.670712155148434	0.165272696594655	0.191358024691358	0.407407407407407	0.0462962962962963	0	0.0304347816854715	0.724137931034483	0.0951447245564891	0.0253869969040247	0.5625	-8
14	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
15	4-6	0.607142857142857	0.357142857142857	20.25	0.600444353860741	0.154575460467223	0.155629139072848	0.298013245033113	0.0993377483443709	0	0.0206349212676287	0.713333333333333	0.082261208576998	0.0270152505446623	0.605210420841684	-5.25
16	4-3a	0.6	0.375	19.5	0.550115458168938	0.146164464270225	0.178082191780822	0.308219178082192	0.102739726027397	0	0.0133333336561918	0.698550724637681	0.0601851851851851	0.025	0.641758241758242	-4.5
17	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
18	4-11	0.631578947368421	0.605263157894737	23.5	0.833733205121572	0.249012242944345	0.250936329588015	0.50561797752809	0	0	0.0315789468586445	0.768181818181818	0.15088948787062	0.0653968253968252	0.55625	-0.5
19	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
20	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
21	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
22	4-11	0.631578947368421	0.605263157894737	23.5	0.833733205121572	0.249012242944345	0.250936329588015	0.50561797752809	0	0	0.0315789468586445	0.768181818181818	0.15088948787062	0.0653968253968252	0.55625	-0.5
23	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
24	4-6	0.607142857142857	0.357142857142857	20.25	0.600444353860741	0.154575460467223	0.155629139072848	0.298013245033113	0.0993377483443709	0	0.0206349212676287	0.713333333333333	0.082261208576998	0.0270152505446623	0.605210420841684	-5.25
25	4-3	0.595238095238095	0.333333333333333	19.5	0.551892942087671	0.142777978244357	0.169381107491857	0.293159609120521	0.0977198697068404	0	0.0126984128728509	0.682666666666666	0.0561776782381484	0.0296067053513861	0.644957983193278	-5.5
26	2-9	0.645833333333333	0.145833333333333	19	0.576367572855685	0.111698689628574	0.213649851632047	0.267062314540059	0.178041543026706	0	0.0319444462656975	0.750574712643678	0.111333333333333	0.0193580246913581	0.554276315789474	-12
27	4-28a	0.608695652173913	0.195652173913043	18.5	0.643766246304071	0.153009532601929	0.279874213836478	0.330188679245283	0	0	0.0391304343938828	0.736666666666667	0.109259259259259	0.00866402116402121	0.53	-9.5
28	4-28a	0.608695652173913	0.195652173913043	18.5	0.643766246304071	0.153009532601929	0.279874213836478	0.330188679245283	0	0	0.0391304343938828	0.736666666666667	0.109259259259259	0.00866402116402121	0.53	-9.5
29	2-9	0.645833333333333	0.145833333333333	19	0.576367572855685	0.111698689628574	0.213649851632047	0.267062314540059	0.178041543026706	0	0.0319444462656975	0.750574712643678	0.111333333333333	0.0193580246913581	0.554276315789474	-12
30	4-3	0.595238095238095	0.333333333333333	19.5	0.551892942087671	0.142777978244357	0.169381107491857	0.293159609120521	0.0977198697068404	0	0.0126984128728509	0.682666666666666	0.0561776782381484	0.0296067053513861	0.644957983193278	-5.5
31	2-11	0.652173913043478	0.304347826086957	22	0.656145813094419	0.168771587573102	0.160493827160494	0.37037037037037	0.0462962962962963	0	0.0304347816854715	0.724137931034483	0.0951447245564891	0.0253869969040247	0.5625	-8
32	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
33	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
34	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
35	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
36	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
37	3-33	0.63	0.52	28.75	0.981608912599355	0.240799602098404	0.227272727272727	0.332386363636364	0.0426136363636364	0	0.0306666661053896	0.798765432098765	0.133984861550254	0.0540649046503846	0.559618441971384	-2.75
38	4-53	0.645833333333333	0.6875	32	0.857928385953349	0.250380852637923	0.0344827586206897	0.293103448275862	0	0	0.0166666675359011	0.714814814814814	0.0928433268858799	0.0484673638658492	0.630434782608696	1
39	4-43	0.7	0.36	26.5	0.875191131293683	0.216806425117774	0.253012048192771	0.397590361445783	0	0	0.0573333315551281	0.823655913978494	0.208403769552123	0.0140975539151831	0.466292134831461	-8.5
40	2-4	0.6	0.3	18	0.459115487653665	0.125607002288675	0.183673469387755	0.306122448979592	0.102040816326531	0	0.00999999977648258	0.638461538461538	0.0351851851851852	0.0203703703703703	0.662162162162162	-6
41	4-53	0.645833333333333	0.6875	32	0.857928385953349	0.250380852637923	0.0344827586206897	0.293103448275862	0	0	0.0166666675359011	0.714814814814814	0.0928433268858799	0.0484673638658492	0.630434782608696	1
42	4-28a	0.608695652173913	0.195652173913043	18.5	0.643766246304071	0.153009532601929	0.279874213836478	0.330188679245283	0	0	0.0391304343938828	0.736666666666667	0.109259259259259	0.00866402116402121	0.53	-9.5
43	2-8	0.675	0.475	23	0.853755945338002	0.221613743380044	0.157706093189964	0.32258064516129	0.0896057347670251	0	0.0350000001490116	0.816	0.205791505791506	0.0486486486486486	0.492063492063492	-4
44	4-3a	0.6	0.375	19.5	0.550115458168938	0.146164464270225	0.178082191780822	0.308219178082192	0.102739726027397	0	0.0133333336561918	0.698550724637681	0.0601851851851851	0.025	0.641758241758242	-4.5
45	4-37	0.596153846153846	0.538461538461538	14.75	0.684314429123464	0.251113730521934	0.230769230769231	0.247252747252747	0	0	0.0333333350718021	0.745833333333333	0.112643678160919	0.042167487684729	0.549848942598187	-0.75
46	4-37	0.596153846153846	0.538461538461538	14.75	0.684314429123464	0.251113730521934	0.230769230769231	0.247252747252747	0	0	0.0333333350718021	0.745833333333333	0.112643678160919	0.042167487684729	0.549848942598187	-0.75
47	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
48	2-15	0.625	0.541666666666667	28	0.97068379481429	0.244629557933434	0.192878338278932	0.311572700296736	0.0445103857566766	0	0.0319444462656975	0.78395061728395	0.142881500426257	0.0587706146926537	0.554276315789474	-2
49	4-44	0.620967741935484	0.338709677419355	29.75	0.842765452840986	0.190512909474075	0.167053364269142	0.271461716937355	0	0	0.0365591384470463	0.798095238095238	0.123935268711388	0.0213862195869967	0.537406483790524	-8.75
50	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
51	4-53	0.645833333333333	0.6875	32	0.857928385953349	0.250380852637923	0.0344827586206897	0.293103448275862	0	0	0.0166666675359011	0.714814814814814	0.0928433268858799	0.0484673638658492	0.630434782608696	1
52	2-11	0.652173913043478	0.304347826086957	22	0.656145813094419	0.168771587573102	0.160493827160494	0.37037037037037	0.0462962962962963	0	0.0304347816854715	0.724137931034483	0.0951447245564891	0.0253869969040247	0.5625	-8
53	4-35	0.565217391304348	0.130434782608696	16	0.429107834218814	0.0994018528071841	0.220183486238532	0.36697247706422	0	0	0.0260869562625885	0.710344827586207	0.0714584969887405	0.0136899626114467	0.579787234042553	-10
54	4-53	0.645833333333333	0.6875	32	0.857928385953349	0.250380852637923	0.0344827586206897	0.293103448275862	0	0	0.0166666675359011	0.714814814814814	0.0928433268858799	0.0484673638658492	0.630434782608696	1
55	4-53	0.645833333333333	0.6875	32	0.857928385953349	0.250380852637923	0.0344827586206897	0.293103448275862	0	0	0.0166666675359011	0.714814814814814	0.0928433268858799	0.0484673638658492	0.630434782608696	1
56	4-60	0.66304347826087	0.304347826086957	22.25	0.664983732734348	0.174808495445123	0.160493827160494	0.361111111111111	0.0462962962962963	0	0.0304347816854715	0.739285714285714	0.0951447245564891	0.0253869969040247	0.5625	-8.25
57	2-99	0.625	0.145833333333333	18.5	0.633933021061445	0.116341771564939	0.27710843373494	0.36144578313253	0.135542168674699	0	0.0388888902962208	0.761111111111111	0.13462061747776	0.0213066358618919	0.526148969889065	-11.5
58	2-11	0.652173913043478	0.304347826086957	22	0.656145813094419	0.168771587573102	0.160493827160494	0.37037037037037	0.0462962962962963	0	0.0304347816854715	0.724137931034483	0.0951447245564891	0.0253869969040247	0.5625	-8
59	2-4	0.6	0.3	18	0.459115487653665	0.125607002288675	0.183673469387755	0.306122448979592	0.102040816326531	0	0.00999999977648258	0.638461538461538	0.0351851851851852	0.0203703703703703	0.662162162162162	-6
60	4-11	0.631578947368421	0.605263157894737	23.5	0.833733205121572	0.249012242944345	0.250936329588015	0.50561797752809	0	0	0.0315789468586445	0.768181818181818	0.15088948787062	0.0653968253968252	0.55625	-0.5
61	4-54	0.58	0.18	19	0.428366994780484	0.0975556253096539	0.225274725274725	0.247252747252747	0.0824175824175824	0	0.0146666662767529	0.698850574712643	0.045714069362411	0.0113066145324209	0.636363636363637	-10
62	2-15	0.625	0.541666666666667	28	0.97068379481429	0.244629557933434	0.192878338278932	0.311572700296736	0.0445103857566766	0	0.0319444462656975	0.78395061728395	0.142881500426257	0.0587706146926537	0.554276315789474	-2
63	4-48	0.653225806451613	0.725806451612903	42.75	1.0710175783589	0.264440925922008	0.049438202247191	0.330337078651685	0.0337078651685393	0	0.0215053763240576	0.733333333333333	0.136765931651133	0.0725484985384007	0.606267029972752	2.25
64	4-35	0.565217391304348	0.130434782608696	16	0.429107834218814	0.0994018528071841	0.220183486238532	0.36697247706422	0	0	0.0260869562625885	0.710344827586207	0.0714584969887405	0.0136899626114467	0.579787234042553	-10
65	2-26	0.666666666666667	0.263888888888889	33.5	0.75362588995333	0.148098881265868	0.109126984126984	0.327380952380952	0.0892857142857143	0	0.0333333350718021	0.795	0.128873239436619	0.0217303822937628	0.549019607843138	-14.5
66	4-60	0.66304347826087	0.304347826086957	22.25	0.664983732734348	0.174808495445123	0.160493827160494	0.361111111111111	0.0462962962962963	0	0.0304347816854715	0.739285714285714	0.0951447245564891	0.0253869969040247	0.5625	-8.25
67	4-11	0.631578947368421	0.605263157894737	23.5	0.833733205121572	0.249012242944345	0.250936329588015	0.50561797752809	0	0	0.0315789468586445	0.768181818181818	0.15088948787062	0.0653968253968252	0.55625	-0.5
68	4-28a	0.608695652173913	0.195652173913043	18.5	0.643766246304071	0.153009532601929	0.279874213836478	0.330188679245283	0	0	0.0391304343938828	0.736666666666667	0.109259259259259	0.00866402116402121	0.53	-9.5
69	3-33	0.63	0.52	28.75	0.981608912599355	0.240799602098404	0.227272727272727	0.332386363636364	0.0426136363636364	0	0.0306666661053896	0.798765432098765	0.133984861550254	0.0540649046503846	0.559618441971384	-2.75
70	2-99	0.625	0.145833333333333	18.5	0.633933021061445	0.116341771564939	0.27710843373494	0.36144578313253	0.135542168674699	0	0.0388888902962208	0.761111111111111	0.13462061747776	0.0213066358618919	0.526148969889065	-11.5
71	4-53	0.645833333333333	0.6875	32	0.857928385953349	0.250380852637923	0.0344827586206897	0.293103448275862	0	0	0.0166666675359011	0.714814814814814	0.0928433268858799	0.0484673638658492	0.630434782608696	1
72	4-37	0.596153846153846	0.538461538461538	14.75	0.684314429123464	0.251113730521934	0.230769230769231	0.247252747252747	0	0	0.0333333350718021	0.745833333333333	0.112643678160919	0.042167487684729	0.549848942598187	-0.75
73	2-8	0.675	0.475	23	0.853755945338002	0.221613743380044	0.157706093189964	0.32258064516129	0.0896057347670251	0	0.0350000001490116	0.816	0.205791505791506	0.0486486486486486	0.492063492063492	-4
74	3-33	0.63	0.52	28.75	0.981608912599355	0.240799602098404	0.227272727272727	0.332386363636364	0.0426136363636364	0	0.0306666661053896	0.798765432098765	0.133984861550254	0.0540649046503846	0.559618441971384	-2.75
75	2-17	0.616071428571429	0.5	31.25	0.834947169291727	0.198765631860749	0.149253731343284	0.335820895522388	0.0746268656716418	0	0.0214285720139742	0.721212121212121	0.100845864661654	0.0496428571428575	0.600896860986547	-3.25
76	3-33	0.63	0.52	28.75	0.981608912599355	0.240799602098404	0.227272727272727	0.332386363636364	0.0426136363636364	0	0.0306666661053896	0.798765432098765	0.133984861550254	0.0540649046503846	0.559618441971384	-2.75
77	4-11	0.631578947368421	0.605263157894737	23.5	0.833733205121572	0.249012242944345	0.250936329588015	0.50561797752809	0	0	0.0315789468586445	0.768181818181818	0.15088948787062	0.0653968253968252	0.55625	-0.5
78	4-15	0.520833333333333	0.5	12.25	0.531533365641299	0.183047371766315	0.322033898305085	0.169491525423729	0.0847457627118644	0	0.00833333376795053	0.646666666666667	0.04	0.0288888888888889	0.670454545454545	-0.25
79	4-36	0.678571428571429	0.410714285714286	30.5	0.99881425593935	0.231776259247137	0.203162055335968	0.398418972332016	0.041501976284585	0	0.0697278901934624	0.966205837173579	0.329372294372294	0.0563246753246756	0.414686117029995	-7.5
80	4-2	0.652173913043478	0.304347826086957	22	0.670712155148434	0.165272696594655	0.191358024691358	0.407407407407407	0.0462962962962963	0	0.0304347816854715	0.724137931034483	0.0951447245564891	0.0253869969040247	0.5625	-8
