No.	NAME	SpPosA_A	VE1sign_A	J_D	TI1_L	TI2_L	SM4_L	AVS_X	ChiA_X	SpDiam_X	SpMAD_X	SM3_X	SM5_X	VE1_X	VE2_X	VE3_X	VE1sign_X	SpMAD_H2	VE1_H2	ChiA_Dt	J_Dt	H_D/Dt	ChiA_D/Dt	J_D/Dt	SpMaxA_D/Dt	Ho_D/Dt	Chi_Dz(Z)	J_Dz(Z)	SpDiam_Dz(Z)	ChiA_Dz(m)	SM1_Dz(m)	J_Dz(v)	SM1_Dz(v)	Chi_Dz(p)	AVS_B(m)	SpPosA_B(m)	SpMaxA_B(m)	SpMAD_B(m)	SM5_B(m)	VE2_B(m)	VE1sign_B(m)	AVS_B(v)	SpPosA_B(v)	SpMax_B(v)	VE1_B(v)	VE1sign_B(v)	AVS_B(e)	ChiA_B(e)	SpPosA_B(e)	VR2_B(e)	ChiA_B(p)	SpMAD_B(p)	SM3_B(p)	VE1sign_B(i)	ChiA_B(s)	SpMaxA_B(s)	SpDiam_B(s)	SpMAD_B(s)	SM4_B(s)	VE1_B(s)	VE2sign_B(s)
1	2-6	0.645402972807934	0.183054504112495	1.69564069264058	84.9005744367139	1.3088804693455	8.45382731579442	0.937037816227185	0.994103707987138	1.92798748512889	0.562091184795822	0	0.104318306079383	3.81512562323749	0.158963567634896	1.39562122280706	0.0901009449222023	1.28077172604041	3.59009196100295	0.00345934991188028	0.452021721819024	1220.80238095238	0.153982384299742	20.1203648818329	0.298848199062591	7.63647269385296	0.38633513625414	1.80289730251932	112.629196072594	0.013796799963389	0.70990596437491	1.6850387304915	-1.04218302070142	0.340492376331766	3.56295338454247	1.34154918793436	0.163091147984237	1.42375820387348	7.8045425547334	0.152045844630152	0.115237901579474	3.4517367178758	1.25837562593714	3.86651296992507	3.63365649194678	0.0221212381761081	3.5617992178758	0.262238996731128	1.34060443097811	1.14259952350026	0.273191741472743	1.44110573095333	5.31774501249843	0.1178335168425	0.21741375593952	0.30965255806995	8.53338535067322	1.80255980770213	8.7597252937475	3.47118666721879	0.00613487219927341
2	2-6	0.645402972807934	0.183054504112495	1.69564069264058	84.9005744367139	1.3088804693455	8.45382731579442	0.937037816227185	0.994103707987138	1.92798748512889	0.562091184795822	0	0.104318306079383	3.81512562323749	0.158963567634896	1.39562122280706	0.0901009449222023	1.28077172604041	3.59009196100295	0.00345934991188028	0.452021721819024	1220.80238095238	0.153982384299742	20.1203648818329	0.298848199062591	7.63647269385296	0.38633513625414	1.80289730251932	112.629196072594	0.013796799963389	0.70990596437491	1.6850387304915	-1.04218302070142	0.340492376331766	3.56295338454247	1.34154918793436	0.163091147984237	1.42375820387348	7.8045425547334	0.152045844630152	0.115237901579474	3.4517367178758	1.25837562593714	3.86651296992507	3.63365649194678	0.0221212381761081	3.5617992178758	0.262238996731128	1.34060443097811	1.14259952350026	0.273191741472743	1.44110573095333	5.31774501249843	0.1178335168425	0.21741375593952	0.30965255806995	8.53338535067322	1.80255980770213	8.7597252937475	3.47118666721879	0.00613487219927341
3	2-11	0.650198958930786	0.216471459368143	1.70505609594968	68.8057532387138	1.68487618843239	8.13300021858361	0.965436584559462	0.995110183023554	2	0.587415025322945	0	0	4.71474949138073	0.204989108320901	1.54895483136565	0.277350098112615	1.30837514378649	4.05670727530464	0.0035231164305693	0.47632534141297	1083.7	0.157092323692153	21.238882163179	0.31956869423074	7.48966273116513	0.376227151351754	1.95638118702912	108.046510831463	0.0144690856687344	0.709905964374891	1.7676483495381	-1.04218302070138	0.308358000877304	3.49045821702377	1.32241209036598	0.168729067527675	1.40399376828494	7.68965059142861	0.171650796722499	0.176298098853939	3.37440604311072	1.2436481535667	3.8526767154232	4.00507389360958	0.188735196041841	3.48925386919768	0.274752427430644	1.32150845411289	1.1045557345821	0.289252652729145	1.41656990737057	5.22715463661781	0.173118211616709	0.225021305778944	0.274462134911294	7.57034570273143	1.62127756902489	8.16251712306862	3.93764685188616	0.00618776281002512
4	2-6	0.645402972807934	0.183054504112495	1.69564069264058	84.9005744367139	1.3088804693455	8.45382731579442	0.937037816227185	0.994103707987138	1.92798748512889	0.562091184795822	0	0.104318306079383	3.81512562323749	0.158963567634896	1.39562122280706	0.0901009449222023	1.28077172604041	3.59009196100295	0.00345934991188028	0.452021721819024	1220.80238095238	0.153982384299742	20.1203648818329	0.298848199062591	7.63647269385296	0.38633513625414	1.80289730251932	112.629196072594	0.013796799963389	0.70990596437491	1.6850387304915	-1.04218302070142	0.340492376331766	3.56295338454247	1.34154918793436	0.163091147984237	1.42375820387348	7.8045425547334	0.152045844630152	0.115237901579474	3.4517367178758	1.25837562593714	3.86651296992507	3.63365649194678	0.0221212381761081	3.5617992178758	0.262238996731128	1.34060443097811	1.14259952350026	0.273191741472743	1.44110573095333	5.31774501249843	0.1178335168425	0.21741375593952	0.30965255806995	8.53338535067322	1.80255980770213	8.7597252937475	3.47118666721879	0.00613487219927341
5	2-6	0.645402972807934	0.183054504112495	1.69564069264058	84.9005744367139	1.3088804693455	8.45382731579442	0.937037816227185	0.994103707987138	1.92798748512889	0.562091184795822	0	0.104318306079383	3.81512562323749	0.158963567634896	1.39562122280706	0.0901009449222023	1.28077172604041	3.59009196100295	0.00345934991188028	0.452021721819024	1220.80238095238	0.153982384299742	20.1203648818329	0.298848199062591	7.63647269385296	0.38633513625414	1.80289730251932	112.629196072594	0.013796799963389	0.70990596437491	1.6850387304915	-1.04218302070142	0.340492376331766	3.56295338454247	1.34154918793436	0.163091147984237	1.42375820387348	7.8045425547334	0.152045844630152	0.115237901579474	3.4517367178758	1.25837562593714	3.86651296992507	3.63365649194678	0.0221212381761081	3.5617992178758	0.262238996731128	1.34060443097811	1.14259952350026	0.273191741472743	1.44110573095333	5.31774501249843	0.1178335168425	0.21741375593952	0.30965255806995	8.53338535067322	1.80255980770213	8.7597252937475	3.47118666721879	0.00613487219927341
6	2-6	0.645402972807934	0.183054504112495	1.69564069264058	84.9005744367139	1.3088804693455	8.45382731579442	0.937037816227185	0.994103707987138	1.92798748512889	0.562091184795822	0	0.104318306079383	3.81512562323749	0.158963567634896	1.39562122280706	0.0901009449222023	1.28077172604041	3.59009196100295	0.00345934991188028	0.452021721819024	1220.80238095238	0.153982384299742	20.1203648818329	0.298848199062591	7.63647269385296	0.38633513625414	1.80289730251932	112.629196072594	0.013796799963389	0.70990596437491	1.6850387304915	-1.04218302070142	0.340492376331766	3.56295338454247	1.34154918793436	0.163091147984237	1.42375820387348	7.8045425547334	0.152045844630152	0.115237901579474	3.4517367178758	1.25837562593714	3.86651296992507	3.63365649194678	0.0221212381761081	3.5617992178758	0.262238996731128	1.34060443097811	1.14259952350026	0.273191741472743	1.44110573095333	5.31774501249843	0.1178335168425	0.21741375593952	0.30965255806995	8.53338535067322	1.80255980770213	8.7597252937475	3.47118666721879	0.00613487219927341
7	2-11	0.650198958930786	0.216471459368143	1.70505609594968	68.8057532387138	1.68487618843239	8.13300021858361	0.965436584559462	0.995110183023554	2	0.587415025322945	0	0	4.71474949138073	0.204989108320901	1.54895483136565	0.277350098112615	1.30837514378649	4.05670727530464	0.0035231164305693	0.47632534141297	1083.7	0.157092323692153	21.238882163179	0.31956869423074	7.48966273116513	0.376227151351754	1.95638118702912	108.046510831463	0.0144690856687344	0.709905964374891	1.7676483495381	-1.04218302070138	0.308358000877304	3.49045821702377	1.32241209036598	0.168729067527675	1.40399376828494	7.68965059142861	0.171650796722499	0.176298098853939	3.37440604311072	1.2436481535667	3.8526767154232	4.00507389360958	0.188735196041841	3.48925386919768	0.274752427430644	1.32150845411289	1.1045557345821	0.289252652729145	1.41656990737057	5.22715463661781	0.173118211616709	0.225021305778944	0.274462134911294	7.57034570273143	1.62127756902489	8.16251712306862	3.93764685188616	0.00618776281002512
8	2-99	0.621437798883419	0.115988040445998	1.80801886406375	72.5445921180625	1.65555977257444	8.37724123098879	0.923057706689043	0.99407726586931	1.97412166504906	0.55111944757591	0	0.0796865188897179	3.82644982647941	0.159435409436642	1.39871045545806	0.0188522928384416	1.25462859794175	3.63649305961212	0.00369908165120098	0.539326104745103	1100.27380952381	0.134050359377658	19.5445423972625	0.357899915547738	9.36433963990773	0.357724707912593	1.931713422728	119.196381260217	0.0132484470832079	0.871209680433529	1.82759936718109	-1.19821626721354	0.319224289142637	3.51711588454247	1.35819966372704	0.160621923292725	1.38873924392735	7.79856253113329	0.154218616373093	0.128976494404531	3.37147005120913	1.24091033303205	3.82801059848834	3.72370951421306	0.041106234771219	3.5158242178758	0.262812132609205	1.35711146804098	1.10083023813701	0.277598903710044	1.41032663991302	5.28861333852008	0.113439672492672	0.211611343468348	0.317020483884507	8.70364104598568	2.14705123138924	9.35881866667251	3.41097794404633	0.00723877398536451
9	2-6	0.645402972807934	0.183054504112495	1.69564069264058	84.9005744367139	1.3088804693455	8.45382731579442	0.937037816227185	0.994103707987138	1.92798748512889	0.562091184795822	0	0.104318306079383	3.81512562323749	0.158963567634896	1.39562122280706	0.0901009449222023	1.28077172604041	3.59009196100295	0.00345934991188028	0.452021721819024	1220.80238095238	0.153982384299742	20.1203648818329	0.298848199062591	7.63647269385296	0.38633513625414	1.80289730251932	112.629196072594	0.013796799963389	0.70990596437491	1.6850387304915	-1.04218302070142	0.340492376331766	3.56295338454247	1.34154918793436	0.163091147984237	1.42375820387348	7.8045425547334	0.152045844630152	0.115237901579474	3.4517367178758	1.25837562593714	3.86651296992507	3.63365649194678	0.0221212381761081	3.5617992178758	0.262238996731128	1.34060443097811	1.14259952350026	0.273191741472743	1.44110573095333	5.31774501249843	0.1178335168425	0.21741375593952	0.30965255806995	8.53338535067322	1.80255980770213	8.7597252937475	3.47118666721879	0.00613487219927341
10	2-6	0.645402972807934	0.183054504112495	1.69564069264058	84.9005744367139	1.3088804693455	8.45382731579442	0.937037816227185	0.994103707987138	1.92798748512889	0.562091184795822	0	0.104318306079383	3.81512562323749	0.158963567634896	1.39562122280706	0.0901009449222023	1.28077172604041	3.59009196100295	0.00345934991188028	0.452021721819024	1220.80238095238	0.153982384299742	20.1203648818329	0.298848199062591	7.63647269385296	0.38633513625414	1.80289730251932	112.629196072594	0.013796799963389	0.70990596437491	1.6850387304915	-1.04218302070142	0.340492376331766	3.56295338454247	1.34154918793436	0.163091147984237	1.42375820387348	7.8045425547334	0.152045844630152	0.115237901579474	3.4517367178758	1.25837562593714	3.86651296992507	3.63365649194678	0.0221212381761081	3.5617992178758	0.262238996731128	1.34060443097811	1.14259952350026	0.273191741472743	1.44110573095333	5.31774501249843	0.1178335168425	0.21741375593952	0.30965255806995	8.53338535067322	1.80255980770213	8.7597252937475	3.47118666721879	0.00613487219927341
