No.	NAME	X2A	X0Av	X2Av
115	4-15	0.323054297733569	0.709708988162088	0.252969224450115
116	3-38	0.282174596963477	0.598755384673191	0.211198003080254
117	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
118	3-9	0.252791556464687	0.632557733797806	0.198261272558716
119	4-48	0.262965165988351	0.558045569380609	0.1613524813556
120	2-34	0.252796191814498	0.5935894185645	0.179419037202286
121	2-3	0.249432733105048	0.628830281428369	0.193467441727868
122	2-20	0.281185834719327	0.665241420614833	0.229256626675968
123	2-9	0.237937963843807	0.600736086424362	0.182704938373465
124	4-18	0.294060209703615	0.600232800278084	0.179815906286126
125	2-11	0.255094076160319	0.629150107768901	0.199022058536817
126	2-11	0.255094076160319	0.629150107768901	0.199022058536817
127	2-5	0.25006426026564	0.624710465651622	0.192232877673537
128	4-9	0.256779930542659	0.628082113651963	0.188288393437883
129	4-43	0.298010863199907	0.560290780102107	0.162164653194369
130	2-15	0.266809399075242	0.594057517732873	0.162970692454743
131	4-4	0.249432733105048	0.647342455828523	0.203910404241073
132	3-33	0.274193143974452	0.605104956543681	0.175546372684979
133	4-53	0.277123450407631	0.58961155768037	0.179526569185788
134	3-33	0.274193143974452	0.605104956543681	0.175546372684979
135	4-15	0.323054297733569	0.709708988162088	0.252969224450115
136	4-11	0.268412082029843	0.609818536366178	0.156054347941742
137	2-6	0.237937963843807	0.62376885327853	0.189581694864556
138	2-9	0.237937963843807	0.600736086424362	0.182704938373465
139	3-33	0.274193143974452	0.605104956543681	0.175546372684979
140	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
141	2-7	0.266518073429756	0.620174268190675	0.198451928088572
142	2-11	0.255094076160319	0.629150107768901	0.199022058536817
143	2-18	0.269106909127511	0.623279000797671	0.20258772163499
144	3-38	0.282174596963477	0.598755384673191	0.211198003080254
145	4-15	0.323054297733569	0.709708988162088	0.252969224450115
146	2-1	0.278592008658993	0.587430135421966	0.198158252797012
147	4-2	0.257078644719274	0.625202663987996	0.20198979229249
148	4-55	0.276046033673513	0.706469601653371	0.251587986333337
149	4-53	0.277123450407631	0.58961155768037	0.179526569185788
150	2-3	0.249432733105048	0.628830281428369	0.193467441727868
151	2-15	0.266809399075242	0.594057517732873	0.162970692454743
152	4-58	0.257830885342325	0.572276674642815	0.160029125590493
153	2-15	0.266809399075242	0.594057517732873	0.162970692454743
154	4-47	0.308497748299463	0.652189619661353	0.202044617987341
155	3-33	0.274193143974452	0.605104956543681	0.175546372684979
156	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
157	4-55	0.276046033673513	0.706469601653371	0.251587986333337
158	2-17	0.258331956715208	0.586078228868668	0.181707032734805
159	2-9	0.237937963843807	0.600736086424362	0.182704938373465
160	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
161	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
162	4-48	0.262965165988351	0.558045569380609	0.1613524813556
163	2-39	0.282300485078746	0.63839524311998	0.224165390062114
164	4-3	0.252791556464687	0.632557733797806	0.198261272558716
165	4-36	0.294758469897938	0.526159793715024	0.150570484969114
166	3-34	0.283917403600004	0.61495010198005	0.213549639257208
167	3-50	0.25006426026564	0.638075092692536	0.201657163103576
168	2-4	0.249432733105048	0.674981776053525	0.218396054369782
169	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
170	4-58	0.257830885342325	0.572276674642815	0.160029125590493
171	2-7	0.266518073429756	0.620174268190675	0.198451928088572
172	4-55	0.276046033673513	0.706469601653371	0.251587986333337
173	4-55a	0.284233122161026	0.58150463224023	0.181219867532329
174	3-42	0.280813823574736	0.59071868456811	0.188778318016871
175	4-33	0.249985800617293	0.591493168852208	0.179313855376752
176	2-17	0.258331956715208	0.586078228868668	0.181707032734805
177	4-62	0.262787266350519	0.675724088379804	0.220902498291253
178	4-18	0.294060209703615	0.600232800278084	0.179815906286126
179	4-36	0.294758469897938	0.526159793715024	0.150570484969114
180	2-15	0.266809399075242	0.594057517732873	0.162970692454743
181	2-8	0.283917403600004	0.593817615439532	0.206155186655502
182	2-63	0.2742378161286	0.588754682438626	0.188820975623914
183	4-3	0.252791556464687	0.632557733797806	0.198261272558716
184	3-39	0.279326767735149	0.604172954498859	0.210568192410777
185	4-53	0.277123450407631	0.58961155768037	0.179526569185788
186	3-42	0.280813823574736	0.59071868456811	0.188778318016871
187	4-4	0.249432733105048	0.647342455828523	0.203910404241073
188	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
189	2-59	0.261431598911075	0.57456058328237	0.184521669490274
190	2-17	0.258331956715208	0.586078228868668	0.181707032734805
191	2-15	0.266809399075242	0.594057517732873	0.162970692454743
192	4-33	0.249985800617293	0.591493168852208	0.179313855376752
193	2-72	0.245953684761389	0.570722669333395	0.174778376721886
194	4-58	0.257830885342325	0.572276674642815	0.160029125590493
195	4-55	0.276046033673513	0.706469601653371	0.251587986333337
196	4-9	0.256779930542659	0.628082113651963	0.188288393437883
197	2-17	0.258331956715208	0.586078228868668	0.181707032734805
198	2-11	0.255094076160319	0.629150107768901	0.199022058536817
199	4-46	0.30179779989429	0.634539715417428	0.24222923016539
200	4-11	0.268412082029843	0.609818536366178	0.156054347941742
201	4-35	0.300662118309395	0.645990615891975	0.235280202396135
202	4-28	0.292215099886471	0.642013273128424	0.198031179830077
203	4-28	0.292215099886471	0.642013273128424	0.198031179830077
204	4-11	0.268412082029843	0.609818536366178	0.156054347941742
205	2-11	0.255094076160319	0.629150107768901	0.199022058536817
206	2-26	0.251146062205832	0.578695154210584	0.18632762398801
207	4-45	0.301134160107229	0.564465462515787	0.160981332230198
208	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
209	4-57	0.267103572074013	0.674158866136661	0.234441507328039
210	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
211	2-5	0.25006426026564	0.624710465651622	0.192232877673537
212	2-17	0.258331956715208	0.586078228868668	0.181707032734805
213	4-47	0.308497748299463	0.652189619661353	0.202044617987341
214	Ampcillin	0.279921873593189	0.585340437632859	0.20523797203797
215	4-55	0.276046033673513	0.706469601653371	0.251587986333337
216	4-9	0.256779930542659	0.628082113651963	0.188288393437883
217	4-28	0.292215099886471	0.642013273128424	0.198031179830077
218	4-11	0.268412082029843	0.609818536366178	0.156054347941742
219	2-15	0.266809399075242	0.594057517732873	0.162970692454743
