No.	NAME	Uc	Hy	TPSA(Tot)	MLOGP	MLOGP2	LOGP99	ESOL	PDI	SAscore	PBF
2171	2-48	3.32192809488736	1.57048404367031	143.06	0.942808115524828	0.888887142699478	0.0373001918196678	-2.57023980509902	0.858171759613565	6.04239279901498	0.884411295156932
2172	3-48	3.16992500144231	-0.369332850111806	63.6	2.5911488219021	6.71405221724465	2.47062008082867	-3.34922226123751	0.913168395054238	5.56563260672976	0.818834889336215
2173	2-66	3.4594316186373	0.811132841785117	95.86	3.61919319383882	13.0985593743292	3.05140011012554	-4.90605103529748	0.912848790041257	6.30937627758795	0.999920678732143
2174	3-46	1	0.968203007441712	53.91	-0.948900076669019	0.90041135550247	1.3522000387311	-1.83159832455703	0.900685930581699	6.03641234515291	0.708008897559629
2175	2-69	2.32192809488736	-0.30892286455496	89.9	2.59871679268847	6.75332896860105	1.81870007514954	-4.15209543542652	0.892609079275074	6.21687207775453	0.900633987956442
2176	3-26	3.90689059560852	-0.348919585539168	96.83	1.94380174025387	3.77836520541398	4.17020008713007	-4.22799255606815	0.952862391067447	4.68840919324251	1.29040659319909
2177	2-61	2.32192809488736	0.27276710633716	106.89	1.92943535498948	3.72272078908337	-0.307599872350693	-2.34136854165044	0.852897210218418	6.19712126356055	0.886934127619037
2178	3-41	3.32192809488736	-0.175164081578565	99.31	0.0512072067462861	0.00262217802275689	0.0628000381402671	-1.72354013052921	0.946902863860827	4.24624330531404	0.673164100438818
2179	3-48	3.16992500144231	-0.369332850111806	63.6	2.5911488219021	6.71405221724465	2.47062008082867	-3.34922226123751	0.913168395054238	5.56563260672976	0.838468174500202
2180	3-54	3.16992500144231	1.01510539106368	84.84	-1.56276462140836	2.44223326192562	0.254620045423508	-1.4158548499936	0.964416540685462	6.15707248803145	0.680548077403461
2181	2-83	2	0.811132841785117	125.46	1.61358877260153	2.60366872706572	1.11070014536381	-3.23857503635598	0.897249141710175	6.55834747135779	0.975295609330019
2182	2-92	2.32192809488736	-0.323138749905236	91.29	2.02679592841227	4.10790173542854	1.70120009034872	-2.99444407900671	0.871558344689645	6.37929642552063	1.05265092893538
2183	2-93	2.8073549220576	0.227901676719328	101.93	1.6711594567483	2.79277392987928	1.81530014425516	-3.1814197876988	0.888392005899067	6.13311011869568	0.8759642438904
2184	3-52	3.16992500144231	-0.851392629175343	43.37	3.39897925241657	11.5530599583583	3.49822006374598	-4.03472269635106	0.938626461294143	5.52126370714271	0.624196129122548
2185	4-2	2.8073549220576	3.53717289590806	81.77	-5.89658690107874	34.7697370819734	-1.13690001517534	0.0313367182209829	0.915879871431737	6.41171631665355	0.845299291332209
2186	4-51	2.58496250072116	1.49129974984435	127.95	2.45054377254688	6.00516478116831	1.75530010461807	-3.69022615025082	0.905475123319421	6.33504788629857	0.976226366774952
2187	2-57	2	-0.896202767552993	40.13	4.63853367851061	21.5159946866772	3.87150009721518	-4.64724034678456	0.896678498044209	4.22312070490476	0.609452576679081
2188	2-28	3.32192809488736	-0.370580652827473	81.7	2.64513673517088	6.99674834775045	2.62942011654377	-3.59011258388056	0.914253800654812	5.67304403497419	0.707942410113956
2189	4-63	4.24792751344359	0.163869415813708	26.02	4.38007958001175	19.1850971272359	3.93719994276762	-4.50509506293629	0.999306317891463	3.52461070862842	0.761826701154908
2190	2-85	2.58496250072116	0.891473105386873	105.09	1.75367379391325	3.07537177545808	1.60710015892982	-3.10734830775769	0.862740353534287	6.18940153987086	0.988813115977069
2191	2-97	4.08746284125034	1.76258110027466	174	0.128462887662921	0.0165027135066964	0.496600083075464	-2.54339243389748	0.997642879113685	4.53496002879923	0.828419697411337
