No.	NAME	MW	AMW	Mv	Mp	Mi	nTA	RBN	RBF	nDB	nTB	nAB	nN	nO	nBR	nHM	nX	C%	O%	nCsp2	totalcharge
1	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
2	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
3	2-11	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	4	2	0.037037037037037	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
4	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
5	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
6	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
7	2-11	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	4	2	0.037037037037037	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
8	2-99	335.44	6.84571428571428	0.590142857142858	0.620714285714286	1.13321836734694	8	1	0.0192307692307692	3	0	0	1	5	0	0	0	36.734693877551	10.2040816326531	5	0
9	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
10	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
11	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
12	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
13	4-2	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	5	1	0.0185185185185185	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
14	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
15	4-6	286.43	6.3651111111111	0.589093333333334	0.637128888888889	1.12648666666667	4	2	0.0416666666666667	1	0	6	1	2	0	0	0	40	4.44444444444444	7	1
16	4-3a	270.43	6.14613636363636	0.586236363636364	0.641279545454546	1.12460227272727	4	1	0.0212765957446809	1	0	6	1	1	0	0	0	40.9090909090909	2.27272727272727	7	1
17	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
18	4-11	258.32	7.38057142857142	0.631908571428572	0.65942	1.12115714285714	5	1	0.027027027027027	2	0	10	1	3	0	0	0	42.8571428571429	8.57142857142857	11	1
19	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
20	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
21	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
22	4-11	258.32	7.38057142857142	0.631908571428572	0.65942	1.12115714285714	5	1	0.027027027027027	2	0	10	1	3	0	0	0	42.8571428571429	8.57142857142857	11	1
23	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
24	4-6	286.43	6.3651111111111	0.589093333333334	0.637128888888889	1.12648666666667	4	2	0.0416666666666667	1	0	6	1	2	0	0	0	40	4.44444444444444	7	1
25	4-3	284.46	6.05234042553191	0.581302127659575	0.63782340425532	1.1254829787234	4	2	0.04	1	0	6	1	1	0	0	0	40.4255319148936	2.12765957446809	8	1
26	2-9	332.46	6.64919999999999	0.589312	0.626824	1.130518	6	1	0.0185185185185185	3	0	0	1	4	0	0	0	38	8	5	1
27	4-28a	327.51	6.06499999999999	0.543366666666667	0.586392592592593	1.15234444444444	7	8	0.148148148148148	3	0	0	4	3	0	0	0	29.6296296296296	5.55555555555556	4	1
28	4-28a	327.51	6.06499999999999	0.543366666666667	0.586392592592593	1.15234444444444	7	8	0.148148148148148	3	0	0	4	3	0	0	0	29.6296296296296	5.55555555555556	4	1
29	2-9	332.46	6.64919999999999	0.589312	0.626824	1.130518	6	1	0.0185185185185185	3	0	0	1	4	0	0	0	38	8	5	1
30	4-3	284.46	6.05234042553191	0.581302127659575	0.63782340425532	1.1254829787234	4	2	0.04	1	0	6	1	1	0	0	0	40.4255319148936	2.12765957446809	8	1
31	2-11	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	4	2	0.037037037037037	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
32	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
33	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
34	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
35	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
36	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
37	3-33	342.45	6.98877551020408	0.610995918367347	0.644485714285715	1.12470816326531	6	5	0.0980392156862745	4	0	6	1	4	0	0	0	40.8163265306122	8.16326530612245	13	1
38	4-53	319.47	6.79723404255318	0.618940425531915	0.66502340425532	1.12633191489362	1	3	0.06	0	0	17	4	0	0	0	0	42.5531914893617	0	14	1
39	4-43	354.42	7.54085106382978	0.593974468085107	0.604210638297873	1.15656170212766	7	9	0.1875	3	0	5	6	5	0	0	0	29.7872340425532	10.6382978723404	6	0
40	2-4	272.48	5.67666666666666	0.560233333333334	0.623116666666667	1.1332125	4	1	0.0196078431372549	0	0	6	2	0	0	0	0	37.5	0	6	2
41	4-53	319.47	6.79723404255318	0.618940425531915	0.66502340425532	1.12633191489362	1	3	0.06	0	0	17	4	0	0	0	0	42.5531914893617	0	14	1
42	4-28a	327.51	6.06499999999999	0.543366666666667	0.586392592592593	1.15234444444444	7	8	0.148148148148148	3	0	0	4	3	0	0	0	29.6296296296296	5.55555555555556	4	1
43	2-8	301.38	8.1454054054054	0.614997297297298	0.638975675675676	1.13723243243243	4	3	0.0769230769230769	2	0	6	2	5	0	1	0	32.4324324324324	13.5135135135135	6	1
44	4-3a	270.43	6.14613636363636	0.586236363636364	0.641279545454546	1.12460227272727	4	1	0.0212765957446809	1	0	6	1	1	0	0	0	40.9090909090909	2.27272727272727	7	1
45	4-37	182.27	6.2851724137931	0.565586206896552	0.607765517241379	1.13900344827586	3	4	0.137931034482759	0	0	6	1	2	0	0	0	34.4827586206897	6.89655172413793	6	1
46	4-37	182.27	6.2851724137931	0.565586206896552	0.607765517241379	1.13900344827586	3	4	0.137931034482759	0	0	6	1	2	0	0	0	34.4827586206897	6.89655172413793	6	1
47	2-6	332.49	6.39403846153846	0.577607692307693	0.620636538461539	1.13504615384615	6	1	0.0178571428571429	3	0	0	2	3	0	0	0	36.5384615384615	5.76923076923077	5	2
48	2-15	328.42	7.1395652173913	0.617652173913044	0.648226086956522	1.1238152173913	5	5	0.104166666666667	4	0	6	1	4	0	0	0	41.304347826087	8.69565217391304	13	1
49	4-44	434.62	6.48686567164178	0.572095522388059	0.609741791044775	1.14018955223881	6	14	0.205882352941176	3	0	6	3	5	0	0	0	34.3283582089552	7.46268656716418	9	1
50	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
51	4-53	319.47	6.79723404255318	0.618940425531915	0.66502340425532	1.12633191489362	1	3	0.06	0	0	17	4	0	0	0	0	42.5531914893617	0	14	1
52	2-11	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	4	2	0.037037037037037	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
53	4-35	324.54	5.69368421052631	0.541368421052632	0.59530350877193	1.13995263157895	6	7	0.120689655172414	2	0	0	1	3	0	0	0	33.3333333333333	5.26315789473684	4	1
54	4-53	319.47	6.79723404255318	0.618940425531915	0.66502340425532	1.12633191489362	1	3	0.06	0	0	17	4	0	0	0	0	42.5531914893617	0	14	1
55	4-53	319.47	6.79723404255318	0.618940425531915	0.66502340425532	1.12633191489362	1	3	0.06	0	0	17	4	0	0	0	0	42.5531914893617	0	14	1
56	4-60	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	4	4	0.0740740740740741	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
57	2-99	335.44	6.84571428571428	0.590142857142858	0.620714285714286	1.13321836734694	8	1	0.0192307692307692	3	0	0	1	5	0	0	0	36.734693877551	10.2040816326531	5	0
58	2-11	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	4	2	0.037037037037037	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
59	2-4	272.48	5.67666666666666	0.560233333333334	0.623116666666667	1.1332125	4	1	0.0196078431372549	0	0	6	2	0	0	0	0	37.5	0	6	2
60	4-11	258.32	7.38057142857142	0.631908571428572	0.65942	1.12115714285714	5	1	0.027027027027027	2	0	10	1	3	0	0	0	42.8571428571429	8.57142857142857	11	1
61	4-54	345.61	5.57435483870967	0.548009677419355	0.609522580645161	1.13664516129032	6	4	0.0625	3	0	0	2	1	0	0	0	35.4838709677419	1.61290322580645	5	1
62	2-15	328.42	7.1395652173913	0.617652173913044	0.648226086956522	1.1238152173913	5	5	0.104166666666667	4	0	6	1	4	0	0	0	41.304347826087	8.69565217391304	13	1
63	4-48	408.52	7.70792452830188	0.666030188679245	0.697262264150943	1.11754905660377	2	3	0.0517241379310345	3	0	18	5	1	0	0	0	47.1698113207547	1.88679245283019	21	1
64	4-35	324.54	5.69368421052631	0.541368421052632	0.59530350877193	1.13995263157895	6	7	0.120689655172414	2	0	0	1	3	0	0	0	33.3333333333333	5.26315789473684	4	1
65	2-26	495.65	6.98098591549295	0.605969014084506	0.638049295774647	1.12822253521127	5	6	0.0779220779220779	4	0	5	2	6	0	0	0	39.4366197183099	8.45070422535211	9	1
66	4-60	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	4	4	0.0740740740740741	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
67	4-11	258.32	7.38057142857142	0.631908571428572	0.65942	1.12115714285714	5	1	0.027027027027027	2	0	10	1	3	0	0	0	42.8571428571429	8.57142857142857	11	1
68	4-28a	327.51	6.06499999999999	0.543366666666667	0.586392592592593	1.15234444444444	7	8	0.148148148148148	3	0	0	4	3	0	0	0	29.6296296296296	5.55555555555556	4	1
69	3-33	342.45	6.98877551020408	0.610995918367347	0.644485714285715	1.12470816326531	6	5	0.0980392156862745	4	0	6	1	4	0	0	0	40.8163265306122	8.16326530612245	13	1
70	2-99	335.44	6.84571428571428	0.590142857142858	0.620714285714286	1.13321836734694	8	1	0.0192307692307692	3	0	0	1	5	0	0	0	36.734693877551	10.2040816326531	5	0
71	4-53	319.47	6.79723404255318	0.618940425531915	0.66502340425532	1.12633191489362	1	3	0.06	0	0	17	4	0	0	0	0	42.5531914893617	0	14	1
72	4-37	182.27	6.2851724137931	0.565586206896552	0.607765517241379	1.13900344827586	3	4	0.137931034482759	0	0	6	1	2	0	0	0	34.4827586206897	6.89655172413793	6	1
73	2-8	301.38	8.1454054054054	0.614997297297298	0.638975675675676	1.13723243243243	4	3	0.0769230769230769	2	0	6	2	5	0	1	0	32.4324324324324	13.5135135135135	6	1
74	3-33	342.45	6.98877551020408	0.610995918367347	0.644485714285715	1.12470816326531	6	5	0.0980392156862745	4	0	6	1	4	0	0	0	40.8163265306122	8.16326530612245	13	1
75	2-17	378.53	6.75946428571428	0.6121	0.654430357142857	1.12020892857143	5	3	0.05	1	0	12	1	3	0	0	0	42.8571428571429	5.35714285714286	14	1
76	3-33	342.45	6.98877551020408	0.610995918367347	0.644485714285715	1.12470816326531	6	5	0.0980392156862745	4	0	6	1	4	0	0	0	40.8163265306122	8.16326530612245	13	1
77	4-11	258.32	7.38057142857142	0.631908571428572	0.65942	1.12115714285714	5	1	0.027027027027027	2	0	10	1	3	0	0	0	42.8571428571429	8.57142857142857	11	1
78	4-15	164.3	5.47666666666666	0.549973333333334	0.61592	1.13425	4	2	0.0666666666666667	0	0	6	1	0	0	0	0	36.6666666666667	0	6	1
79	4-36	408.37	9.28113636363636	0.649986363636364	0.626815909090909	1.18791590909091	8	4	0.0869565217391304	1	0	11	5	1	0	0	6	36.3636363636364	2.27272727272727	9	1
80	4-2	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	5	1	0.0185185185185185	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
81	2-99	335.44	6.84571428571428	0.590142857142858	0.620714285714286	1.13321836734694	8	1	0.0192307692307692	3	0	0	1	5	0	0	0	36.734693877551	10.2040816326531	5	0
82	2-8	301.38	8.1454054054054	0.614997297297298	0.638975675675676	1.13723243243243	4	3	0.0769230769230769	2	0	6	2	5	0	1	0	32.4324324324324	13.5135135135135	6	1
83	4-11	258.32	7.38057142857142	0.631908571428572	0.65942	1.12115714285714	5	1	0.027027027027027	2	0	10	1	3	0	0	0	42.8571428571429	8.57142857142857	11	1
84	4-30	318.43	6.77510638297872	0.59444255319149	0.629357446808511	1.13001489361702	6	0	0	3	0	0	1	4	0	0	0	38.2978723404255	8.51063829787234	5	1
85	4-11	258.32	7.38057142857142	0.631908571428572	0.65942	1.12115714285714	5	1	0.027027027027027	2	0	10	1	3	0	0	0	42.8571428571429	8.57142857142857	11	1
86	Ciprofloxacin	331.38	7.88999999999999	0.638245238095238	0.652602380952381	1.13772380952381	4	3	0.0666666666666667	3	0	6	3	3	0	0	1	40.4761904761905	7.14285714285714	10	0
87	4-3	284.46	6.05234042553191	0.581302127659575	0.63782340425532	1.1254829787234	4	2	0.04	1	0	6	1	1	0	0	0	40.4255319148936	2.12765957446809	8	1
88	2-2	365.25	10.4357142857143	0.650248571428572	0.685391428571429	1.12631142857143	4	3	0.0810810810810811	2	0	6	1	5	1	2	1	34.2857142857143	14.2857142857143	6	1
89	2-8	301.38	8.1454054054054	0.614997297297298	0.638975675675676	1.13723243243243	4	3	0.0769230769230769	2	0	6	2	5	0	1	0	32.4324324324324	13.5135135135135	6	1
90	4-54	345.61	5.57435483870967	0.548009677419355	0.609522580645161	1.13664516129032	6	4	0.0625	3	0	0	2	1	0	0	0	35.4838709677419	1.61290322580645	5	1
91	4-53	319.47	6.79723404255318	0.618940425531915	0.66502340425532	1.12633191489362	1	3	0.06	0	0	17	4	0	0	0	0	42.5531914893617	0	14	1
92	3-33	342.45	6.98877551020408	0.610995918367347	0.644485714285715	1.12470816326531	6	5	0.0980392156862745	4	0	6	1	4	0	0	0	40.8163265306122	8.16326530612245	13	1
93	2-41	400.54	7.15249999999999	0.634857142857142	0.672896428571428	1.1194375	4	4	0.0666666666666667	2	0	17	3	2	0	0	0	44.6428571428571	3.57142857142857	18	1
94	4-4	272.45	5.92282608695652	0.5722	0.629950000000001	1.12821086956522	4	1	0.0204081632653061	0	0	6	1	1	0	0	0	39.1304347826087	2.17391304347826	6	1
