No.	NAME	G(N..N)	G(N..S)	G(O..I)	G(F..F)
152	4-58	40.4589424133301	0	0	0
153	2-15	0	0	0	0
154	4-47	2.90575861930847	0	0	0
155	3-33	0	0	0	0
156	Tetracycline	5.28294706344604	0	0	0
157	4-55	0	0	0	0
158	2-17	0	0	0	0
159	2-9	0	0	0	0
160	4-28a	31.6274261474609	0	0	0
161	Tetracycline	5.06713914871216	0	0	0
162	4-48	62.5879440307617	0	0	0
163	2-39	4.55850601196289	0	0	0
164	4-3	0	0	0	0
165	4-36	45.2494773864746	0	0	141.588836669922
166	3-34	0	7.08457612991333	0	0
167	3-50	0	0	0	0
168	2-4	6.62831449508667	0	0	0
169	4-28a	35.0848007202148	0	0	0
170	4-58	39.8971939086914	0	0	0
171	2-7	19.0809879302979	15.582347869873	0	0
172	4-55	0	0	0	0
173	4-55a	5.67131662368774	0	0	0
174	3-42	0	0	0	0
175	4-33	3.72041702270508	0	0	0
176	2-17	0	0	0	0
177	4-62	0	0	0	0
178	4-18	0	0	0	0
179	4-36	44.7371139526367	0	0	135.92822265625
180	2-15	0	0	0	0
181	2-8	10.8455410003662	12.281777381897	0	0
182	2-63	11.0880117416382	0	0	0
183	4-3	0	0	0	0
184	3-39	0	7.09531784057617	0	0
185	4-53	26.5219287872314	0	0	0
186	3-42	0	0	0	0
187	4-4	0	0	0	0
188	4-28a	31.605655670166	0	0	0
189	2-59	0	0	0	0
190	2-17	0	0	0	0
191	2-15	0	0	0	0
192	4-33	3.74792265892029	0	0	0
193	2-72	0	0	0	0
194	4-58	39.8256683349609	0	0	0
195	4-55	0	0	0	0
196	4-9	0	0	0	0
197	2-17	0	0	0	0
198	2-11	6.57405996322632	0	0	0
199	4-46	6.63447427749634	8.2658576965332	0	0
200	4-11	0	0	0	0
201	4-35	0	0	0	0
202	4-28	3.78911447525024	0	0	0
203	4-28	3.84355354309082	0	0	0
204	4-11	0	0	0	0
205	2-11	6.57725429534912	0	0	0
206	2-26	6.95867347717285	0	0	0
207	4-45	78.4313735961914	0	0	0
208	Ciprofloxacin	15.3118190765381	0	0	0
209	4-57	0	3.21644687652588	0	0
210	Tetracycline	5.16694211959839	0	0	0
211	2-5	0	0	0	0
212	2-17	0	0	0	0
213	4-47	2.87845039367676	0	0	0
214	Ampcillin	11.1553640365601	10.0399026870728	0	0
215	4-55	0	0	0	0
216	4-9	0	0	0	0
217	4-28	3.80328154563904	0	0	0
218	4-11	0	0	0	0
219	2-15	0	0	0	0
220	2-11	6.47908353805542	0	0	0
221	4-47	3.72355937957764	0	0	0
222	Ampcillin	11.2355728149414	10.1106433868408	0	0
223	2-99	0	0	0	0
224	2-7	19.5107955932617	15.7197322845459	0	0
225	4-28	3.83026313781738	0	0	0
226	2-8	11.5063228607178	12.8322296142578	0	0
227	4-35	0	0	0	0
228	4-33	3.65905237197876	0	0	0
229	4-30	0	0	0	0
230	4-58	38.6855392456055	0	0	0
231	4-4	0	0	0	0
232	Ciprofloxacin	14.1842803955078	0	0	0
233	2-30	6.66010427474976	0	0	0
234	2-26	7.09017181396484	0	0	0
235	3-33	0	0	0	0
236	4-35	0	0	0	0
237	Ciprofloxacin	15.3239488601685	0	0	0
238	4-18	0	0	0	0
239	3-42	0	0	0	0
240	2-26	7.28497314453125	0	0	0
241	2-7	19.4895820617676	15.6875791549683	0	0
242	4-4	0	0	0	0
243	4-28a	31.831750869751	0	0	0
244	4-11	0	0	0	0
245	2-13	6.04389476776123	0	0	0
246	3-38	0	6.24969148635864	0	0
247	4-48	61.8572235107422	0	0	0
248	4-54	3.76209211349487	0	0	0
249	3-9	0	0	0	0
250	3-42	0	0	0	0
251	2-9	0	0	0	0
252	2-30	6.5717716217041	0	0	0
253	4-43	77.5280609130859	0	0	0
254	2-8	9.36069297790527	12.5167798995972	0	0
255	2-17	0	0	0	0
256	2-71	0	0	0	0
257	Ciprofloxacin	14.9584856033325	0	0	0
258	4-3	0	0	0	0
259	3-34	0	7.23309755325317	0	0
260	2-1	0	6.36087799072266	0	0
261	4-52	6.42716932296753	0	0	0
262	2-26	6.27061176300049	0	0	0
263	2-17	0	0	0	0
264	Tetracycline	5.2786808013916	0	0	0
265	4-3	0	0	0	0
266	2-15	0	0	0	0
267	Tetracycline	5.20741939544678	0	0	0
268	4-43	69.7114105224609	0	0	0
269	2-26	7.23957824707031	0	0	0
270	2-51	0	4.06813859939575	0	0
271	3-39	0	7.41789197921753	0	0
272	3-38	0	7.39280605316162	0	0
273	2-61	0	0	0	0
274	3-34	0	6.93076705932617	0	0
275	2-34	5.73974847793579	0	0	0
276	2-18	19.6652374267578	15.7918682098389	0	0
277	4-48	62.5336494445801	0	0	0
278	2-7	21.2681941986084	16.0785236358643	0	0
279	4-43	73.6889190673828	0	0	0
280	4-48	62.0553359985352	0	0	0
281	4-18	0	0	0	0
282	2-2	0	6.23271179199219	0	0
283	2-30	6.53493976593018	0	0	0
284	2-72	0	0	0	0
285	2-59	0	0	0	0
286	4-14	3.83699035644531	0	0	0
287	4-44	16.2056694030762	0	0	0
288	2-7	20.2477951049805	15.9335994720459	0	0
289	4-18	0	0	0	0
290	4-57	0	4.11617374420166	0	0
291	4-43	73.7339553833008	0	0	0
292	2-30	5.99433374404907	0	0	0
293	3-39	0	7.37572813034058	0	0
294	2-1	0	6.83814668655396	0	0
295	2-25	0	0	0	0
296	4-48	62.3833618164063	0	0	0
297	2-16	0	0	0	0
298	4-58	39.3590469360352	0	0	0
299	2-12	14.417498588562	0	0	0
300	3-38	0	7.10654354095459	0	0
301	3-17	0	0	0	0
302	4-35	0	0	0	0
303	2-15	0	0	0	0
304	4-28a	31.4798488616943	0	0	0
305	2-1	0	7.10424375534058	0	0
306	Ciprofloxacin	15.3019943237305	0	0	0
307	4-33	3.69060921669006	0	0	0
308	4-54	2.81656742095947	0	0	0
309	2-1	0	7.21132135391235	0	0
310	4-15	0	0	0	0
311	4-48	62.1710205078125	0	0	0
312	3-34	0	6.85913133621216	0	0
313	4-15	0	0	0	0
314	4-44	15.3498544692993	0	0	0
315	4-18	0	0	0	0
316	2-18	21.4168128967285	16.1542530059814	0	0
317	3-39	0	7.38359785079956	0	0
318	2-59	0	0	0	0
319	2-39	4.97213315963745	0	0	0
320	2-17	0	0	0	0
321	2-9	0	0	0	0
322	2-99	0	0	0	0
323	2-15	0	0	0	0
324	Ciprofloxacin	15.1018848419189	0	0	0
325	2-3	0	0	0	0
326	2-7	20.7446556091309	16.1151523590088	0	0
327	4-43	65.6768798828125	0	0	0
328	2-34	5.85569477081299	0	0	0
329	Tetracycline	5.37134838104248	0	0	0
330	2-63	12.1505632400513	0	0	0
331	Tetracycline	5.32471084594727	0	0	0
332	4-11	0	0	0	0
333	2-11	6.56617879867554	0	0	0
334	3-34	0	6.25891256332397	0	0
335	2-8	12.0262613296509	12.2837247848511	0	0
336	3-42	0	0	0	0
337	2-20	0	7.24926900863647	0	0
338	2-26	7.49171876907349	0	0	0
339	4-54	3.78567099571228	0	0	0
340	4-54	3.76991868019104	0	0	0
341	4-47	2.86644220352173	0	0	0
342	4-43	61.6174697875977	0	0	0
343	4-48	61.8193969726563	0	0	0
344	3-42	0	0	0	0
345	3-34	0	6.4408860206604	0	0
346	4-28	3.75442242622375	0	0	0
347	2-20	0	7.33342313766479	0	0
348	4-3	0	0	0	0
349	4-44	15.1678047180176	0	0	0
350	2-41	16.0210914611816	0	0	0
351	4-48	62.2465171813965	0	0	0
352	2-74	0	0	0	0
353	4-15	0	0	0	0
354	4-28a	34.8324584960938	0	0	0
355	Ampcillin	11.7271881103516	10.8353366851807	0	0
356	2-18	20.9483489990234	16.1838989257813	0	0
357	2-18	16.6042785644531	14.2660818099976	0	0
358	4-60	5.56589221954346	0	0	0
359	2-24	5.91974020004272	0	0	0
360	2-70	0	0	0	0
361	4-18	0	0	0	0
362	2-72	0	0	0	0
363	2-19	5.58552694320679	0	0	0
364	Tetracycline	5.4146294593811	0	0	0
365	2-72	0	0	0	0
366	2-7	19.8759346008301	15.5901613235474	0	0
367	2-18	20.2152862548828	15.9774351119995	0	0
368	4-54	3.77266597747803	0	0	0
369	Ciprofloxacin	15.3937225341797	0	0	0
370	2-74	0	0	0	0
371	4-28	3.85709381103516	0	0	0
372	2-15	0	0	0	0
373	2-1	0	6.91006422042847	0	0
374	4-16	0	0	0	0
375	2-7	17.1223430633545	14.6344518661499	0	0
376	Chloramphenicol	6.80086994171143	0	0	0
377	4-44	15.1082019805908	0	0	0
378	4-28	3.00446391105652	0	0	0
379	2-71	0	0	0	0
380	2-30	6.59467267990112	0	0	0
381	4-30	0	0	0	0
382	2-3	0	0	0	0
383	3-38	0	6.62785339355469	0	0
384	4-33	3.70945358276367	0	0	0
385	4-30	0	0	0	0
386	2-59	0	0	0	0
387	4-28	2.96562933921814	0	0	0
388	2-15	0	0	0	0
389	2-99	0	0	0	0
390	2-72	0	0	0	0
391	4-35	0	0	0	0
392	2-23	0	0	0	0
393	2-12	14.5035619735718	0	0	0
394	4-60	5.10233211517334	0	0	0
395	2-12	14.580041885376	0	0	0
396	4-3	0	0	0	0
397	4-55	0	0	0	0
398	2-19	5.51950693130493	0	0	0
399	4-30	0	0	0	0
400	2-7	17.0436267852783	14.5526180267334	0	0
401	2-54	0	0	0	0
402	Ciprofloxacin	15.274977684021	0	0	0
403	2-17	0	0	0	0
404	4-58	34.7831993103027	0	0	0
405	2-68	0	0	0	0
406	2-18	19.310546875	15.541802406311	0	0
407	3-42	0	0	0	0
408	2-96	0	3.19923400878906	0	0
409	2-16	0	0	0	0
410	Tetracycline	5.40510368347168	0	0	0
411	3-38	0	6.90503120422363	0	0
412	4-35	0	0	0	0
413	2-24	5.80577373504639	0	0	0
414	Ampcillin	11.7343273162842	10.8278398513794	0	0
415	4-44	16.9787788391113	0	0	0
416	2-24	7.7811713218689	0	0	0
417	2-25	0	0	0	0
418	4-3	0	0	0	0
419	2-7	19.4760570526123	15.5563297271729	0	0
420	2-61	0	0	0	0
421	4-35	0	0	0	0
422	2-58	0	0	0	0
423	4-39	0	0	0	0
424	2-59	0	0	0	0
425	2-39	4.99276208877563	0	0	0
426	4-58	40.0594253540039	0	0	0
427	4-15	0	0	0	0
428	2-16	0	0	0	0
429	2-65	0	0	0	0
430	3-24	18.2611103057861	15.3976268768311	0	0
431	4-30	0	0	0	0
432	4-33	3.70583462715149	0	0	0
433	2-99	0	0	0	0
434	4-35	0	0	0	0
435	2-41	16.464017868042	0	0	0
436	3-38	0	7.1124095916748	0	0
437	2-41	14.3130674362183	0	0	0
438	4-43	65.3676452636719	0	0	0
439	3-29	0	0	0	0
440	2-99	0	0	0	0
441	2-54	0	0	0	0
442	2-84	0	0	0	0
443	2-19	8.76957511901855	0	0	0
444	3-34	0	7.03511905670166	0	0
445	2-73	7.59064769744873	0	0	0
446	4-44	14.2729349136353	0	0	0
447	4-39	0	0	0	0
448	4-18	0	0	0	0
449	3-38	0	6.73947095870972	0	0
450	4-30	0	0	0	0
451	2-96	0	3.19345498085022	0	0
452	4-3	0	0	0	0
453	3-39	0	7.18823337554932	0	0
454	2-7	21.0407066345215	15.9473390579224	0	0
455	2-30	6.22528266906738	0	0	0
456	2-54	0	0	0	0
457	Ciprofloxacin	14.0417051315308	0	0	0
458	4-55	0	0	0	0
459	2-24	6.17427110671997	0	0	0
460	2-12	14.5900230407715	0	0	0
461	2-1	0	6.80866003036499	0	0
462	4-33	3.68702793121338	0	0	0
463	4-54	2.81476759910584	0	0	0
464	2-8	10.154746055603	12.3851928710938	0	0
465	4-45	81.2239074707031	0	0	0
466	2-46	0	0	0	0
467	2-7	22.1704940795898	16.5835952758789	0	0
468	3-39	0	7.24865436553955	0	0
469	2-90	0	0	0	0
470	2-25	0	0	0	0
471	4-45	67.4972534179688	0	0	0
472	2-82	0	0	0	0
473	Ampcillin	12.1739053726196	11.1958599090576	0	0
474	Ciprofloxacin	15.6032857894897	0	0	0
475	4-9	0	0	0	0
476	2-77	9.39411067962646	0	0	0
477	2-96	0	3.16521120071411	0	0
478	2-68	0	0	0	0
479	2-99	0	0	0	0
480	Tetracycline	5.15742683410645	0	0	0
481	2-64	3.43496251106262	0	0	0
482	3-38	0	6.96634340286255	0	0
483	Ciprofloxacin	15.5322790145874	0	0	0
484	2-72	0	0	0	0
485	2-100	0	0	0	0
486	2-54	0	0	0	0
487	2-39	4.60826826095581	0	0	0
488	2-59	0	0	0	0
489	4-14	3.85519218444824	0	0	0
490	Tetracycline	5.33570718765259	0	0	0
491	Ampcillin	13.058087348938	11.4492216110229	0	0
492	2-71	0	0	0	0
493	2-26	7.45396852493286	0	0	0
494	2-2	0	6.62977123260498	0	0
495	2-54	0	0	0	0
496	2-75	0	0	0	0
497	2-97	11.0269002914429	32.3920974731445	0	0
498	4-14	3.81111788749695	0	0	0
499	2-17	0	0	0	0
500	2-39	5.02180814743042	0	0	0
501	4-37	0	0	0	0
502	3-24	21.3653087615967	16.265625	0	0
503	4-39	0	0	0	0
504	4-37	0	0	0	0
505	2-14	0	0	0	0
506	2-17	0	0	0	0
507	2-49	0	0	0	0
508	2-72	0	0	0	0
509	2-49	0	0	0	0
510	2-53	0	0	0	0
511	3-33	0	0	0	0
512	2-75	0	0	0	0
513	2-30	5.30300045013428	0	0	0
514	2-59	0	0	0	0
515	4-39	0	0	0	0
516	2-18	21.211332321167	15.998215675354	0	0
517	3-50	0	0	0	0
518	3-42	0	0	0	0
519	2-39	4.99748849868774	0	0	0
520	2-41	15.8215761184692	0	0	0
521	4-28	3.83770656585693	0	0	0
522	2-75	0	0	0	0
523	4-43	77.8313293457031	0	0	0
524	2-75	0	0	0	0
525	4-44	15.8335123062134	0	0	0
526	2-14	0	0	0	0
527	2-1	0	6.91210556030273	0	0
528	2-59	0	0	0	0
529	4-33	3.71307444572449	0	0	0
530	2-78	8.21001815795898	0	0	0
531	4-54	3.78013372421265	0	0	0
532	4-47	2.87322211265564	0	0	0
533	2-56	0	0	0	0
534	2-90	0	0	0	0
535	4-45	71.6054000854492	0	0	0
536	2-1	0	6.37403917312622	0	0
537	4-39	0	0	0	0
538	2-26	7.02267980575562	0	0	0
539	2-54	0	0	0	0
540	4-58	34.1925277709961	0	0	0
541	4-33	3.67678308486938	0	0	0
542	4-54	3.74910640716553	0	0	0
543	2-19	10.1592378616333	0	0	0
544	2-4	6.65642070770264	0	0	0
545	2-72	0	0	0	0
546	2-59	0	0	0	0
547	Tetracycline	5.13794946670532	0	0	0
548	3-38	0	6.72009325027466	0	0
549	3-34	0	6.97450637817383	0	0
550	3-9	0	0	0	0
551	3-38	0	7.32331228256226	0	0
552	Tetracycline	5.18355941772461	0	0	0
553	4-43	57.9150848388672	0	0	0
554	3-34	0	6.41777181625366	0	0
555	2-48	0	0	0	0
556	2-9	0	0	0	0
557	2-96	0	3.12174463272095	0	0
558	2-2	0	6.33590793609619	0	0
559	2-34	5.76226139068604	0	0	0
560	2-100	0	0	0	0
561	2-39	4.48732471466064	0	0	0
562	2-75	0	0	0	0
563	2-36	0	0	0	0
564	4-17	0	0	0	0
565	2-64	3.47080850601196	0	0	0
566	2-49	0	0	0	0
567	4-2	6.67345905303955	0	0	0
568	2-72	0	0	0	0
569	2-17	0	0	0	0
570	2-12	14.6092576980591	0	0	0
571	2-52	0	0	0	0
572	4-39	0	0	0	0
573	2-77	11.0019989013672	0	0	0
574	2-12	14.6150188446045	0	0	0
575	2-51	0	3.60530638694763	0	0
576	Ciprofloxacin	15.5230340957642	0	0	0
577	4-44	16.149959564209	0	0	0
578	3-40	0	7.31526136398315	0	0
579	3-34	0	6.39899253845215	0	0
580	3-2	0	6.85058069229126	0	0
581	3-29	0	0	0	0
582	2-100	0	0	0	0
583	4-28	3.85044169425964	0	0	0
584	2-2	0	7.19822311401367	0	0
585	2-75	0	0	0	0
586	Ciprofloxacin	15.3127775192261	0	0	0
587	2-2	0	7.31752824783325	0	0
588	4-2	6.68310689926147	0	0	0
589	2-50	0	0	0	0
590	2-61	0	0	0	0
591	2-63	11.2983474731445	0	0	0
592	4-58	34.8571929931641	0	0	0
593	2-17	0	0	0	0
594	2-18	19.8026561737061	15.5807695388794	0	0
595	2-54	0	0	0	0
596	4-27	0	0	0	0
597	4-35	0	0	0	0
598	2-8	10.5679035186768	13.2555713653564	0	0
599	2-96	0	3.16212940216064	0	0
600	2-41	15.8977060317993	0	0	0
601	2-30	4.87137413024902	0	0	0
602	3-41	0	7.08728742599487	0	0
603	2-7	21.2103614807129	16.1907005310059	0	0
604	2-71	0	0	0	0
605	2-13	5.78048038482666	0	0	0
606	2-55	0	0	0	0
607	2-21	8.13205528259277	0	0	0
608	4-33	3.67636132240295	0	0	0
609	2-12	14.304856300354	0	0	0
610	3-24	21.3584651947021	16.3037605285645	0	0
611	2-23	0	0	0	0
612	4-55	0	0	0	0
613	4-30	0	0	0	0
614	4-28a	34.6401824951172	0	0	0
615	4-58	40.1797294616699	0	0	0
616	2-24	7.57672309875488	0	0	0
617	2-41	12.9093723297119	0	0	0
618	2-96	0	3.18429398536682	0	0
619	4-60	5.61888694763184	0	0	0
620	4-55a	8.90369129180908	0	0	0
621	2-5	0	0	0	0
622	2-2	0	7.36640644073486	0	0
623	2-2	0	6.47732496261597	0	0
624	2-4	6.00136518478394	0	0	0
625	3-39	0	7.10691165924072	0	0
626	4-15	0	0	0	0
627	2-7	20.9668960571289	16.3368682861328	0	0
628	4-62	0	0	0	0
629	4-17	0	0	0	0
630	2-13	5.78919792175293	0	0	0
631	4-30	0	0	0	0
632	4-60	5.42385149002075	0	0	0
633	4-33	3.74523520469666	0	0	0
634	2-13	5.59702587127686	0	0	0
635	4-39	0	0	0	0
636	2-9	0	0	0	0
637	4-33	3.67236232757568	0	0	0
638	2-12	14.4904594421387	0	0	0
639	3-29	0	0	0	0
640	2-53	0	0	0	0
641	2-61	0	0	0	0
642	4-16	0	0	0	0
643	4-15	0	0	0	0
644	2-37	0	0	0	0
645	2-91	0	0	0	0
646	2-64	3.49818062782288	0	0	0
647	2-44	0	0	0	0
648	2-12	14.5173969268799	0	0	0
649	Ampcillin	13.1233024597168	11.8755397796631	0	0
650	2-71	0	0	0	0
651	4-55	0	0	0	0
652	2-24	7.64679527282715	0	0	0
653	4-27	0	0	0	0
654	2-55	0	0	0	0
655	2-2	0	6.52083778381348	0	0
656	3-15	0	0	0	0
657	2-48	0	0	0	0
658	4-3	0	0	0	0
659	2-24	7.42163467407227	0	0	0
660	2-39	4.44084548950195	0	0	0
661	4-37	0	0	0	0
662	4-60	5.29145193099976	0	0	0
663	2-81	0	0	0	0
664	4-2	6.66787958145142	0	0	0
665	4-58	36.2326240539551	0	0	0
666	2-65	0	0	0	0
667	2-95	0	5.97658586502075	0	0
668	2-19	10.2802772521973	0	0	0
669	Chloramphenicol	7.99811172485352	0	0	0
670	4-12	0	0	0	0
671	2-63	13.0471668243408	0	0	0
672	2-11	6.54796266555786	0	0	0
673	2-36	0	0	0	0
674	2-24	7.05563354492188	0	0	0
675	2-73	7.74614143371582	0	0	0
676	3-24	20.8839626312256	15.8676767349243	0	0
677	2-12	14.5760984420776	0	0	0
678	2-59	0	0	0	0
679	4-4	0	0	0	0
680	2-24	7.01994466781616	0	0	0
681	2-16	0	0	0	0
682	2-20	0	7.37713861465454	0	0
683	2-2	0	6.92300128936768	0	0
684	2-3	0	0	0	0
685	2-55	0	0	0	0
686	2-41	16.3479061126709	0	0	0
687	2-91	0	0	0	0
688	2-18	20.8877105712891	16.0953502655029	0	0
689	2-52	0	0	0	0
690	Tetracycline	5.29518222808838	0	0	0
691	2-74	0	0	0	0
692	3-29	0	0	0	0
693	4-33	3.61193013191223	0	0	0
694	4-17	0	0	0	0
695	Tetracycline	5.1416163444519	0	0	0
696	2-13	5.75567150115967	0	0	0
697	3-49	0	0	0	0
698	4-44	15.9992876052856	0	0	0
699	2-99	0	0	0	0
700	3-24	19.7890071868896	15.6948471069336	0	0
701	2-75	0	0	0	0
702	2-64	3.4299328327179	0	0	0
703	3-37	0	0	0	0
704	3-29	0	0	0	0
705	2-44	0	0	0	0
706	2-65	0	0	0	0
707	3-24	21.340913772583	16.2513008117676	0	0
708	3-39	0	6.91986608505249	0	0
709	2-39	4.97984218597412	0	0	0
710	2-99	0	0	0	0
711	4-30	0	0	0	0
712	2-39	4.35965442657471	0	0	0
713	4-45	81.0531463623047	0	0	0
714	2-39	4.38754796981812	0	0	0
715	2-59	0	0	0	0
716	4-35	0	0	0	0
717	2-41	12.7603588104248	0	0	0
718	2-26	8.28092384338379	0	0	0
719	2-56	0	0	0	0
720	4-39	0	0	0	0
721	4-47	2.85968589782715	0	0	0
722	2-5	0	0	0	0
723	2-19	10.0120162963867	0	0	0
724	3-9	0	0	0	0
725	4-17	0	0	0	0
726	2-74	0	0	0	0
727	4-45	71.3413009643555	0	0	0
728	4-58	39.2831039428711	0	0	0
729	4-45	80.1185913085938	0	0	0
730	2-8	11.9597663879395	12.9516286849976	0	0
731	2-72	0	0	0	0
732	2-91	0	0	0	0
733	2-79	0	0	0	0
734	2-16	0	0	0	0
735	2-63	11.1130142211914	0	0	0
736	3-24	18.7526798248291	15.0817975997925	0	0
737	2-24	7.85442495346069	0	0	0
738	2-83	0	0	0	0
739	2-14	0	0	0	0
740	2-97	14.7774124145508	32.6082000732422	0	0
741	4-37	0	0	0	0
742	3-52	0	0	0	0
743	3-5	0	7.27518701553345	0	0
744	2-100	0	0	0	0
745	2-64	3.42982959747314	0	0	0
746	3-31	0	0	0	0
747	3-24	19.8803958892822	15.5639448165894	0	0
748	2-46	0	0	0	0
749	4-15	0	0	0	0
750	2-13	5.79709243774414	0	0	0
751	3-53	0	0	0	0
752	2-18	21.1827201843262	16.1851272583008	0	0
753	Chloramphenicol	6.76044511795044	0	0	0
754	2-65	0	0	0	0
755	2-52	0	0	0	0
756	2-53	0	0	0	0
757	3-42	0	0	0	0
758	3-42	0	0	0	0
759	2-20	0	6.82125234603882	0	0
760	2-4	6.19675874710083	0	0	0
761	4-52	6.49974966049194	0	0	0
762	2-85	0	0	0	0
763	2-24	6.93252420425415	0	0	0
764	2-90	0	0	0	0
