No.	NAME	WiA_G	J_G	VE1sign_G	VE3sign_G	SpPosA_RG	VE1_RG	VE2_RG	VE3_RG	VE1sign_RG	VE2sign_RG	VE3sign_RG	Chi_G/D	J_G/D	SpMaxA_G/D	VE1sign_G/D	VE3sign_G/D	AVS_Coulomb	H_Coulomb	Chi_Coulomb	ChiA_Coulomb	SpMAD_Coulomb	VE1_Coulomb	VE2_Coulomb	VE1sign_Coulomb	VE3sign_Coulomb
1	2-6	4.70602809981612	2.32305441034855	0.0149389120536562	-9.49354135313067	0.454414779655186	2.4869840840911	0.0478266170017519	2.05749963084623	0.164966695849073	0.00317243645863601	-4.06953936522816	1.06365965849064	9.92749014591266	0.978964119423673	0.0477005033645106	-6.87168059759026	194.2641933724	3557.46345289051	0.297379319080986	0.00531034498358903	26.3825058182458	3.67773527451612	0.0707256783560792	0.875747412487935	-0.299629913383389
2	2-6	4.69825341376969	2.32596048121754	0.0221567851862551	-8.60336491477013	0.454333211891189	2.49130420111661	0.0479096961753193	2.06141915394892	0.164807688264646	0.00316937862047396	-4.07171716830149	1.06457027488936	9.93598923230074	0.977976350349748	0.0459914734196534	-6.9540779193468	194.305020427878	3551.53402532834	0.297316240907459	0.00530921858763319	26.3838310058248	3.69759993611055	0.071107691079049	0.876106958813636	-0.298702924533226
3	2-11	4.91873348545944	2.53464785513923	0.260129790365766	-2.98253053614198	0.454803380800337	2.20630912058485	0.0432609631487226	1.75269843756498	0.228034590885292	0.0044712664879469	-3.27419627325887	1.07059586432604	11.5624353347212	0.958100631992035	0.0389483217307407	-7.18850738102928	181.614428568197	3613.64922532704	0.309034500593365	0.00572286112209935	26.1011001742724	5.58291084868968	0.109468840170386	1.50463555912706	0.904899738668553
4	2-6	4.74975425915079	2.29987574749336	0.0146148164983236	-9.5430744927211	0.453808300157745	2.2692450223409	0.0436393273527097	1.85058323569661	0.220903336276587	0.00424814108224205	-3.41014816990419	1.05483308850578	9.84510882605391	0.985550178421796	0.14487915824402	-4.36276924700136	193.22691261479	3579.76437544596	0.299157748355837	0.00534210264921138	26.4156918242355	4.54879956746864	0.0874769147590123	1.03193396649416	0.0709899198050507
5	2-6	4.70130044484666	2.3253335775446	0.0224542982776574	-8.57324266544394	0.454768195971259	2.52270690366234	0.0485135943011988	2.08970733761614	0.158864993263735	0.0030550960243026	-4.15465331487452	1.06433660551447	9.93380831813507	0.978380839224661	0.0534195947584626	-6.61595693649325	194.346432036448	3555.69820220164	0.297241473181055	0.00530788344966169	26.3812618255399	3.84927350272311	0.0740244904369828	0.920783306031262	-0.186381328352964
6	2-6	4.70955623160006	2.32154613314903	0.0202828923796667	-8.80292459118682	0.454683085331505	2.28977405499392	0.0440341164421907	1.87092167678974	0.22076982337664	0.00424557352647384	-3.41151350698336	1.0627477052226	9.9189785820776	0.979669575510255	0.0564143680400866	-6.49277341704627	194.195828888457	3560.71318604002	0.297630001917397	0.00531482146281066	26.3843735670593	4.49945199796033	0.0865279230376987	1.06684209332656	0.146120742981102
7	2-11	4.886794810237	2.54912935191324	0.287837641213299	-2.75834730610972	0.454987032659786	2.19865129830691	0.0431108097707237	1.74499741859389	0.229870827665936	0.00450727113070462	-3.25643231636892	1.07494446144487	11.6094001836046	0.954331131212433	0.00810484440867326	-10.6654021219401	182.054440515828	3597.57955118888	0.308190819611354	0.00570723740021027	26.1062660424303	5.91546382382584	0.115989486741683	1.46905307287692	0.851891178333074
8	2-99	4.57435940179599	2.61868397959727	0.0393142647645347	-6.88670422519821	0.457817418832972	2.32362269693	0.0474208713659184	1.79421148886743	0.198254134221991	0.0040460027392243	-3.44361096280195	1.05383328728466	10.9598661877604	0.97232920030944	0.00500283207016888	-11.2738419665914	205.832313557075	3071.01682473389	0.267043441317937	0.0051354507945757	28.8323225680958	3.3645264897293	0.0686638059128429	0.857285862846327	-0.327684256143552
9	2-6	4.73059378886972	2.30992407439158	0.0455139376353363	-6.9776490675295	0.454371935261726	2.39633800355214	0.0460834231452334	1.97364999149982	0.18769917595466	0.00360959953758962	-3.77799569697461	1.05876303922325	9.88178836608371	0.982233379821848	0.0773439960879115	-5.78018164484395	193.791025808193	3571.69008809414	0.298423634485201	0.00532899347295001	26.4161731717763	3.32244358712973	0.063893145906341	0.845569814661043	-0.378822750616643
10	2-6	4.74871645477028	2.3009511571056	0.0206086236745553	-8.76694525801376	0.454449884662917	2.44609853687924	0.0470403564784469	2.02006452887254	0.176981551674122	0.0034034913783485	-3.91077440815711	1.05532638449069	9.8497129219131	0.985283366497666	0.142189477433387	-4.40508921774599	193.335003841166	3579.81293741015	0.299003088378833	0.00533934086390774	26.4196909772566	3.83928930064861	0.0738324865509348	0.905273991383998	-0.224743775234896
11	2-6	4.70802826511915	2.32198228045115	0.0279812375743572	-8.07629202187503	0.454683234020531	2.49470830039509	0.0479751596229825	2.0645028145539	0.157854493309284	0.00303566333287084	-4.16906386756756	1.06353731456735	9.92634826929523	0.979268854395326	0.0660646242900542	-6.1361613586148	194.081268589016	3555.34356882525	0.297423151318009	0.00531112770210731	26.3807936651618	3.57114595157725	0.0686758836841779	0.863509573386856	-0.331410784743034
