No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-33	MDEC-34	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
1454	2-65	0.349951402387601	3.33570911022467	6.96538810199681	2.1266359202401	4.08950134714728	18.5916899268547	16.9888512994924	11.5362073672524	0.96548938460563	2.2124901242871	2.203564804589	0.111111111111111	0	0	0	0	0	0
1455	3-30	0.142857142857143	3.32765614646368	3.54572895180043	2.4491442319098	6.58856512140312	14.6404564944004	5.40355210198002	11.0576650515863	2.14426131671523	0.472470393710577	0.825481812223657	0	0	1.4142135623731	0	1	0	0
1456	4-43	0.5	1.09976648140845	3.05219848820627	0	1.93097876921126	7.93158523492167	6.44204571718982	0	0	0.356882927751804	1.38959662104197	0.333333333333333	0.0833333333333333	1.11716171337508	0.353553390593274	1.14471424255333	1.19055078897615	0
1457	2-63	0.337553190589582	5.00122774113055	5.86526747076963	1.63976914470736	8.41916881813263	23.0165425624008	10.4956690995237	6.18316991845137	0.25	1.3516258365282	0.767949800638233	0	0	0	0	0.87720532146386	0	0
1458	2-58	0.633660770955286	5.80823271390073	8.3134587878218	2.16926644528467	7.74137519147092	25.927144793149	16.9488918770321	11.1198207157523	0.96548938460563	2.79301312770149	1.1652149760159	0.25	0	0	0	0	0	0
1459	2-36	0.550321208149105	4.44234325679871	4.24126680060148	0.696238325041917	7.73798445212182	21.6583782828053	10.5622028918883	4.08585799077522	0	0.142857142857143	1.12774456307179	0.622369900024683	0	0	0	0	0	0
1460	4-47	0.752970432655023	4.32560275854922	5.81278136569509	0	2.30526977870432	11.2087709232276	7.78590102000667	0	0	0.125	0.894427190999916	0.2	0	0.333333333333333	0	0	0	0
1461	3-44	0	0.93849401282112	1.55976946957855	0	8.60681529996079	11.6881611976676	5.43134754625618	0	0	0	0.536342121057941	1	0	0	0	0	0	0
1462	3-50	0.142857142857143	3.58678224809964	3.57098065385285	1.37317809593808	6.86904149793305	15.8617274019146	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1463	2-61	0.142857142857143	2.88145973158378	3.97521842489469	2.4491442319098	5.10949830974602	13.8807344260589	7.62839382937347	12.3695863160022	2.14426131671523	1.82886754778313	1.21097103408372	0	0	0	0	0	0	0
1464	2-76	0.142857142857143	4.20931275142372	3.78332221342812	1.15470053837925	10.5380767028269	19.9269102457631	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1465	3-26	0.299204240294288	4.68000419916169	4.94995383159115	0	9.89909768066141	26.753345202498	12.5303274224459	0	0	0.1	0.196116135138184	0	0	0	0	0.1	0.333333333333333	0
1466	3-46	0.2	3.41294342655604	3.85433239109204	0.918299538664573	8.69817560741375	17.1598012783461	7.13593705309337	5.32172711454192	0.5	0.25	0	0	0	0	0	0	0	0
1467	2-37	0.111111111111111	3.20268185643239	2.567088781241	0.977846044869802	8.86484521170205	17.6492446555955	5.95723766213689	5.14491648684813	0.5	0.598408480588576	0.543690186501446	0	0	0	0	0	0	0
1468	3-15	0.142857142857143	4.03005025548935	3.57098065385285	1.37317809593808	8.60305539267674	18.3050250170917	7.13593705309337	5.32172711454192	0.5	0.166666666666667	0	0	0	0	0	0	0	0
1469	3-17	0.504717259721992	4.81172689480773	5.4784992199193	1.66881793499701	6.86904149793305	15.8617274019146	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1470	2-42	0.142857142857143	3.58678224809964	3.99947217775362	1.37317809593808	6.86904149793305	17.4922971516498	9.56307385775422	6.01090566830418	0.5	0.721124785153704	0	0	0	0	0	0	0	0
1471	2-76	0.142857142857143	4.20931275142372	3.78332221342812	1.15470053837925	10.5380767028269	19.9269102457631	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1472	3-26	0.299204240294288	4.68000419916169	4.94995383159115	0	9.89909768066141	26.753345202498	12.5303274224459	0	0	0.1	0.196116135138184	0	0	0	0	0.1	0.333333333333333	0
1473	3-40	0.5	1.8663350505888	2.53247842056059	0	6.27936039071812	9.14706853037803	4.32963838586645	0	0	0.5	1.62865056995694	1	0	0	0	0	0	0
1474	2-43	0.142857142857143	2.88145973158378	4.4894498009477	1.94416129723967	5.10949830974602	16.288254431245	10.7024435032994	10.1399235607076	0.96548938460563	2.884345382173	0	0	0	0	0	0	0	0
1475	2-60	0.166666666666667	3.98830859645133	4.15998667127477	1.78885438199983	8.13407543317985	19.4799395111862	7.35796732025014	6.0437529041373	0.25	1.99058645287566	0	0	0	0	0	0	0	0
1476	2-79	0.142857142857143	3.47690944566992	5.08584827143403	1.94416129723967	10.9983139369041	28.4873245792069	15.8304005699923	10.6510344155938	0.96548938460563	0.972080648619833	1.48310880906744	0.442319809662701	0	0	0	0	0	0
1477	2-57	1.06624269656134	7.41192472726087	6.50168875784734	2.3094010767585	9.12534103255731	16.7050760063226	4.7705420071825	4.79417184978535	0.5	0.5	0	0	0	0	0	0	0	0
1478	2-20	0	0.852553949690491	1.2809748329997	0	4.00091374578098	10.7878653568329	4.67604634100445	0	0	0.5	1.62865056995694	1	0	0	0	0	0	0
1479	3-37	0	1.59069104351073	1.15010148027255	0	4.00091374578098	10.7878653568329	4.67604634100445	0	0	0.650697636830499	2.47174315580058	1	0	0	0	0	0	0
1480	2-73	0.166666666666667	4.34711119353191	4.42866985009164	0.894427190999916	9.56327759223555	20.5095751555452	8.14406058396986	3.44160117363098	0	0.142857142857143	0	0	0	0.1	0	0	0	0
1481	4-14	0	2.03253099261846	1.63299316185545	0	7.8177807980326	11.0860935838289	2.70159996940481	0	0	0	0	0	0	0	0.333333333333333	0	0	0
1482	3-44	0	0.93849401282112	1.55976946957855	0	8.60681529996079	11.6881611976676	5.43134754625618	0	0	0	0.536342121057941	1	0	0	0	0	0	0
1483	2-42	0.142857142857143	3.58678224809964	3.99947217775362	1.37317809593808	6.86904149793305	17.4922971516498	9.56307385775422	6.01090566830418	0.5	0.721124785153704	0	0	0	0	0	0	0	0
1484	2-64	0.142857142857143	2.94236429241669	4.91150083001104	1.94416129723967	5.47192993687936	18.1676730157326	13.50387595166	10.8766256916757	0.96548938460563	0.972080648619833	0.970983543414647	0	0	0.333333333333333	0	0	0	0
