No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES30_Isol	WHALES40_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES90_IR	WHALES100_IR
1	2-6	-2.382	-2.113	-1.632	-1.324	-0.947	-0.741	-0.422	0.528	0.728	0.773	1.799	-0.372	-0.243	-0.123	-0.096	-0.029	0.092	0.153	0.211	0.262	-0.778	-0.218	-0.135	-0.092	-0.063	-0.049	0.363	0.676
2	2-6	-2.353	-2.075	-1.622	-1.33	-0.949	-0.74	-0.42	0.528	0.727	0.762	1.786	-0.378	-0.246	-0.122	-0.096	-0.031	0.091	0.154	0.215	0.262	-0.798	-0.221	-0.138	-0.095	-0.063	-0.051	0.372	0.679
3	2-11	-1.639	-1.401	-1.117	-0.813	0.082	0.483	0.585	0.732	1.278	1.536	2.099	-0.25	-0.184	-0.093	0.02	0.138	0.142	0.173	0.203	0.247	-0.318	-0.143	-0.119	-0.063	0.006	0.053	0.401	0.512
4	2-6	-1.899	-1.85	-1.543	-1.177	-1.033	-0.794	-0.423	0.431	0.59	0.795	1.222	-0.316	-0.227	-0.119	-0.099	-0.039	0.09	0.18	0.247	0.306	-0.754	-0.278	-0.194	-0.076	-0.067	-0.053	0.398	0.771
5	2-6	-2.349	-2.149	-1.628	-1.332	-0.951	-0.75	-0.43	0.526	0.714	0.804	1.825	-0.345	-0.234	-0.125	-0.091	-0.044	0.092	0.149	0.202	0.265	-0.717	-0.205	-0.127	-0.088	-0.066	-0.057	0.338	0.672
6	2-6	-2.457	-2.147	-1.675	-1.304	-0.948	-0.718	-0.419	0.526	0.731	0.77	1.772	-0.356	-0.242	-0.123	-0.096	-0.018	0.091	0.15	0.215	0.26	-0.726	-0.216	-0.134	-0.09	-0.064	-0.043	0.346	0.672
7	2-11	-1.534	-1.358	-1.147	-0.791	0.082	0.472	0.597	0.731	1.229	1.481	2.27	-0.234	-0.185	-0.099	0.029	0.139	0.145	0.174	0.198	0.269	-0.307	-0.146	-0.121	-0.07	0.008	0.053	0.404	0.477
8	2-99	-1.664	-1.412	-1.327	-1.074	-1	-0.873	-0.631	0.424	0.536	0.622	0.949	-0.218	-0.169	-0.112	-0.099	-0.027	0.081	0.132	0.176	0.257	-0.385	-0.162	-0.127	-0.109	-0.101	-0.071	0.284	0.611
9	2-6	-1.888	-1.799	-1.524	-1.231	-0.99	-0.743	-0.416	0.493	0.595	0.823	1.25	-0.333	-0.25	-0.124	-0.11	-0.021	0.09	0.175	0.231	0.336	-0.81	-0.253	-0.182	-0.084	-0.072	-0.045	0.434	0.763
10	2-6	-1.958	-1.845	-1.563	-1.205	-1.02	-0.792	-0.424	0.424	0.6	0.795	1.22	-0.34	-0.235	-0.114	-0.101	-0.024	0.094	0.184	0.247	0.297	-0.812	-0.257	-0.191	-0.075	-0.059	-0.044	0.393	0.737
11	2-6	-2.375	-2.103	-1.636	-1.328	-0.958	-0.738	-0.419	0.537	0.715	0.785	1.807	-0.382	-0.235	-0.117	-0.1	-0.029	0.091	0.149	0.207	0.256	-0.802	-0.231	-0.125	-0.093	-0.064	-0.048	0.343	0.672
12	2-6	-1.995	-1.847	-1.554	-1.21	-1.014	-0.789	-0.421	0.434	0.602	0.795	1.22	-0.349	-0.239	-0.114	-0.103	-0.024	0.093	0.185	0.246	0.292	-0.841	-0.25	-0.192	-0.075	-0.06	-0.044	0.397	0.722
13	4-2	-1.994	-1.288	-1.14	-0.997	0.068	0.404	0.616	0.848	1.377	1.639	1.971	-0.257	-0.2	-0.119	0.039	0.154	0.158	0.175	0.225	0.281	-0.261	-0.163	-0.133	-0.094	0.024	0.069	0.434	0.695
14	4-36	-2.022	-1.577	-1.439	-1.125	-0.581	-0.078	0.535	0.78	0.941	1.128	1.474	-0.225	-0.185	-0.121	-0.046	0.021	0.06	0.137	0.172	0.29	-0.368	-0.196	-0.118	-0.067	-0.055	0	0.207	0.865
15	4-6	-2.275	-1.866	-1.319	-1.097	-0.964	-0.802	-0.546	-0.299	0.586	0.691	1.163	-0.311	-0.192	-0.138	-0.107	-0.055	-0.032	0.083	0.095	0.184	-0.623	-0.283	-0.199	-0.131	-0.101	-0.074	0.141	0.544
16	4-3a	-2.305	-1.67	-1.534	-1.406	-1.105	-0.899	-0.647	-0.421	0.442	0.62	0.773	-0.308	-0.171	-0.15	-0.106	-0.077	-0.057	0.111	0.179	0.227	-1.301	-0.285	-0.138	-0.102	-0.087	-0.071	0.295	0.463
17	2-6	-1.897	-1.84	-1.53	-1.256	-0.957	-0.724	-0.409	0.459	0.596	0.813	1.202	-0.344	-0.263	-0.121	-0.104	-0.034	0.09	0.178	0.246	0.31	-0.842	-0.244	-0.179	-0.075	-0.064	-0.055	0.458	0.705
18	4-11	-4.086	-1.782	-1.384	-1.103	-0.762	0.291	0.44	0.644	0.772	0.988	2.129	-0.42	-0.136	-0.083	-0.071	0.081	0.105	0.133	0.17	0.203	-0.284	-0.132	-0.104	-0.062	-0.038	0.047	0.301	0.658
19	2-6	-2.443	-2.135	-1.66	-1.312	-0.948	-0.731	-0.421	0.53	0.728	0.773	1.79	-0.368	-0.241	-0.121	-0.096	-0.022	0.091	0.151	0.207	0.258	-0.756	-0.22	-0.134	-0.09	-0.064	-0.042	0.351	0.679
20	4-36	-2.592	-1.687	-1.228	-0.997	-0.588	0.058	0.524	0.653	0.832	1.109	1.237	-0.288	-0.153	-0.061	-0.042	0.034	0.053	0.089	0.136	0.163	-0.468	-0.141	-0.096	-0.061	-0.044	0.003	0.224	0.324
21	4-36	-1.962	-1.867	-1.313	-1.122	-0.551	-0.035	0.565	0.716	0.863	0.997	1.369	-0.188	-0.138	-0.099	-0.066	0.075	0.091	0.134	0.159	0.234	-0.232	-0.146	-0.11	-0.094	-0.061	0.013	0.245	0.373
22	4-11	-3.718	-1.761	-1.421	-1.13	-0.769	0.293	0.455	0.666	0.773	1.019	2.103	-0.418	-0.14	-0.09	-0.074	0.082	0.113	0.157	0.168	0.195	-0.278	-0.131	-0.108	-0.072	-0.041	0.047	0.343	0.667
23	4-36	-1.945	-1.665	-1.249	-0.92	-0.66	-0.051	0.544	0.703	0.915	1.133	1.213	-0.241	-0.158	-0.109	-0.067	0.074	0.098	0.115	0.176	0.213	-0.411	-0.18	-0.104	-0.093	-0.057	0.002	0.238	0.718
24	4-6	-2.444	-1.785	-1.679	-1.242	-1.095	-0.849	-0.563	-0.25	0.562	0.748	1.048	-0.343	-0.184	-0.132	-0.131	-0.076	-0.043	0.119	0.169	0.213	-1.149	-0.403	-0.175	-0.099	-0.078	-0.067	0.244	0.375
25	4-3	-2.543	-1.782	-1.44	-1.338	-1.081	-0.826	-0.749	-0.633	-0.34	0.459	0.896	-0.191	-0.169	-0.121	-0.101	-0.074	-0.066	-0.041	0.107	0.173	-0.574	-0.231	-0.15	-0.125	-0.098	-0.093	0.192	0.234
26	2-9	-1.828	-1.659	-1.523	-1.228	-1.033	-0.716	-0.408	0.453	0.613	0.703	1.057	-0.381	-0.231	-0.112	-0.097	-0.024	0.106	0.169	0.219	0.241	-0.832	-0.297	-0.116	-0.08	-0.063	-0.049	0.379	0.683
27	4-28a	-4.546	-2.244	-1.405	-1.291	-0.619	-0.374	0.346	0.51	0.715	1.148	1.337	-0.315	-0.16	-0.072	-0.045	0.048	0.078	0.105	0.142	0.169	-0.346	-0.185	-0.112	-0.077	-0.023	-0.007	0.263	0.379
28	4-28a	-4.471	-2.667	-1.544	-1.234	-0.61	-0.359	0.375	0.453	0.702	1.143	1.479	-0.34	-0.227	-0.126	-0.083	0.052	0.079	0.105	0.134	0.166	-0.369	-0.185	-0.111	-0.081	-0.064	-0.039	0.278	0.436
29	2-9	-1.762	-1.746	-1.59	-1.215	-1.055	-0.778	-0.445	0.436	0.62	0.718	1.146	-0.359	-0.215	-0.111	-0.093	-0.022	0.115	0.17	0.214	0.289	-0.764	-0.288	-0.128	-0.079	-0.058	-0.048	0.351	0.846
30	4-3	-2.601	-1.827	-1.5	-1.352	-1.063	-0.813	-0.76	-0.634	-0.363	0.46	0.939	-0.203	-0.182	-0.129	-0.097	-0.07	-0.068	-0.038	0.066	0.185	-0.558	-0.238	-0.146	-0.129	-0.091	-0.089	0.11	0.231
31	2-11	-1.56	-1.38	-1.143	-0.793	0.084	0.486	0.594	0.743	1.252	1.513	2.187	-0.236	-0.186	-0.093	0.015	0.139	0.146	0.174	0.199	0.271	-0.304	-0.144	-0.123	-0.066	0.004	0.052	0.407	0.473
32	2-6	-2.029	-1.899	-1.56	-1.272	-1.012	-0.8	-0.427	0.42	0.608	0.804	1.237	-0.34	-0.236	-0.103	-0.094	-0.024	0.094	0.178	0.25	0.299	-0.799	-0.275	-0.189	-0.069	-0.053	-0.042	0.387	0.742
33	4-36	-2.136	-1.446	-1.265	-1.094	-0.762	0	0.566	0.784	0.909	1.119	1.316	-0.194	-0.164	-0.101	-0.082	0.089	0.117	0.145	0.158	0.223	-0.332	-0.176	-0.123	-0.081	-0.061	0.016	0.203	0.381
34	4-36	-2.457	-1.733	-1.265	-1.18	-0.584	0.069	0.516	0.66	0.808	1.037	1.415	-0.285	-0.143	-0.073	-0.061	0.032	0.059	0.093	0.151	0.191	-0.458	-0.133	-0.106	-0.071	-0.039	-0.001	0.283	0.324
35	4-36	-1.831	-1.537	-1.456	-1.088	-0.61	0.086	0.727	0.901	1.054	1.182	1.598	-0.353	-0.229	-0.158	-0.106	0.07	0.125	0.153	0.213	0.265	-0.882	-0.203	-0.151	-0.106	-0.069	0.009	0.244	0.365
36	4-36	-2.3	-1.545	-1.341	-1.149	-0.843	-0.067	0.475	0.683	0.866	1.137	2.139	-0.264	-0.212	-0.15	-0.065	0.044	0.058	0.136	0.221	0.271	-0.528	-0.171	-0.132	-0.103	-0.057	0.005	0.235	0.702
37	3-33	-2.411	-1.728	-1.475	-0.877	-0.672	-0.279	0.479	0.547	0.746	1.318	2.583	-0.302	-0.103	-0.074	-0.04	0.039	0.06	0.066	0.109	0.417	-0.426	-0.205	-0.087	-0.044	-0.027	-0.013	0.16	0.299
38	4-53	-3.047	-2.029	-1.657	-1.521	-1.138	-0.921	-0.552	0.403	0.49	1.148	2.353	-0.445	-0.248	-0.109	-0.09	-0.047	0.068	0.124	0.196	0.319	-0.401	-0.282	-0.179	-0.084	-0.064	-0.037	0.256	0.362
39	4-43	-2.481	-1.724	-1.381	-1.057	-0.748	-0.446	0.322	0.658	0.795	0.886	1.384	-0.303	-0.178	-0.075	-0.057	0.031	0.052	0.089	0.118	0.169	-0.306	-0.176	-0.131	-0.084	-0.045	-0.031	0.148	0.537
40	2-4	-3.286	-1.413	-1.289	-1.149	-1.097	-0.896	-0.533	-0.387	0.4	0.684	1.157	-0.219	-0.152	-0.122	-0.1	-0.067	-0.045	0.126	0.177	0.228	-0.954	-0.178	-0.137	-0.125	-0.102	-0.074	0.325	0.389
41	4-53	-4.385	-2.518	-1.971	-1.285	-1.149	-0.937	-0.355	0.386	0.743	1.492	1.78	-0.28	-0.144	-0.111	-0.094	-0.057	0.039	0.093	0.167	0.303	-0.447	-0.204	-0.135	-0.084	-0.055	-0.049	0.21	0.274
42	4-28a	-4.725	-1.971	-1.656	-1.028	-0.565	-0.338	0.354	0.417	0.683	1.103	1.295	-0.23	-0.2	-0.107	-0.096	0.053	0.077	0.095	0.153	0.237	-0.344	-0.168	-0.136	-0.095	-0.068	-0.02	0.336	0.486
43	2-8	-1.78	-1.41	-1.291	-1.096	-1.014	-0.642	0.518	0.601	0.647	1.101	1.183	-0.371	-0.192	-0.148	-0.115	0.09	0.169	0.178	0.2	0.276	-0.378	-0.201	-0.169	-0.129	-0.094	-0.035	0.342	0.489
44	4-3a	-2.492	-1.738	-1.598	-1.401	-1.013	-0.802	-0.621	-0.439	0.562	0.648	0.985	-0.259	-0.208	-0.161	-0.138	-0.067	-0.053	0.076	0.155	0.181	-0.98	-0.289	-0.257	-0.147	-0.088	-0.056	0.192	0.254
45	4-37	-1.529	-1.267	-1.074	-0.927	-0.739	-0.416	0.31	0.762	1.587	2.43	5.282	-0.33	-0.2	-0.166	-0.159	0.107	0.224	0.269	0.291	0.325	-0.38	-0.242	-0.198	-0.193	-0.157	-0.131	0.427	0.931
46	4-37	-2.11	-1.831	-1.578	-1.149	-0.841	-0.734	0.43	0.839	1.617	1.833	3.474	-0.621	-0.268	-0.165	-0.129	0.071	0.11	0.238	0.344	0.4	-0.368	-0.35	-0.248	-0.111	-0.1	-0.06	0.608	0.833
47	2-6	-1.973	-1.839	-1.565	-1.187	-1.016	-0.788	-0.419	0.448	0.597	0.802	1.237	-0.331	-0.239	-0.113	-0.103	-0.035	0.094	0.186	0.245	0.302	-0.804	-0.242	-0.194	-0.077	-0.061	-0.05	0.41	0.755
48	2-15	-2.501	-1.969	-1.456	-0.915	-0.737	-0.322	0.442	0.576	0.677	1.145	2.931	-0.3	-0.108	-0.087	-0.053	0.057	0.067	0.085	0.101	0.165	-0.397	-0.217	-0.096	-0.055	-0.037	-0.018	0.157	0.269
49	4-44	-2.743	-2.216	-1.632	-1.32	-1.187	-0.926	-0.639	0.381	0.703	1.109	2.675	-0.255	-0.114	-0.069	-0.057	-0.039	0.024	0.082	0.117	0.157	-0.241	-0.152	-0.081	-0.062	-0.045	-0.025	0.142	0.307
50	4-36	-1.884	-1.648	-1.259	-0.988	-0.795	-0.089	0.413	0.759	0.905	1.102	1.635	-0.262	-0.198	-0.143	-0.072	0.048	0.099	0.136	0.194	0.254	-0.476	-0.171	-0.148	-0.085	-0.075	0.006	0.38	0.654
51	4-53	-2.318	-1.96	-1.586	-1.151	-0.968	-0.849	-0.653	0.428	0.603	1.162	2.518	-0.388	-0.212	-0.127	-0.122	-0.078	0.066	0.127	0.185	0.307	-0.63	-0.213	-0.171	-0.154	-0.11	-0.077	0.247	0.276
52	2-11	-1.533	-1.388	-1.137	-0.81	0.09	0.488	0.586	0.756	1.253	1.515	2.232	-0.244	-0.191	-0.093	0.013	0.136	0.142	0.177	0.199	0.282	-0.302	-0.145	-0.122	-0.067	0.004	0.058	0.404	0.456
53	4-35	-2.276	-1.441	-1.199	-1.093	-0.914	-0.822	-0.693	-0.451	0.465	0.588	0.768	-0.232	-0.161	-0.112	-0.107	-0.082	-0.065	0.088	0.155	0.243	-0.879	-0.19	-0.158	-0.11	-0.092	-0.081	0.258	0.505
54	4-53	-2.861	-2.399	-2.079	-1.26	-0.931	-0.652	-0.527	0.435	0.628	1.023	1.546	-0.311	-0.152	-0.102	-0.092	-0.056	0.051	0.105	0.131	0.233	-0.597	-0.208	-0.156	-0.086	-0.069	-0.04	0.192	0.214
55	4-53	-2.245	-1.89	-1.717	-1.561	-1.189	-0.844	-0.624	0.463	0.732	1.143	1.952	-0.33	-0.205	-0.134	-0.115	-0.086	0.086	0.137	0.153	0.223	-0.467	-0.234	-0.155	-0.108	-0.093	-0.065	0.19	0.274
56	4-60	-1.787	-1.336	-1.041	-0.862	0.139	0.346	0.633	1.108	1.345	1.737	2.228	-0.187	-0.134	-0.064	0.017	0.108	0.127	0.15	0.167	0.217	-0.22	-0.123	-0.088	-0.057	0.005	0.058	0.328	0.764
57	2-99	-1.535	-1.389	-1.283	-1.03	-0.991	-0.837	-0.559	0.397	0.497	0.616	1.009	-0.271	-0.152	-0.108	-0.093	-0.026	0.078	0.103	0.144	0.192	-0.297	-0.186	-0.141	-0.109	-0.089	-0.045	0.289	0.469
58	2-11	-1.519	-1.38	-1.143	-0.794	0.083	0.461	0.597	0.725	1.217	1.482	2.148	-0.231	-0.181	-0.106	0.04	0.14	0.147	0.187	0.195	0.279	-0.298	-0.146	-0.123	-0.081	0.029	0.08	0.407	0.486
59	2-4	-3.353	-1.408	-1.238	-1.192	-1.094	-0.878	-0.519	-0.372	0.379	0.674	1.206	-0.216	-0.176	-0.123	-0.097	-0.065	-0.04	0.126	0.179	0.24	-0.945	-0.228	-0.145	-0.135	-0.1	-0.079	0.349	0.421
60	4-11	-2.76	-2.335	-1.453	-0.914	-0.812	0.299	0.521	0.598	0.777	1.092	2.409	-0.378	-0.102	-0.061	-0.039	0.064	0.096	0.117	0.126	0.169	-0.159	-0.105	-0.06	-0.046	-0.025	0.039	0.277	0.406
61	4-54	-2.838	-2.343	-1.881	-1.414	-1.217	-1	-0.805	-0.644	-0.546	0.395	1.134	-0.303	-0.223	-0.157	-0.109	-0.072	-0.059	-0.042	0.125	0.277	-0.379	-0.245	-0.126	-0.121	-0.094	-0.089	0.144	0.832
62	2-15	-2.931	-2.029	-1.671	-0.882	-0.772	-0.331	0.471	0.555	0.623	1.031	2.794	-0.37	-0.094	-0.082	-0.045	0.039	0.062	0.072	0.091	0.123	-0.431	-0.206	-0.091	-0.053	-0.025	-0.015	0.14	0.321
63	4-48	-3.994	-2.949	-2.467	-1.839	-0.805	-0.605	-0.38	0.337	0.403	0.776	4.131	-0.195	-0.11	-0.044	-0.041	-0.028	0.026	0.032	0.036	0.262	-0.171	-0.075	-0.07	-0.048	-0.029	-0.019	0.096	0.171
64	4-35	-1.904	-1.557	-1.133	-1.09	-0.963	-0.8	-0.602	-0.499	0.429	0.524	0.796	-0.256	-0.216	-0.128	-0.094	-0.058	-0.041	0.086	0.159	0.273	-0.463	-0.312	-0.193	-0.102	-0.088	-0.071	0.231	0.674
65	2-26	-3.269	-1.538	-1.128	-1.011	-0.817	-0.61	0.294	0.429	0.759	0.867	1.82	-0.229	-0.1	-0.059	-0.045	0.032	0.052	0.085	0.105	0.199	-0.335	-0.103	-0.077	-0.063	-0.045	-0.023	0.227	0.3
66	4-60	-1.747	-1.386	-1.055	-0.839	0.137	0.354	0.634	1.087	1.317	1.732	2.285	-0.192	-0.131	-0.065	0.019	0.096	0.121	0.144	0.174	0.218	-0.221	-0.121	-0.079	-0.057	0.005	0.056	0.307	0.786
67	4-11	-2.545	-2.19	-1.46	-0.863	-0.767	0.315	0.484	0.57	0.774	1.092	3.403	-0.387	-0.117	-0.064	-0.05	0.085	0.1	0.134	0.142	0.174	-0.178	-0.105	-0.082	-0.054	-0.028	0.038	0.284	0.359
68	4-28a	-5.533	-1.88	-1.688	-1.125	-0.583	-0.33	0.377	0.454	0.7	1.013	1.4	-0.253	-0.182	-0.113	-0.093	0.052	0.079	0.097	0.112	0.192	-0.378	-0.169	-0.149	-0.095	-0.072	-0.014	0.326	0.51
69	3-33	-2.717	-1.748	-1.581	-0.87	-0.66	-0.28	0.46	0.558	0.882	1.343	2.609	-0.369	-0.101	-0.074	-0.045	0.05	0.066	0.078	0.115	0.16	-0.464	-0.228	-0.088	-0.05	-0.028	-0.011	0.153	0.343
70	2-99	-1.682	-1.453	-1.366	-1.304	-1.033	-0.96	-0.635	0.473	0.549	0.684	0.952	-0.278	-0.208	-0.123	-0.083	-0.026	0.071	0.15	0.177	0.274	-0.559	-0.199	-0.126	-0.096	-0.081	-0.05	0.272	0.561
71	4-53	-2.059	-1.922	-1.837	-1.389	-1.198	-0.954	-0.646	0.433	0.558	1.383	2.195	-0.359	-0.178	-0.115	-0.106	-0.071	0.056	0.099	0.148	0.208	-0.404	-0.252	-0.146	-0.091	-0.072	-0.056	0.241	0.395
72	4-37	-1.863	-1.804	-1.526	-1.069	-0.837	-0.753	0.396	0.84	1.584	1.759	3.769	-0.571	-0.295	-0.171	-0.134	0.067	0.126	0.264	0.338	0.358	-0.412	-0.308	-0.222	-0.129	-0.118	-0.068	0.655	0.92
73	2-8	-1.915	-1.454	-1.186	-1.061	-1.003	-0.684	0.341	0.538	0.692	0.756	1.426	-0.273	-0.182	-0.126	-0.11	0.066	0.102	0.151	0.183	0.288	-0.592	-0.165	-0.138	-0.115	-0.072	-0.047	0.539	0.671
74	3-33	-2.436	-1.81	-1.48	-0.876	-0.708	-0.299	0.508	0.637	0.811	1.289	2.753	-0.288	-0.114	-0.084	-0.058	0.058	0.075	0.1	0.12	0.309	-0.411	-0.187	-0.096	-0.055	-0.037	-0.017	0.158	0.289
75	2-17	-2.277	-1.936	-1.677	-1.3	-1.112	-0.987	-0.813	-0.52	0.432	0.69	0.911	-0.26	-0.198	-0.116	-0.103	-0.073	-0.041	0.104	0.11	0.173	-0.276	-0.246	-0.166	-0.1	-0.058	-0.054	0.192	0.298
76	3-33	-2.767	-1.824	-1.684	-0.859	-0.682	-0.297	0.505	0.529	0.768	1.204	2.392	-0.34	-0.112	-0.084	-0.053	0.062	0.072	0.083	0.096	0.143	-0.418	-0.213	-0.095	-0.056	-0.032	-0.012	0.166	0.311
77	4-11	-2.962	-2.156	-1.354	-1.051	-0.781	0.282	0.49	0.64	0.777	1.081	2.485	-0.384	-0.111	-0.075	-0.065	0.062	0.106	0.147	0.168	0.187	-0.191	-0.101	-0.077	-0.06	-0.035	0.038	0.357	0.589
78	4-15	-2.893	-1.89	-1.748	-1.162	-1.076	-1.015	-0.864	-0.731	-0.471	0.426	0.935	-0.597	-0.469	-0.25	-0.156	-0.144	-0.139	-0.101	0.051	0.113	-0.838	-0.372	-0.171	-0.163	-0.15	-0.142	0.053	0.219
79	4-36	-2.322	-1.583	-1.164	-1.091	-0.661	-0.067	0.565	0.789	0.961	1.183	1.381	-0.211	-0.191	-0.143	-0.102	0.114	0.143	0.171	0.199	0.245	-0.4	-0.204	-0.162	-0.109	-0.067	0.004	0.287	0.649
80	4-2	-1.987	-1.309	-1.143	-0.988	0.067	0.404	0.624	0.847	1.388	1.675	1.976	-0.257	-0.187	-0.118	0.039	0.152	0.158	0.174	0.226	0.278	-0.263	-0.161	-0.133	-0.093	0.024	0.063	0.427	0.687
81	2-99	-1.692	-1.463	-1.364	-1.304	-1.037	-0.963	-0.633	0.473	0.55	0.682	0.949	-0.278	-0.213	-0.125	-0.086	-0.026	0.072	0.153	0.18	0.273	-0.559	-0.2	-0.128	-0.096	-0.084	-0.049	0.278	0.557
82	2-8	-1.912	-1.329	-1.279	-1.181	-0.875	-0.675	0.367	0.531	0.705	1.141	1.431	-0.304	-0.172	-0.132	-0.129	0.087	0.098	0.158	0.218	0.281	-0.221	-0.209	-0.188	-0.121	-0.102	-0.05	0.379	0.925
83	4-11	-4.068	-1.829	-1.42	-1.086	-0.768	0.288	0.441	0.633	0.777	0.98	2.057	-0.413	-0.133	-0.075	-0.064	0.083	0.103	0.142	0.158	0.195	-0.274	-0.128	-0.101	-0.056	-0.034	0.048	0.321	0.676
84	4-30	-1.829	-1.657	-1.483	-1.124	-0.932	-0.763	-0.69	0.352	0.535	0.764	0.834	-0.246	-0.142	-0.109	-0.105	-0.063	0.082	0.175	0.206	0.256	-0.294	-0.199	-0.123	-0.089	-0.076	-0.067	0.352	0.686
85	4-11	-2.605	-1.797	-1.292	-0.913	-0.773	0.281	0.48	0.583	0.745	1.066	3.162	-0.378	-0.098	-0.07	-0.061	0.077	0.114	0.126	0.143	0.158	-0.158	-0.109	-0.073	-0.054	-0.036	0.038	0.324	0.424
86	Ciprofloxacin	-3.211	-1.377	-1.127	-0.741	-0.664	0.324	0.462	0.535	0.86	1.748	4.182	-0.425	-0.232	-0.066	-0.043	0.056	0.077	0.088	0.188	0.409	-0.196	-0.172	-0.124	-0.068	-0.056	0.046	0.193	0.427
87	4-3	-2.294	-1.709	-1.281	-1.19	-1.057	-0.949	-0.712	-0.478	-0.341	0.373	0.639	-0.162	-0.13	-0.106	-0.094	-0.073	-0.061	-0.053	0.068	0.12	-0.602	-0.237	-0.16	-0.124	-0.089	-0.087	0.111	0.321
88	2-2	-4.925	-2.408	-1.615	-1.202	-0.924	-0.473	0.695	0.706	0.744	1.312	2.458	-0.448	-0.286	-0.194	-0.156	0.121	0.178	0.216	0.295	0.383	-0.873	-0.35	-0.229	-0.159	-0.083	-0.034	0.348	0.541
89	2-8	-2.426	-1.7	-1.367	-1.201	-0.847	-0.445	0.528	0.653	0.829	0.974	1.565	-0.362	-0.192	-0.124	-0.117	0.084	0.137	0.182	0.199	0.277	-0.576	-0.208	-0.121	-0.103	-0.09	-0.047	0.307	0.394
90	4-54	-2.824	-2.037	-1.607	-1.325	-1.152	-1.036	-0.642	-0.488	-0.373	0.523	0.962	-0.347	-0.228	-0.145	-0.122	-0.092	-0.06	-0.05	0.178	0.215	-0.505	-0.351	-0.248	-0.152	-0.134	-0.086	0.252	0.453
91	4-53	-2.255	-1.978	-1.618	-1.206	-1.003	-0.889	-0.633	0.405	0.485	1.273	1.639	-0.354	-0.223	-0.143	-0.088	-0.044	0.071	0.133	0.21	0.346	-0.419	-0.319	-0.183	-0.149	-0.072	-0.039	0.343	0.453
92	3-33	-2.465	-1.755	-1.496	-0.874	-0.67	-0.298	0.501	0.54	0.747	1.324	2.509	-0.319	-0.11	-0.074	-0.042	0.04	0.058	0.07	0.101	0.403	-0.427	-0.221	-0.092	-0.043	-0.026	-0.014	0.155	0.263
93	2-41	-2.396	-1.815	-1.7	-1.217	-0.976	-0.643	0.394	0.496	0.724	1.029	2.748	-0.293	-0.109	-0.049	-0.044	0.038	0.057	0.076	0.109	0.172	-0.514	-0.074	-0.051	-0.037	-0.024	-0.019	0.151	0.361
94	4-4	-3.451	-1.602	-1.44	-1.309	-1.185	-0.999	-0.732	-0.626	-0.316	0.446	0.706	-0.202	-0.168	-0.135	-0.129	-0.089	-0.075	-0.064	0.11	0.185	-0.737	-0.304	-0.151	-0.119	-0.092	-0.082	0.229	0.276
95	2-8	-2.192	-1.491	-1.307	-1.028	-0.907	-0.471	0.425	0.561	0.684	1.005	1.579	-0.339	-0.284	-0.088	-0.054	0.088	0.106	0.16	0.185	0.268	-1.127	-0.275	-0.133	-0.085	-0.051	-0.029	0.302	0.501
96	4-43	-2.553	-1.99	-1.596	-1.025	-0.689	-0.486	0.425	0.666	0.758	1.039	1.762	-0.26	-0.17	-0.095	-0.076	0.038	0.051	0.082	0.101	0.215	-0.27	-0.183	-0.103	-0.083	-0.062	-0.043	0.168	0.257
97	4-36	-2.077	-1.553	-1.256	-0.982	-0.779	-0.018	0.552	0.794	0.879	1.161	1.529	-0.17	-0.141	-0.105	-0.096	0.111	0.149	0.164	0.195	0.228	-0.327	-0.153	-0.124	-0.108	-0.057	0.026	0.226	0.644
98	2-53	-1.856	-1.393	-1.143	-0.976	-0.886	-0.775	-0.455	0.34	0.676	0.905	1.589	-0.208	-0.133	-0.083	-0.073	-0.034	0.02	0.054	0.128	0.206	-0.249	-0.161	-0.131	-0.12	-0.083	-0.053	0.165	0.404
99	2-3	-3.605	-1.343	-1.2	-1.072	-0.92	-0.817	-0.739	-0.597	-0.415	0.426	0.672	-0.191	-0.179	-0.126	-0.108	-0.094	-0.079	-0.068	0.117	0.233	-0.818	-0.241	-0.21	-0.172	-0.147	-0.094	0.276	0.347
100	2-26	-3.248	-1.569	-1.112	-0.966	-0.802	-0.599	0.301	0.519	0.718	0.846	1.868	-0.185	-0.121	-0.049	-0.044	0.013	0.038	0.072	0.104	0.205	-0.259	-0.166	-0.085	-0.051	-0.043	-0.024	0.201	0.445
101	4-43	-2.581	-1.904	-1.687	-1.173	-0.667	-0.499	0.381	0.625	0.721	1.051	1.227	-0.319	-0.224	-0.14	-0.084	0.041	0.064	0.097	0.145	0.257	-0.788	-0.167	-0.121	-0.104	-0.082	-0.047	0.241	0.448
