No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES30_Isol	WHALES40_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES90_IR	WHALES100_IR
1667	3-21	-2.196	-1.494	-1.288	-1.222	-0.973	-0.575	-0.421	0.432	0.579	0.77	1.311	-0.23	-0.175	-0.103	-0.079	-0.018	0.071	0.118	0.132	0.252	-0.569	-0.276	-0.156	-0.078	-0.063	-0.037	0.245	0.818
1668	2-36	-1.976	-1.018	-0.933	-0.768	-0.487	0.33	0.573	0.623	0.921	1.19	2.858	-0.116	-0.079	-0.052	-0.021	0.055	0.071	0.085	0.117	0.166	-0.171	-0.112	-0.073	-0.039	-0.011	0.034	0.259	0.495
1669	3-45	-1.994	-1.409	-1.243	-1.136	-0.94	-0.788	-0.578	0.311	0.507	0.686	1.014	-0.291	-0.136	-0.096	-0.084	-0.039	0.06	0.098	0.137	0.206	-0.325	-0.166	-0.114	-0.1	-0.086	-0.04	0.224	0.554
1670	3-45	-1.831	-1.734	-1.686	-1.266	-0.953	-0.82	-0.576	0.354	0.586	0.705	1.164	-0.318	-0.236	-0.101	-0.09	-0.045	0.075	0.119	0.174	0.238	-0.507	-0.264	-0.12	-0.074	-0.056	-0.044	0.261	0.853
1671	3-21	-1.93	-1.808	-1.464	-1.234	-1.084	-0.755	-0.364	0.386	0.66	0.812	1.051	-0.283	-0.188	-0.093	-0.071	-0.034	0.076	0.114	0.166	0.244	-0.879	-0.275	-0.117	-0.063	-0.054	-0.039	0.25	0.718
1672	4-20	-2.26	-1.973	-1.906	-1.473	-1.349	-0.601	0.399	0.515	1.163	1.438	1.482	-0.412	-0.288	-0.131	-0.112	0.122	0.144	0.158	0.187	0.233	-0.58	-0.32	-0.153	-0.076	-0.05	-0.036	0.256	0.448
1673	4-49	-2.145	-1.652	-1.501	-1.352	-1.121	-1.006	-0.901	-0.586	-0.361	0.583	1.103	-0.413	-0.353	-0.193	-0.152	-0.14	-0.08	-0.055	0.172	0.247	-1.069	-0.532	-0.206	-0.187	-0.132	-0.115	0.253	0.387
1674	3-31	-1.87	-1.656	-1.461	-1.174	-1.102	-0.744	-0.385	0.396	0.642	0.854	1.832	-0.295	-0.205	-0.098	-0.076	-0.028	0.099	0.143	0.168	0.231	-0.56	-0.242	-0.172	-0.077	-0.055	-0.044	0.356	0.662
1675	3-21	-1.941	-1.802	-1.483	-1.195	-1.005	-0.717	-0.332	0.424	0.677	0.843	1.074	-0.35	-0.21	-0.096	-0.08	-0.027	0.067	0.112	0.191	0.225	-1.08	-0.298	-0.14	-0.073	-0.061	-0.034	0.316	0.53
1676	3-21	-2.332	-1.812	-1.583	-1.263	-1.012	-0.721	-0.402	0.478	0.61	0.852	1.525	-0.301	-0.168	-0.096	-0.083	-0.023	0.074	0.115	0.142	0.265	-0.804	-0.182	-0.107	-0.072	-0.063	-0.047	0.246	0.822
1677	3-54	-2.441	-1.951	-1.598	-1.416	-1.38	-1.012	-0.569	0.335	0.524	0.742	1.107	-0.269	-0.235	-0.103	-0.092	-0.047	0.062	0.15	0.18	0.257	-0.825	-0.166	-0.106	-0.081	-0.069	-0.041	0.345	0.706
1678	3-26	-2.342	-1.726	-1.404	-1.111	-0.859	-0.562	-0.078	0.526	0.856	1.124	2.435	-0.393	-0.141	-0.062	-0.049	-0.001	0.038	0.057	0.085	0.239	-0.456	-0.147	-0.103	-0.066	-0.039	-0.028	0.14	0.251
1679	3-35	-3.861	-2.506	-2.153	-1.564	-1.232	-0.678	-0.063	0.501	0.652	0.756	1.515	-0.309	-0.233	-0.189	-0.106	0.036	0.157	0.18	0.279	0.311	-0.458	-0.319	-0.11	-0.08	-0.069	-0.042	0.349	1.051
1680	2-76	-1.742	-1.672	-1.415	-1.064	-0.89	-0.772	-0.614	-0.494	-0.382	0.994	1.579	-0.259	-0.201	-0.121	-0.098	-0.068	-0.059	-0.038	0.109	0.417	-0.618	-0.251	-0.183	-0.136	-0.118	-0.098	0.117	0.42
1681	2-36	-1.982	-1.013	-0.932	-0.754	-0.479	0.343	0.492	0.62	0.922	1.194	2.916	-0.115	-0.077	-0.048	-0.024	0.05	0.067	0.087	0.113	0.158	-0.181	-0.103	-0.075	-0.036	-0.013	0.035	0.279	0.522
1682	2-42	-2.548	-1.792	-1.593	-1.438	-1.247	-0.878	-0.667	-0.602	0.357	0.828	1.086	-0.238	-0.2	-0.123	-0.097	-0.083	-0.056	0.089	0.169	0.27	-0.589	-0.185	-0.165	-0.14	-0.126	-0.053	0.223	0.687
1683	2-93	-2.24	-1.809	-1.589	-1.349	-1.153	-0.926	-0.483	0.486	0.637	1.018	1.332	-0.272	-0.236	-0.117	-0.084	-0.031	0.111	0.123	0.156	0.249	-0.447	-0.234	-0.162	-0.078	-0.062	-0.041	0.286	0.589
1684	2-60	-1.747	-1.607	-1.187	-0.867	-0.763	-0.075	0.528	0.774	0.904	1.161	2.255	-0.368	-0.21	-0.102	-0.087	0.065	0.087	0.097	0.129	0.209	-0.485	-0.191	-0.148	-0.122	-0.062	-0.005	0.224	0.33
1685	3-10	-1.992	-1.839	-1.302	-0.945	-0.898	-0.785	-0.664	-0.553	0.346	0.846	1.569	-0.243	-0.175	-0.122	-0.091	-0.071	-0.056	0.053	0.159	0.237	-0.813	-0.202	-0.145	-0.128	-0.109	-0.087	0.201	0.318
1686	2-42	-3.286	-2.2	-1.899	-1.804	-1.245	-0.915	-0.75	-0.651	0.439	0.804	1.371	-0.328	-0.255	-0.127	-0.111	-0.096	-0.061	0.065	0.198	0.216	-0.904	-0.192	-0.134	-0.109	-0.09	-0.07	0.169	0.451
1687	2-76	-1.911	-1.683	-1.41	-1.098	-0.919	-0.766	-0.623	-0.501	-0.365	0.979	1.5	-0.242	-0.188	-0.121	-0.095	-0.071	-0.062	-0.034	0.116	0.389	-0.618	-0.227	-0.172	-0.127	-0.124	-0.091	0.133	0.394
1688	4-3	-3.042	-1.754	-1.398	-1.305	-1.034	-0.91	-0.711	-0.631	-0.494	0.454	1.709	-0.556	-0.206	-0.151	-0.12	-0.074	-0.068	-0.036	0.11	0.312	-0.577	-0.364	-0.205	-0.124	-0.114	-0.093	0.123	0.262
