No.	NAME	CATS2D_03_DD	CATS2D_04_DD	CATS2D_05_DD	CATS2D_06_DD	CATS2D_07_DD	CATS2D_08_DD	CATS2D_09_DD	CATS2D_01_DA	CATS2D_02_DA	CATS2D_03_DA	CATS2D_04_DA	CATS2D_05_DA	CATS2D_06_DA	CATS2D_07_DA	CATS2D_08_DA	CATS2D_09_DA	CATS2D_00_DP	CATS2D_03_DP	CATS2D_04_DP	CATS2D_05_DP	CATS2D_06_DP	CATS2D_07_DP	CATS2D_08_DP	CATS2D_09_DP	CATS2D_03_DN	CATS2D_04_DN	CATS2D_05_DN	CATS2D_06_DN	CATS2D_07_DN	CATS2D_08_DN	CATS2D_03_DL	CATS2D_05_DL	CATS2D_06_DL	CATS2D_07_DL	CATS2D_08_DL	CATS2D_09_DL	CATS2D_01_AA	CATS2D_02_AA	CATS2D_04_AA	CATS2D_05_AA	CATS2D_06_AA	CATS2D_07_AA	CATS2D_09_AA	CATS2D_00_AP	CATS2D_02_AP	CATS2D_03_AP	CATS2D_04_AP	CATS2D_05_AP	CATS2D_06_AP	CATS2D_07_AP	CATS2D_08_AP	CATS2D_09_AP	CATS2D_00_AN	CATS2D_01_AN	CATS2D_03_AN	CATS2D_04_AN	CATS2D_05_AN	CATS2D_06_AN	CATS2D_07_AN	CATS2D_08_AN	CATS2D_09_AN	CATS2D_03_AL	CATS2D_05_AL	CATS2D_06_AL	CATS2D_07_AL	CATS2D_08_AL	CATS2D_09_AL	CATS2D_00_PP	CATS2D_03_PP	CATS2D_05_PP	CATS2D_06_PP	CATS2D_08_PP	CATS2D_03_PN	CATS2D_04_PN	CATS2D_05_PN	CATS2D_06_PN	CATS2D_09_PN	CATS2D_02_PL	CATS2D_05_PL	CATS2D_06_PL	CATS2D_07_PL	CATS2D_08_PL	CATS2D_09_PL	CATS2D_05_NN	CATS2D_06_NN	CATS2D_02_NL	CATS2D_04_NL	CATS2D_06_NL	CATS2D_08_NL	CATS2D_09_NL	CATS2D_06_LL	CATS2D_07_LL	CATS2D_09_LL	SHED_DD	SHED_DA	SHED_DP	SHED_DL	SHED_AA	SHED_AP	SHED_AL	SHED_PP	SHED_PN	SHED_PL	SHED_NN	SHED_NL	SHED_LL
1	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
2	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
3	2-11	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	7	8	2	1	1	0	2	0	0	1	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3.789291416276	1	3.59611546662432	3	3.77976314968462	5.37654056889628	1	0	5.15494602161859	0	0	5.02364982773991
4	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
5	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
6	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
7	2-11	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	7	8	2	1	1	0	2	0	0	1	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3.789291416276	1	3.59611546662432	3	3.77976314968462	5.37654056889628	1	0	5.15494602161859	0	0	5.02364982773991
8	2-99	1	0	0	0	0	2	0	0	0	1	2	2	0	0	4	0	0	0	0	2	1	0	0	0	0	1	1	0	0	1	9	6	8	4	2	0	0	1	2	2	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	1	1	0	0	1	0	13	12	14	8	4	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	1	3	1	0	4	1	0	1.88988157484231	3.57165236692845	1.88988157484231	6.44881228775032	4.35275281648062	1.64938488846612	6.51346944868507	0	1	3.69177218273526	0	6.32570490835827	5.63886317357512
9	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
10	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
11	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
12	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
13	4-2	0	0	1	1	1	0	0	0	0	1	0	1	1	2	1	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	8	5	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	7	8	2	1	1	0	2	0	0	1	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	3	4.7622031559046	2.58640928985893	5.21236120727445	3	3.77976314968462	5.37654056889628	1	0	5.15494602161859	0	0	5.02364982773991
14	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
15	4-6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	2	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	4	4	5	3	0	1	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	6.67872291803412	1	2	6.80028980488649	0	0	4.26419042511093	0	0	5.39169827808414
16	4-3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0	1	5	3	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	1	5.7782757844848	0	0	4.36691506603759	0	0	5.91951307486139
17	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
18	4-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	4	4	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	3	5.81416599839334	0	0	5.74349177498518	0	0	5.87932220284837
19	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
20	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
21	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
22	4-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	4	4	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	3	5.81416599839334	0	0	5.74349177498518	0	0	5.87932220284837
23	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
24	4-6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	2	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	4	4	5	3	0	1	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	6.67872291803412	1	2	6.80028980488649	0	0	4.26419042511093	0	0	5.39169827808414
25	4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	2	3	0	0	1	0	0	0	0	0	0	0	0	0	1	5	5	3	0	0	0	0	0	0	0	0	0	7	3	0	0	0	1	5.8259070894373	0	1	5.8259070894373	0	0	5.00814544707812	0	0	5.8325131180296
26	2-9	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	3	5	4	1	0	0	1	2	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	14	6	9	5	2	0	1	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	5	2	0	1	2.87174588749259	1	6.28062028991409	3.77976314968462	1.75476535060332	6.23189750582707	0	0	4.53784022940234	0	0	5.80193158794743
27	4-28a	1	0	1	1	0	0	0	0	2	1	1	3	1	0	1	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	5	3	4	4	3	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	1	4	5	0	2	0	0	0	1	0	0	0	0	0	1	2	4	2	0	0	0	0	0	0	0	0	0	5	4	0	3	5.34941802342378	3.789291416276	6.75926577903293	1.88988157484231	3.46410161513775	6.07255560560441	1	0	7.10000249264919	0	0	7.37821931224317
28	4-28a	1	0	1	1	0	0	0	0	2	1	1	3	1	0	1	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	5	3	4	4	3	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	1	4	5	0	2	0	0	0	1	0	0	0	0	0	1	2	4	2	0	0	0	0	0	0	0	0	0	5	4	0	3	5.34941802342378	3.789291416276	6.75926577903293	1.88988157484231	3.46410161513775	6.07255560560441	1	0	7.10000249264919	0	0	7.37821931224317
29	2-9	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	3	5	4	1	0	0	1	2	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	14	6	9	5	2	0	1	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	5	2	0	1	2.87174588749259	1	6.28062028991409	3.77976314968462	1.75476535060332	6.23189750582707	0	0	4.53784022940234	0	0	5.80193158794743
30	4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	2	3	0	0	1	0	0	0	0	0	0	0	0	0	1	5	5	3	0	0	0	0	0	0	0	0	0	7	3	0	0	0	1	5.8259070894373	0	1	5.8259070894373	0	0	5.00814544707812	0	0	5.8325131180296
31	2-11	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	7	8	2	1	1	0	2	0	0	1	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3.789291416276	1	3.59611546662432	3	3.77976314968462	5.37654056889628	1	0	5.15494602161859	0	0	5.02364982773991
32	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
33	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
34	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
35	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
36	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
37	3-33	0	0	0	0	1	0	0	0	0	1	0	0	2	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	6	1	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	9	11	6	2	1	0	1	0	0	0	0	0	0	0	0	0	1	3	1	1	1	0	0	0	0	0	0	0	0	2	0	0	1	3.58598882705695	1	5.30240584421827	3.77976314968462	2.82842712474619	5.66295256485811	0	0	6.04149927965329	0	0	4.99748941067804
38	4-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	8	6	5	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	6	7	6	0	0	0	0	1	1.88988157484231	7.3014954720616	0	0	7.72862659571668	0	0	10.2167016661458
39	4-43	0	0	0	0	1	0	2	0	3	4	4	2	4	3	1	5	2	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	4	5	3	2	5	4	0	1	2	2	1	2	1	1	2	0	0	0	0	0	0	0	0	0	2	0	1	3	3	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77976314968462	9.88460220778654	3.789291416276	5.34539230884204	7.36000144131415	10.3747164372081	9.11802822781911	1	0	3.77976314968462	0	0	1.88988157484231
40	2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	7	5	3	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	1	0	5.62256684629551	0	0	5.91951307486139
41	4-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	8	6	5	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	6	7	6	0	0	0	0	1	1.88988157484231	7.3014954720616	0	0	7.72862659571668	0	0	10.2167016661458
42	4-28a	1	0	1	1	0	0	0	0	2	1	1	3	1	0	1	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	5	3	4	4	3	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	1	4	5	0	2	0	0	0	1	0	0	0	0	0	1	2	4	2	0	0	0	0	0	0	0	0	0	5	4	0	3	5.34941802342378	3.789291416276	6.75926577903293	1.88988157484231	3.46410161513775	6.07255560560441	1	0	7.10000249264919	0	0	7.37821931224317
43	2-8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	4	0	0	0	0	0	2	0	1	3	2	0	2	0	0	0	0	0	0	0	0	0	6	0	4	4	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1.96013170420779	1	2	2.97100409661001	4.74510280626355	3.92026340841558	1	0	4	0	0	3
44	4-3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0	1	5	3	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	1	5.7782757844848	0	0	4.36691506603759	0	0	5.91951307486139
45	4-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3.59611546662432	0	0	3.789291416276	0	0	2.87174588749259
46	4-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3.59611546662432	0	0	3.789291416276	0	0	2.87174588749259
47	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
48	2-15	0	0	0	0	1	0	0	0	0	1	0	0	2	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	6	1	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	9	11	6	2	1	0	1	0	0	0	0	0	0	0	0	0	1	3	1	1	1	0	0	0	0	0	0	0	0	2	0	0	1	3.58598882705695	1	5.30240584421827	3.77976314968462	2.82842712474619	5.66295256485811	0	0	6.04149927965329	0	0	4.99748941067804
49	4-44	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	2	1	0	0	0	3	0	2	4	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	6	8	10	10	14	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	5	8	7	0	1.88988157484231	1	5.53917257678574	4.77852299848795	3	10.397817798909	0	0	8.1510551826422	0	0	11.1692076357004
50	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45069178784675	2.87174588749259	8.47418244426201	0	0	3.789291416276	0	0	4.50320012840204
51	4-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	8	6	5	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	6	7	6	0	0	0	0	1	1.88988157484231	7.3014954720616	0	0	7.72862659571668	0	0	10.2167016661458
