No.	NAME	CATS2D_03_DD	CATS2D_04_DD	CATS2D_05_DD	CATS2D_06_DD	CATS2D_07_DD	CATS2D_08_DD	CATS2D_09_DD	CATS2D_01_DA	CATS2D_02_DA	CATS2D_03_DA	CATS2D_04_DA	CATS2D_05_DA	CATS2D_06_DA	CATS2D_07_DA	CATS2D_08_DA	CATS2D_09_DA	CATS2D_00_DP	CATS2D_03_DP	CATS2D_04_DP	CATS2D_05_DP	CATS2D_06_DP	CATS2D_07_DP	CATS2D_08_DP	CATS2D_09_DP	CATS2D_03_DN	CATS2D_04_DN	CATS2D_05_DN	CATS2D_06_DN	CATS2D_07_DN	CATS2D_08_DN	CATS2D_03_DL	CATS2D_05_DL	CATS2D_06_DL	CATS2D_07_DL	CATS2D_08_DL	CATS2D_09_DL	CATS2D_01_AA	CATS2D_02_AA	CATS2D_04_AA	CATS2D_05_AA	CATS2D_06_AA	CATS2D_07_AA	CATS2D_09_AA	CATS2D_00_AP	CATS2D_02_AP	CATS2D_03_AP	CATS2D_04_AP	CATS2D_05_AP	CATS2D_06_AP	CATS2D_07_AP	CATS2D_08_AP	CATS2D_09_AP	CATS2D_00_AN	CATS2D_01_AN	CATS2D_03_AN	CATS2D_04_AN	CATS2D_05_AN	CATS2D_06_AN	CATS2D_07_AN	CATS2D_08_AN	CATS2D_09_AN	CATS2D_03_AL	CATS2D_05_AL	CATS2D_06_AL	CATS2D_07_AL	CATS2D_08_AL	CATS2D_09_AL	CATS2D_00_PP	CATS2D_03_PP	CATS2D_05_PP	CATS2D_06_PP	CATS2D_08_PP	CATS2D_03_PN	CATS2D_04_PN	CATS2D_05_PN	CATS2D_06_PN	CATS2D_09_PN	CATS2D_02_PL	CATS2D_05_PL	CATS2D_06_PL	CATS2D_07_PL	CATS2D_08_PL	CATS2D_09_PL	CATS2D_05_NN	CATS2D_06_NN	CATS2D_02_NL	CATS2D_04_NL	CATS2D_06_NL	CATS2D_08_NL	CATS2D_09_NL	CATS2D_06_LL	CATS2D_07_LL	CATS2D_09_LL	SHED_DD	SHED_DA	SHED_DP	SHED_DL	SHED_AA	SHED_AP	SHED_AL	SHED_PP	SHED_PN	SHED_PL	SHED_NN	SHED_NL	SHED_LL
1615	2-36	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	1	0	1	3	3	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	12	11	4	2	1	0	1	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.96013170420779	0	5.17281857971786	5.17281857971787	1.96013170420779	5.44954339674576	0	0	5.17281857971786	0	0	4.96028402943508
1616	2-66	0	0	0	2	0	1	0	0	1	1	1	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	7	3	3	4	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	14	7	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	18	13	1.88988157484231	3.7224194364084	0	8.50164991512608	4.13085192089075	0	9.07770007890115	0	0	0	0	0	9.70279089564532
1617	3-11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	2	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	7	5	3	0	0	1	0	0	0	0	0	0	0	0	0	1	5	3	0	0	0	0	0	0	0	0	0	0	7	3	0	0	1	1	5.7782757844848	1	1	5.75856862422589	0	0	4.36691506603759	0	0	5.9100124634034
1618	3-21	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	4	1	2	2	0	0	4	3	2	3	7	5	3	2	0	0	0	2	1	4	1	3	2	2	0	0	0	2	1	4	2	19	20	23	17	10	3	2	0	0	0	1	0	0	0	0	2	0	5	6	6	2	1	0	0	0	3	5	6	2	5	2	0	0	4.45565973351251	2	5.53168920023982	8.14611337468967	5.24120339078685	7.42020666814058	1	2	6.18600429117297	1	6.18600429117297	5.80193158794743
1619	4-2	0	0	1	1	1	0	0	0	0	1	0	1	1	2	1	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	8	5	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	7	8	2	1	1	0	2	0	0	1	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	3	4.7622031559046	2.58640928985893	5.21236120727445	3	3.77976314968462	5.37654056889628	1	0	5.15494602161859	0	0	5.02364982773991
1620	3-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	1	5.74868280267519	0	0	3.75447893899131	0	0	6.0918068171902
1621	3-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	9	7	6	7	7	4	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	9	8	4	0	0	0	0	6.59753955386447	4	9.11802659005482	0	0	7.32658388348851	0	0	9.65852614255117
1622	4-60	0	0	1	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	4	4	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	7	6	2	1	1	0	2	0	0	1	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3.789291416276	3	5.94810968475028	3	3.77976314968462	5.68756903548624	1	0	4.88385131837866	0	0	5.0400884726344
1623	3-30	0	0	0	0	0	1	0	0	0	0	2	0	3	2	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	7	3	5	4	1	0	2	2	2	1	5	4	0	1	0	0	0	0	1	3	0	0	1	1	0	0	0	0	1	3	0	17	16	20	12	5	0	1	0	0	0	0	0	0	0	0	0	0	4	4	3	0	0	0	0	0	1	4	3	0	5	2	0	1	3.82712236060196	1	6.28062028991409	6.14737592208501	2.74945927399721	6.56947852626388	0	1	4.53784022940234	0	4.53784022940234	5.80193158794743
1624	4-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	7.44510156018509	0	0	3.58598882705695	0	0	5.07626513071634
1625	2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	1	5.5516075873073	0	1	5.5516075873073	0	0	3.75447893899131	0	0	6.08235288926755
1626	2-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	6	8	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	4.77852299848795	0	7.26444925435514	0	0	0	0	0	6.30372109502406
1627	3-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	2	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	7	4	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75447893899131	2.87174588749259	6.13837214589099	0	0	2.87174588749259	0	0	2.87174588749259
1628	2-81	0	0	0	1	1	0	1	0	1	1	3	1	5	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	5	3	3	2	0	1	3	2	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	13	12	9	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	3	6.64589603638813	0	7.35109025049745	7.3334571245908	0	7.11294299195411	0	0	0	0	0	7.23300649073607
