No.	NAME	T(N..O)	T(O..O)	T(O..S)	B01[C-N]	B01[C-O]	B01[C-F]	B01[N-N]	B02[C-O]	B02[O-O]	B02[O-S]	B03[C-O]	B03[N-O]	B03[N-F]	B03[O-O]	B03[O-S]	B03[F-Cl]	B04[N-O]	B04[N-S]	B04[O-O]	B05[C-C]	B05[C-N]	B05[C-O]	B05[C-S]	B05[C-Br]	B05[N-N]	B05[N-O]	B05[O-O]	B05[O-S]	B05[O-F]	B06[C-N]	B06[N-O]	B06[N-S]	B06[O-O]	B06[O-S]	B07[C-C]	B07[C-N]	B07[C-O]	B07[C-S]	B07[N-O]	B07[O-O]	B08[C-C]	B08[C-N]	B08[C-O]	B08[C-S]	B08[C-F]	B08[N-N]	B08[N-O]	B08[N-S]	B08[O-O]	B08[O-S]	B09[C-C]	B09[C-N]	B09[C-O]	B09[C-S]	B09[N-O]	B09[O-O]	B09[O-S]	B10[C-C]	B10[C-N]	B10[C-O]	B10[N-N]	B10[N-O]	B10[N-S]	B10[O-O]	F01[C-N]	F01[C-O]	F01[N-O]	F02[C-C]	F02[C-N]	F02[N-N]	F03[C-N]	F03[C-O]	F03[N-N]	F03[N-O]	F03[N-S]	F03[O-O]	F04[C-N]	F04[C-S]	F04[N-N]	F04[N-O]	F04[O-O]	F05[C-N]	F05[C-O]	F05[N-N]	F05[N-O]	F05[N-S]	F06[C-N]	F06[C-S]	F06[N-N]	F06[N-O]	F07[C-C]	F07[C-N]	F07[C-O]	F07[C-S]	F07[N-N]	F07[N-O]	F07[O-O]	F08[C-C]	F08[C-N]	F08[C-O]	F08[C-S]	F08[N-N]	F08[N-O]	F08[O-O]	F08[O-S]	F09[C-N]	F09[C-O]	F09[C-S]	F09[C-Cl]	F09[N-N]	F09[N-O]	F10[C-C]	F10[C-N]	F10[C-O]	F10[C-S]	F10[O-O]
1	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
3	2-11	34	18	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	5	0	29	5	0	5	7	0	1	0	1	8	0	0	0	0	7	11	0	1	0	5	0	1	2	8	1	3	0	0	2	1	3	2	2	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0
4	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
5	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
6	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
7	2-11	34	18	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	5	0	29	5	0	5	7	0	1	0	1	8	0	0	0	0	7	11	0	1	0	5	0	1	2	8	1	3	0	0	2	1	3	2	2	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0
8	2-99	26	55	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	35	2	0	5	16	0	0	0	1	7	0	0	0	2	3	13	0	4	0	0	0	0	1	4	0	15	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
9	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
10	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
11	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
12	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
13	4-2	34	18	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	4	0	30	5	0	5	7	0	1	0	1	7	0	0	0	0	7	11	0	1	0	4	0	1	2	6	2	4	0	0	2	1	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
14	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
15	4-6	13	4	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	35	1	0	2	7	0	0	0	0	5	0	0	0	1	6	5	0	0	0	3	0	0	1	3	0	5	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	4-3a	6	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	35	1	0	2	4	0	0	0	0	5	0	0	0	0	6	3	0	0	0	3	0	0	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
18	4-11	20	12	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	22	1	0	2	10	0	0	0	0	3	0	0	1	1	2	7	0	0	0	3	0	0	0	4	2	2	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
19	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
20	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
21	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
22	4-11	20	12	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	22	1	0	2	10	0	0	0	0	3	0	0	1	1	2	7	0	0	0	3	0	0	0	4	2	2	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
23	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
24	4-6	13	4	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	35	1	0	2	7	0	0	0	0	5	0	0	0	1	6	5	0	0	0	3	0	0	1	3	0	5	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	4-3	7	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	35	1	0	1	4	0	0	0	0	2	0	0	0	0	5	3	0	0	0	6	0	0	0	3	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2-9	23	32	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	38	1	0	2	18	0	0	0	0	5	0	0	0	2	7	11	0	1	0	3	0	0	3	4	0	9	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
27	4-28a	64	18	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	6	4	0	14	8	0	6	8	2	1	0	0	8	0	0	1	0	7	4	1	4	0	8	0	1	1	11	9	7	0	0	0	0	6	5	5	0	1	2	1	0	1	1	0	0	1	0	3	3	1	0	0
28	4-28a	64	18	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	6	4	0	14	8	0	6	8	2	1	0	0	8	0	0	1	0	7	4	1	4	0	8	0	1	1	11	9	7	0	0	0	0	6	5	5	0	1	2	1	0	1	1	0	0	1	0	3	3	1	0	0
29	2-9	23	32	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	38	1	0	2	18	0	0	0	0	5	0	0	0	2	7	11	0	1	0	3	0	0	3	4	0	9	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
30	4-3	7	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	35	1	0	1	4	0	0	0	0	2	0	0	0	0	5	3	0	0	0	6	0	0	0	3	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2-11	34	18	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	5	0	29	5	0	5	7	0	1	0	1	8	0	0	0	0	7	11	0	1	0	5	0	1	2	8	1	3	0	0	2	1	3	2	2	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0
32	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
33	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
34	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
35	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
36	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
37	3-33	28	34	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	3	6	0	31	1	0	1	9	0	0	0	2	3	0	0	0	0	4	14	0	0	0	3	0	0	1	14	3	7	0	0	2	2	10	1	7	0	0	1	1	0	1	4	0	0	0	0	3	0	0	0	0
38	4-53	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	8	0	0	28	6	3	13	0	0	0	0	0	12	0	0	0	0	8	0	1	0	0	9	0	0	0	17	5	0	0	2	0	0	14	6	0	0	0	0	0	0	4	0	0	0	0	0	10	2	0	0	0
39	4-43	191	58	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	11	7	0	14	7	5	12	9	2	3	0	2	6	0	2	5	1	6	6	1	2	0	6	0	0	3	9	4	6	0	0	6	0	5	7	10	0	1	0	0	0	6	1	0	0	0	6	7	5	3	0	0
40	2-4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	35	3	0	6	0	0	0	0	0	8	0	0	0	0	9	0	0	0	0	5	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	4-53	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	8	0	0	28	6	3	13	0	0	0	0	0	12	0	0	0	0	8	0	1	0	0	9	0	0	0	17	5	0	0	2	0	0	14	6	0	0	0	0	0	0	4	0	0	0	0	0	10	2	0	0	0
42	4-28a	64	18	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	6	4	0	14	8	0	6	8	2	1	0	0	8	0	0	1	0	7	4	1	4	0	8	0	1	1	11	9	7	0	0	0	0	6	5	5	0	1	2	1	0	1	1	0	0	1	0	3	3	1	0	0
43	2-8	61	35	8	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	2	5	0	12	4	0	3	11	0	2	0	3	3	2	0	0	0	0	7	0	1	1	0	0	0	3	8	2	4	0	0	2	0	5	4	2	0	0	0	0	0	3	0	0	0	0	2	0	3	0	0	0
44	4-3a	6	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	35	1	0	2	4	0	0	0	0	5	0	0	0	0	6	3	0	0	0	3	0	0	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	4-37	13	3	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	11	1	0	1	4	0	0	0	1	2	0	0	0	0	2	2	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	4-37	13	3	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	11	1	0	1	4	0	0	0	1	2	0	0	0	0	2	2	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	2-6	33	16	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	38	3	0	6	14	0	0	0	0	7	0	0	2	0	10	8	0	1	0	6	0	1	2	4	3	6	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
48	2-15	28	34	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	2	6	0	29	1	0	1	9	0	0	0	2	3	0	0	0	0	4	14	0	0	0	3	0	0	1	11	3	6	0	0	2	2	7	1	5	0	0	1	1	0	1	3	0	0	0	0	2	0	0	0	0
49	4-44	86	62	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0	6	7	0	24	9	0	4	9	1	5	0	0	9	0	0	0	0	10	11	0	0	0	5	0	1	4	28	5	16	0	1	1	0	24	6	18	0	0	0	0	0	6	6	0	0	0	2	17	3	7	0	0
50	4-36	22	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	9	1	0	17	12	2	7	3	2	0	0	0	8	0	2	1	0	9	1	0	2	0	8	0	0	1	9	5	3	0	2	0	0	10	5	1	0	1	0	0	0	6	0	0	0	0	0	5	6	0	0	0
51	4-53	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	8	0	0	28	6	3	13	0	0	0	0	0	12	0	0	0	0	8	0	1	0	0	9	0	0	0	17	5	0	0	2	0	0	14	6	0	0	0	0	0	0	4	0	0	0	0	0	10	2	0	0	0
52	2-11	34	18	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	5	0	29	5	0	5	7	0	1	0	1	8	0	0	0	0	7	11	0	1	0	5	0	1	2	8	1	3	0	0	2	1	3	2	2	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0
53	4-35	21	20	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	3	0	26	1	0	1	7	0	0	0	0	1	0	0	1	1	1	7	0	0	0	1	0	0	1	13	1	6	0	0	0	1	11	1	6	0	0	0	0	0	2	5	0	0	0	0	5	4	2	0	0
54	4-53	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	8	0	0	28	6	3	13	0	0	0	0	0	12	0	0	0	0	8	0	1	0	0	9	0	0	0	17	5	0	0	2	0	0	14	6	0	0	0	0	0	0	4	0	0	0	0	0	10	2	0	0	0
