No.	NAME	T(N..O)	T(O..O)	T(O..S)	B01[C-N]	B01[C-O]	B01[C-F]	B01[N-N]	B02[C-O]	B02[O-O]	B02[O-S]	B03[C-O]	B03[N-O]	B03[N-F]	B03[O-O]	B03[O-S]	B03[F-Cl]	B04[N-O]	B04[N-S]	B04[O-O]	B05[C-C]	B05[C-N]	B05[C-O]	B05[C-S]	B05[C-Br]	B05[N-N]	B05[N-O]	B05[O-O]	B05[O-S]	B05[O-F]	B06[C-N]	B06[N-O]	B06[N-S]	B06[O-O]	B06[O-S]	B07[C-C]	B07[C-N]	B07[C-O]	B07[C-S]	B07[N-O]	B07[O-O]	B08[C-C]	B08[C-N]	B08[C-O]	B08[C-S]	B08[C-F]	B08[N-N]	B08[N-O]	B08[N-S]	B08[O-O]	B08[O-S]	B09[C-C]	B09[C-N]	B09[C-O]	B09[C-S]	B09[N-O]	B09[O-O]	B09[O-S]	B10[C-C]	B10[C-N]	B10[C-O]	B10[N-N]	B10[N-O]	B10[N-S]	B10[O-O]	F01[C-N]	F01[C-O]	F01[N-O]	F02[C-C]	F02[C-N]	F02[N-N]	F03[C-N]	F03[C-O]	F03[N-N]	F03[N-O]	F03[N-S]	F03[O-O]	F04[C-N]	F04[C-S]	F04[N-N]	F04[N-O]	F04[O-O]	F05[C-N]	F05[C-O]	F05[N-N]	F05[N-O]	F05[N-S]	F06[C-N]	F06[C-S]	F06[N-N]	F06[N-O]	F07[C-C]	F07[C-N]	F07[C-O]	F07[C-S]	F07[N-N]	F07[N-O]	F07[O-O]	F08[C-C]	F08[C-N]	F08[C-O]	F08[C-S]	F08[N-N]	F08[N-O]	F08[O-O]	F08[O-S]	F09[C-N]	F09[C-O]	F09[C-S]	F09[C-Cl]	F09[N-N]	F09[N-O]	F10[C-C]	F10[C-N]	F10[C-O]	F10[C-S]	F10[O-O]
1998	2-40	32	86	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	9	0	32	3	0	3	15	0	1	0	2	5	0	0	0	2	3	24	0	2	0	2	0	0	2	11	0	11	0	0	1	4	5	1	5	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0
1999	3-25	40	8	8	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	9	3	0	35	7	0	7	5	0	0	0	0	8	5	0	0	0	8	5	0	1	1	7	3	2	0	23	8	6	2	0	2	0	22	5	4	3	0	1	1	0	5	6	0	0	0	0	15	3	2	0	0
2000	2-43	0	84	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	37	0	0	0	18	0	0	0	0	0	0	0	0	2	0	28	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
2001	3-19	0	14	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	3-45	11	4	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	33	2	0	5	7	0	0	0	0	6	0	0	0	1	3	4	0	1	0	0	0	0	1	3	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	2-83	38	125	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	2	9	0	48	2	0	4	26	0	0	0	2	7	0	0	0	3	8	25	0	1	0	3	0	0	4	29	0	20	0	0	1	2	29	0	14	0	0	0	3	0	0	11	0	0	0	0	13	0	11	0	0
2004	2-92	0	110	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	39	0	0	0	26	0	0	0	0	0	0	0	0	4	0	34	0	0	0	0	0	0	0	10	0	18	0	0	0	0	4	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
2005	2-98	114	136	60	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	2	6	0	18	4	0	4	20	0	0	2	5	2	4	0	6	0	2	14	0	0	0	4	0	0	0	16	2	10	0	0	4	4	10	4	8	2	0	0	0	4	0	8	4	0	0	2	4	0	10	4	0
2006	3-10	6	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	37	1	0	2	4	0	0	0	0	5	0	0	0	0	6	3	0	0	0	3	0	0	1	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	2-97	146	136	60	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	2	6	0	18	4	0	4	20	0	0	0	5	2	4	0	0	0	0	14	0	0	2	0	0	0	6	16	2	10	0	0	0	4	10	4	8	2	0	0	0	4	2	8	4	0	0	4	4	4	10	4	0
2008	3-48	0	32	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	36	0	0	0	12	0	0	0	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	6	0	6	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	3-15	0	6	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	35	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	2-51	33	86	51	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	2	6	0	42	2	0	3	19	0	0	1	1	7	1	0	0	2	7	25	0	0	0	3	2	0	4	23	0	19	5	0	1	1	20	0	9	7	0	0	4	0	0	5	3	0	0	0	6	0	9	0	0
2011	2-57	0	2	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	35	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	11	0	4	0	0	0	0	7	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0
2012	2-69	0	80	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	40	0	0	0	23	0	0	0	0	0	0	0	0	2	0	25	0	0	0	0	0	0	0	7	0	12	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2013	2-38	51	62	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	4	6	1	31	5	0	5	12	0	2	0	1	8	0	0	0	1	7	19	0	1	0	5	0	1	2	10	2	9	0	0	4	2	3	2	5	0	0	0	3	0	0	3	0	0	0	0	1	0	0	0	0
2014	2-70	31	117	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	1	2	7	0	33	2	0	1	14	0	2	0	0	2	0	0	0	0	3	14	0	0	0	3	0	0	1	12	3	12	0	0	1	1	10	2	11	0	0	0	1	0	3	11	0	0	0	0	8	0	7	0	3
2015	2-52	0	14	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	34	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016	3-11	6	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	40	1	0	2	4	0	0	0	0	5	0	0	0	0	6	3	0	0	0	3	0	0	1	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	2-60	33	125	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	2	6	0	33	2	0	2	15	0	0	0	0	1	0	0	2	0	3	15	0	0	0	3	0	0	1	12	3	12	0	0	1	1	12	2	7	0	0	0	1	0	3	12	0	0	0	0	8	0	7	0	3
2018	2-49	0	83	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	38	0	0	0	19	0	0	0	1	0	0	0	0	1	0	26	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
2019	2-98	114	136	60	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	2	6	0	18	4	0	4	20	0	0	2	5	2	4	0	6	0	2	14	0	0	0	4	0	0	0	16	2	10	0	0	4	4	10	4	8	2	0	0	0	4	0	8	4	0	0	2	4	0	10	4	0
2020	4-55a	36	21	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	7	3	0	1	4	0	4	0	3	3	0	0	0	0	2	3	0	1	0	2	0	0	2	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021	2-85	23	88	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	2	8	0	39	2	0	6	22	0	0	0	0	8	0	0	1	2	4	20	0	3	0	0	0	0	0	18	0	16	0	0	0	6	15	0	6	0	0	0	2	0	0	4	0	0	0	0	3	0	3	0	0
2022	2-34	37	31	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	7	0	31	4	0	5	10	0	1	0	1	9	0	0	0	0	7	10	0	2	0	5	0	1	1	8	2	8	0	0	2	0	2	1	5	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
2023	3-54	17	10	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	33	2	0	5	10	0	0	0	0	6	0	0	0	2	3	6	0	1	0	0	0	0	2	3	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024	2-22	27	58	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	7	0	29	3	0	3	12	0	1	0	2	4	0	0	0	0	3	19	0	1	0	2	0	0	2	8	0	6	0	0	1	3	3	1	3	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0
2025	2-27	27	105	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	2	8	0	39	3	0	3	13	0	3	0	0	4	0	0	1	2	2	20	0	0	0	3	0	0	0	16	2	13	0	0	2	3	11	4	9	0	0	0	0	0	0	13	0	0	0	0	11	0	6	0	6
2026	2-10	64	35	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	6	7	0	31	7	0	10	8	1	1	0	1	15	0	0	0	0	10	13	1	3	0	7	0	1	5	9	2	8	0	0	2	2	3	0	6	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
2027	2-34	37	31	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	7	0	31	4	0	5	10	0	1	0	1	9	0	0	0	0	7	10	0	2	0	5	0	1	1	8	2	8	0	0	2	0	2	1	5	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
2028	4-47	36	33	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	3	6	0	14	5	0	4	10	1	1	0	0	5	0	0	1	0	5	5	0	3	0	5	0	0	2	11	4	10	0	0	0	0	6	1	8	0	0	0	2	0	0	1	0	0	0	0	3	0	1	0	0
2029	4-60	33	17	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	5	0	29	4	0	4	7	0	1	0	1	8	0	0	0	0	8	9	0	2	0	5	0	1	1	5	2	3	0	0	2	0	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
2030	2-81	38	125	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	9	0	40	3	0	2	26	0	0	0	2	5	0	0	0	3	7	23	0	1	0	3	0	0	4	21	0	20	0	0	1	2	6	0	16	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0
2031	4-63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	27	3	0	6	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2032	2-49	0	83	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	38	0	0	0	19	0	0	0	1	0	0	0	0	1	0	26	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
2033	2-25	8	8	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	34	3	0	5	4	0	1	0	0	6	0	0	0	0	3	4	0	1	0	0	0	0	0	6	0	10	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2034	3-6	25	35	8	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	4	5	0	18	2	0	1	11	0	2	0	3	2	2	0	0	0	0	7	0	1	0	0	0	0	0	8	1	4	3	0	2	0	8	2	8	0	0	0	0	0	2	0	0	0	0	0	6	1	0	0	0
2035	2-92	0	110	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	39	0	0	0	26	0	0	0	0	0	0	0	0	4	0	34	0	0	0	0	0	0	0	10	0	18	0	0	0	0	4	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
2036	2-76	7	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	35	1	0	1	4	0	0	0	0	2	0	0	0	0	5	3	0	0	0	6	0	0	0	3	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2037	4-51	73	88	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	3	8	0	44	5	0	4	21	0	2	0	1	6	0	0	0	1	9	25	0	0	0	7	0	0	5	37	3	23	0	0	1	0	20	4	17	0	0	1	4	0	4	6	0	0	1	1	13	6	6	0	1
