No.	NAME	nCIR	Rperim	MCD	RCI	NRS	nSpiro	nBridgeHead	nR05	nR06	nR07	nR08	nR09	nR10	nR12	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr11
2244	2-78	6	15	0.652173913043478	1.26666666666667	1	0	0	0	2	1	0	0	1	0	0	0	77.5325491501962	74.2174108571167
2245	3-54	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.9029637029637	72.7895687645688	0
2246	2-45	3	8	0.5	1.25	1	0	0	2	0	0	1	0	0	0	0	66.7642857142857	0	0
2247	2-29	24	15	0.75	1.61111111111111	1	1	2	1	4	0	1	3	3	1	0	22.305730294817	123.386346616919	167.980714701535
2248	3-12	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	62.5008333170098	79.9438514100279	0
2249	3-41	4	14	0.636363636363636	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	97.9811022311022	71.9162812677519	0
2250	4-41	3	8	0.533333333333333	1.25	1	0	0	2	0	0	1	0	0	0	0	62.1797619047619	0	0
2251	2-40	10	16	0.62962962962963	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	174.494611924024	0
2252	2-85	15	15	0.586206896551724	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	122.989520700318	100.088817911535	0
2253	2-88	12	27	0.892857142857143	1.32	1	2	0	3	3	0	0	1	2	0	0	140.980579925638	131.107877545571	0
2254	2-66	16	21	0.676470588235294	1.43478260869565	2	1	4	3	3	2	0	2	2	0	0	156.998126709144	217.599964256776	0
2255	3-25	6	19	0.633333333333333	1.21052631578947	2	0	0	1	3	0	0	1	1	0	0	62.2502528517234	214.599982765772	0
2256	4-29	2	12	0.75	1	2	0	0	0	2	0	0	0	0	0	0	0	107.525407925408	0
2257	2-64	15	15	0.607142857142857	1.58823529411765	1	1	4	3	2	2	0	2	2	0	0	118.047630345231	92.0653420882523	0
