No.	NAME	nCIR	Rperim	MCD	RCI	NRS	nSpiro	nBridgeHead	nR05	nR06	nR07	nR08	nR09	nR10	nR12	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr11
2530	2-28	10	14	0.517241379310345	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	91.0513225465625	120.668050916232	0
2531	2-92	15	15	0.607142857142857	1.58823529411765	1	2	4	3	2	2	1	1	2	1	0	111.297103141956	91.4415335481512	0
2532	2-93	15	15	0.586206896551724	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	122.989520700318	100.088817911535	0
2533	2-28	10	14	0.517241379310345	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	91.0513225465625	120.668050916232	0
2534	2-28	10	14	0.517241379310345	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	91.0513225465625	120.668050916232	0
2535	4-63	3	18	0.9	1	3	0	0	0	3	0	0	0	0	0	0	0	194.941991341991	0
2536	4-46	3	10	0.476190476190476	1.2	1	0	0	0	2	0	0	0	1	0	0	0	109.397073025014	0
2537	4-59	10	16	0.551724137931034	1.375	1	0	0	2	2	0	0	3	0	1	0	80.4831514890339	100.132148407148	0
2538	2-74	16	21	0.696969696969697	1.43478260869565	2	1	4	3	3	2	0	2	2	0	0	149.010191455992	207.561285544185	0
2539	4-9	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	62.4348165723166	83.5997807747808	0
2540	3-43	4	14	0.736842105263158	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	80.4977688977689	59.6877924363219	0
2541	2-28	10	14	0.517241379310345	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	91.0513225465625	120.668050916232	0
2542	2-80	10	14	0.555555555555556	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	76.6805031569738	99.1602126631538	0
2543	4-16	6	13	0.518518518518518	1.35714285714286	1	0	2	1	1	0	1	1	1	0	0	44.0663397060456	52.4518916540976	104.274556489262
2544	4-31	3	10	0.588235294117647	1.2	1	0	0	0	2	0	0	0	1	0	0	0	77.4611055611056	0
2545	2-70	6	13	0.464285714285714	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	55.4279867062762	119.69011142796	0
2546	4-37a	3	8	0.615384615384615	1.25	1	0	0	2	0	0	1	0	0	0	0	48.9742063492063	0	0
2547	4-59	10	16	0.551724137931034	1.375	1	0	0	2	2	0	0	3	0	1	0	80.4831514890339	100.132148407148	0
2548	4-57	6	13	0.466666666666667	1.35714285714286	1	0	2	1	1	0	1	1	1	0	0	52.6341194323392	61.9838698668033	124.284199499331
2549	4-46	3	10	0.476190476190476	1.2	1	0	0	0	2	0	0	0	1	0	0	0	109.397073025014	0
2550	4-57	6	13	0.466666666666667	1.35714285714286	1	0	2	1	1	0	1	1	1	0	0	52.6341194323392	61.9838698668033	124.284199499331
2551	4-37a	3	8	0.615384615384615	1.25	1	0	0	2	0	0	1	0	0	0	0	48.9742063492063	0	0
2552	4-37a	3	8	0.615384615384615	1.25	1	0	0	2	0	0	1	0	0	0	0	48.9742063492063	0	0
