No.	NAME	SsCH3	SssCH2	SdsCH	SsssCH	SdssC	SaasC	SssssC	SsssN	SaaN	SaaS	NssCH2	NdsCH	NaaCH	NdssC	NaasC	NssssC	NsNH2	NssNH	NsssN	NdsN	NsNH3+	NaasN	NsOH	minssCH2	minsssCH	mindssC	minaasC	minsssN	mindO	MaxsCH3	MaxssCH2	MaxaaCH	MaxsssCH	MaxdssC	MaxaasC	MaxssNH	MaxsssN	MaxaaN	MaxsOH	MaxssO	gmax
162	Cephaloridine	0	1.02571370609222	0	-1.12967624086672	-1.47803421137611	0.911961828790313	0	1.24843466553288	0	1.4758679941314	3	0	8	5	1	0	0	1	1	0	0	1	0	0.20626294244322	-0.710425380028555	-1.36708962108719	0.911961828790313	1.24843466553288	11.7635052207292	0	0.455306936046023	1.88793967252752	-0.419250860838162	0.619594524793389	0.911961828790313	2.74218251170226	1.24843466553288	0	0	0	12.6151706191736
163	Cefacetrile	1.18806180962809	-0.411392748214989	0	-1.4679663223314	-3.39102582819484	0	0	1.01354213907785	0	0	3	0	0	6	0	0	0	1	1	0	0	0	0	-0.386854388296488	-0.88381902452339	-1.54851534286554	0	1.01354213907785	10.8529482545678	1.18806180962809	0.217917139077853	0	-0.584147297808013	0.260742026748972	0	2.3960273893508	1.01354213907785	0	0	4.78301602701585	12.116220553036
164	Cephaloridine	0	1.02571370609222	0	-1.12967624086672	-1.47803421137611	0.911961828790313	0	1.24843466553288	0	1.4758679941314	3	0	8	5	1	0	0	1	1	0	0	1	0	0.20626294244322	-0.710425380028555	-1.36708962108719	0.911961828790313	1.24843466553288	11.7635052207292	0	0.455306936046023	1.88793967252752	-0.419250860838162	0.619594524793389	0.911961828790313	2.74218251170226	1.24843466553288	0	0	0	12.6151706191736
165	Nocardicin B	0	0.0721825567930852	0	-3.37516957292075	-4.74206652983284	0.714799025124864	0	1.00531079912105	0	0	3	0	8	5	4	0	0	1	1	1	1	0	2	-0.130232653812858	-1.40712407578848	-1.52399815609673	-0.0750234458993995	1.00531079912105	10.6732364642739	0	0.132754074186435	1.47544720486144	-0.921884136667844	-0.391148490808934	0.369778760831649	2.39794786204821	1.00531079912105	0	9.38711191703095	5.40617978836166	12.6082962633707
166	SCE-796	0	0.334273028964309	0	-3.46008428184072	-5.27769450063296	0.483538053153787	0	1.04033640925506	0	0	2	0	9	7	2	0	1	1	1	0	0	1	0	0.114728090427217	-1.62673285199218	-1.61980392612276	0.196214592395755	1.04033640925506	11.2377388224771	0	0.219544938537092	1.6622162918761	-0.732856414068536	0.4010181359045	0.287323460758032	2.4293606779139	1.04033640925506	0	0	0	12.8442834212044
167	Cephalosporin C	0	0.358095713032235	0.175006419257689	-2.40693234248249	-4.01572561969651	0	0	1.01392270099296	0	0	5	1	0	6	0	0	0	1	1	0	1	0	0	-0.265879427899803	-0.921024210711259	-1.56324701115532	0	1.01392270099296	10.3045792276342	0	0.257733379775331	0	-0.598943531116151	0.240966896630018	0	2.5279972915092	1.01392270099296	0	0	4.56614465343993	12.3032966689762
168	Cefacetrile	1.18806180962809	-0.411392748214989	0	-1.4679663223314	-3.39102582819484	0	0	1.01354213907785	0	0	3	0	0	6	0	0	0	1	1	0	0	0	0	-0.386854388296488	-0.88381902452339	-1.54851534286554	0	1.01354213907785	10.8529482545678	1.18806180962809	0.217917139077853	0	-0.584147297808013	0.260742026748972	0	2.3960273893508	1.01354213907785	0	0	4.78301602701585	12.116220553036
169	Cefuroxime	1.24608868722873	-0.253052889186998	0	-1.68560080204922	-4.49790656150772	0.130077177985833	0	0.980319822373394	0	0	2	0	3	7	1	0	1	1	1	1	0	0	0	-0.386596445498412	-1.00233596833795	-1.60303980504558	0.130077177985833	0.980319822373394	10.7809573461071	1.24608868722873	0.133543556311414	1.54923683537688	-0.683264833711263	0.167033891099548	0.130077177985833	2.50000887083228	0.980319822373394	0	0	4.64592262708195	12.5425992063492
170	Cyclacillin	3.56868703461642	4.51662591849055	0	-1.94929497879399	-1.77354066555839	0	-1.29452215608466	1.33489969135802	0	0	5	0	0	3	0	2	0	1	1	0	1	0	0	0.730586905286806	-0.956903397161334	-1.24626340743291	0	1.33489969135802	11.3641732947388	1.78434351730821	1.11175074241001	0	-0.336536517384732	-0.189346182917611	0	2.81822467876039	1.33489969135802	0	0	0	12.5516506046863
171	Cephaloridine	0	1.02571370609222	0	-1.12967624086672	-1.47803421137611	0.911961828790313	0	1.24843466553288	0	1.4758679941314	3	0	8	5	1	0	0	1	1	0	0	1	0	0.20626294244322	-0.710425380028555	-1.36708962108719	0.911961828790313	1.24843466553288	11.7635052207292	0	0.455306936046023	1.88793967252752	-0.419250860838162	0.619594524793389	0.911961828790313	2.74218251170226	1.24843466553288	0	0	0	12.6151706191736
172	Cefuroxime	1.24608868722873	-0.253052889186998	0	-1.68560080204922	-4.49790656150772	0.130077177985833	0	0.980319822373394	0	0	2	0	3	7	1	0	1	1	1	1	0	0	0	-0.386596445498412	-1.00233596833795	-1.60303980504558	0.130077177985833	0.980319822373394	10.7809573461071	1.24608868722873	0.133543556311414	1.54923683537688	-0.683264833711263	0.167033891099548	0.130077177985833	2.50000887083228	0.980319822373394	0	0	4.64592262708195	12.5425992063492
173	Cefotaxime	2.43580153901267	-0.0891740969311663	0	-1.66213836923658	-3.81786408196325	0.39828302148548	0	1.01512148841018	3.97146879226484	1.10053566115643	2	0	1	7	2	0	1	1	1	1	0	0	0	-0.268784891279515	-0.995218306458386	-1.56929495081371	0.176633719734682	1.01512148841018	11.0196715609597	1.24782054663916	0.179610794348348	1.50918999640233	-0.666920062778198	0.239962418800803	0.221649301750798	2.52328551482321	1.01512148841018	3.97146879226484	0	4.85065342250414	12.647069072502
174	Aztreonam	3.50566727299276	0	0	-2.43718465241035	-4.2544783425499	0.00763838014672391	-1.88877769429244	0.0885917507116101	3.84140705047451	0.959080400436371	0	0	1	4	2	1	1	1	1	1	0	0	0	0	-1.31337196607038	-1.60380834538437	-0.0677074278785583	0.0885917507116101	11.0095710992284	1.24518897293383	0	1.3368585180986	-1.12381268633997	-0.508605914588057	0.0753458080252822	2.20779809145881	0.0885917507116101	3.84140705047451	0	4.84782389035861	12.5308919123205
175	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
