No.	NAME	SsCH3	SssCH2	SdsCH	SsssCH	SdssC	SaasC	SssssC	SsssN	SaaN	SaaS	NssCH2	NdsCH	NaaCH	NdssC	NaasC	NssssC	NsNH2	NssNH	NsssN	NdsN	NsNH3+	NaasN	NsOH	minssCH2	minsssCH	mindssC	minaasC	minsssN	mindO	MaxsCH3	MaxssCH2	MaxaaCH	MaxsssCH	MaxdssC	MaxaasC	MaxssNH	MaxsssN	MaxaaN	MaxsOH	MaxssO	gmax
1	Ceftriaxone	2.66112025360599	0.235790787170623	0	-1.7253048134492	-5.0752718353041	0.368899274924752	0	2.15837196512063	3.98956390285809	1.0903705400865	2	0	1	9	2	0	1	1	2	2	0	0	0	0.0415628033538944	-1.02742728034485	-1.566214252485	0.161036025073551	1.04539097274712	11.3177087432045	1.41984389720709	0.194227983816728	1.5026790660498	-0.697877533104356	0.346674436941393	0.207863249851202	2.5441240519336	1.11298099237351	3.98956390285809	0	4.71020964703699	12.8820826936912
2	Nocardicin B	0	0.0721825567930852	0	-3.37516957292075	-4.74206652983284	0.714799025124864	0	1.00531079912105	0	0	3	0	8	5	4	0	0	1	1	1	1	0	2	-0.130232653812858	-1.40712407578848	-1.52399815609673	-0.0750234458993995	1.00531079912105	10.6732364642739	0	0.132754074186435	1.47544720486144	-0.921884136667844	-0.391148490808934	0.369778760831649	2.39794786204821	1.00531079912105	0	9.38711191703095	5.40617978836166	12.6082962633707
3	BL-S217	3.10692791792734	0.174226265556151	0	-1.3263872768779	-2.87669120104324	0.920498299016066	0	1.09485591458806	0	0	3	0	4	6	1	0	0	1	1	0	0	1	0	-0.217611006991523	-0.799723324514991	-1.5107638952201	0.920498299016066	1.09485591458806	10.9952419525529	1.89281249158629	0.257136483217555	1.88169053908058	-0.526663952362907	0.298493474394414	0.920498299016066	2.67319866990006	1.09485591458806	0	0	4.8642019048873	12.4970356549415
4	Nocardicin B	0	0.0721825567930852	0	-3.37516957292075	-4.74206652983284	0.714799025124864	0	1.00531079912105	0	0	3	0	8	5	4	0	0	1	1	1	1	0	2	-0.130232653812858	-1.40712407578848	-1.52399815609673	-0.0750234458993995	1.00531079912105	10.6732364642739	0	0.132754074186435	1.47544720486144	-0.921884136667844	-0.391148490808934	0.369778760831649	2.39794786204821	1.00531079912105	0	9.38711191703095	5.40617978836166	12.6082962633707
5	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
6	Cefoperazone	3.32797412780376	0.730966204128344	0	-3.3308614078866	-5.82037839473896	0.556095994448307	0	3.05492588805546	11.1133859950394	0	5	0	4	8	3	0	0	2	3	0	0	1	1	-0.0882204865130711	-1.43632805917525	-1.54469030516298	-0.10637413797523	0.704334107821905	12.0975592815797	1.69712523650915	0.290115496786155	1.37463351177144	-0.761958664580487	0.424994596575499	0.447246392140447	2.58135579386075	1.2901781210597	3.84933853807236	9.72255015945908	0	13.5478221007888
7	SCE-796	0	0.334273028964309	0	-3.46008428184072	-5.27769450063296	0.483538053153787	0	1.04033640925506	0	0	2	0	9	7	2	0	1	1	1	0	0	1	0	0.114728090427217	-1.62673285199218	-1.61980392612276	0.196214592395755	1.04033640925506	11.2377388224771	0	0.219544938537092	1.6622162918761	-0.732856414068536	0.4010181359045	0.287323460758032	2.4293606779139	1.04033640925506	0	0	0	12.8442834212044
8	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
9	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
10	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
11	Cefoperazone	3.32797412780376	0.730966204128344	0	-3.3308614078866	-5.82037839473896	0.556095994448307	0	3.05492588805546	11.1133859950394	0	5	0	4	8	3	0	0	2	3	0	0	1	1	-0.0882204865130711	-1.43632805917525	-1.54469030516298	-0.10637413797523	0.704334107821905	12.0975592815797	1.69712523650915	0.290115496786155	1.37463351177144	-0.761958664580487	0.424994596575499	0.447246392140447	2.58135579386075	1.2901781210597	3.84933853807236	9.72255015945908	0	13.5478221007888
12	Cefsulodin	0	0.240135998941863	0	-4.12443424404783	-4.15567379813916	0.213660880062329	0	0.97751753170404	0	0	2	0	9	6	2	0	1	1	1	0	0	1	0	0.0767735449726723	-2.06886248162181	-1.59066600997607	-0.0537854076042439	0.97751753170404	11.2406685099771	0	0.163362453969191	1.5810088088829	-0.827669339238604	0.356944061830426	0.267446287666573	2.2962356779139	0.97751753170404	0	0	0	12.8595895436534
13	SCE-796	0	0.334273028964309	0	-3.46008428184072	-5.27769450063296	0.483538053153787	0	1.04033640925506	0	0	2	0	9	7	2	0	1	1	1	0	0	1	0	0.114728090427217	-1.62673285199218	-1.61980392612276	0.196214592395755	1.04033640925506	11.2377388224771	0	0.219544938537092	1.6622162918761	-0.732856414068536	0.4010181359045	0.287323460758032	2.4293606779139	1.04033640925506	0	0	0	12.8442834212044
14	Cefsulodin	0	0.240135998941863	0	-4.12443424404783	-4.15567379813916	0.213660880062329	0	0.97751753170404	0	0	2	0	9	6	2	0	1	1	1	0	0	1	0	0.0767735449726723	-2.06886248162181	-1.59066600997607	-0.0537854076042439	0.97751753170404	11.2406685099771	0	0.163362453969191	1.5810088088829	-0.827669339238604	0.356944061830426	0.267446287666573	2.2962356779139	0.97751753170404	0	0	0	12.8595895436534
15	Cefsulodin	0	0.240135998941863	0	-4.12443424404783	-4.15567379813916	0.213660880062329	0	0.97751753170404	0	0	2	0	9	6	2	0	1	1	1	0	0	1	0	0.0767735449726723	-2.06886248162181	-1.59066600997607	-0.0537854076042439	0.97751753170404	11.2406685099771	0	0.163362453969191	1.5810088088829	-0.827669339238604	0.356944061830426	0.267446287666573	2.2962356779139	0.97751753170404	0	0	0	12.8595895436534
16	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
17	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
18	Cefsulodin	0	0.240135998941863	0	-4.12443424404783	-4.15567379813916	0.213660880062329	0	0.97751753170404	0	0	2	0	9	6	2	0	1	1	1	0	0	1	0	0.0767735449726723	-2.06886248162181	-1.59066600997607	-0.0537854076042439	0.97751753170404	11.2406685099771	0	0.163362453969191	1.5810088088829	-0.827669339238604	0.356944061830426	0.267446287666573	2.2962356779139	0.97751753170404	0	0	0	12.8595895436534
19	Cefsulodin	0	0.240135998941863	0	-4.12443424404783	-4.15567379813916	0.213660880062329	0	0.97751753170404	0	0	2	0	9	6	2	0	1	1	1	0	0	1	0	0.0767735449726723	-2.06886248162181	-1.59066600997607	-0.0537854076042439	0.97751753170404	11.2406685099771	0	0.163362453969191	1.5810088088829	-0.827669339238604	0.356944061830426	0.267446287666573	2.2962356779139	0.97751753170404	0	0	0	12.8595895436534
20	Nocardicin B	0	0.0721825567930852	0	-3.37516957292075	-4.74206652983284	0.714799025124864	0	1.00531079912105	0	0	3	0	8	5	4	0	0	1	1	1	1	0	2	-0.130232653812858	-1.40712407578848	-1.52399815609673	-0.0750234458993995	1.00531079912105	10.6732364642739	0	0.132754074186435	1.47544720486144	-0.921884136667844	-0.391148490808934	0.369778760831649	2.39794786204821	1.00531079912105	0	9.38711191703095	5.40617978836166	12.6082962633707
21	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
22	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
23	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
24	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
25	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
26	Cyclacillin	3.56868703461642	4.51662591849055	0	-1.94929497879399	-1.77354066555839	0	-1.29452215608466	1.33489969135802	0	0	5	0	0	3	0	2	0	1	1	0	1	0	0	0.730586905286806	-0.956903397161334	-1.24626340743291	0	1.33489969135802	11.3641732947388	1.78434351730821	1.11175074241001	0	-0.336536517384732	-0.189346182917611	0	2.81822467876039	1.33489969135802	0	0	0	12.5516506046863
27	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
28	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
29	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
30	Cefoperazone	3.32797412780376	0.730966204128344	0	-3.3308614078866	-5.82037839473896	0.556095994448307	0	3.05492588805546	11.1133859950394	0	5	0	4	8	3	0	0	2	3	0	0	1	1	-0.0882204865130711	-1.43632805917525	-1.54469030516298	-0.10637413797523	0.704334107821905	12.0975592815797	1.69712523650915	0.290115496786155	1.37463351177144	-0.761958664580487	0.424994596575499	0.447246392140447	2.58135579386075	1.2901781210597	3.84933853807236	9.72255015945908	0	13.5478221007888
31	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
32	Cefoperazone	3.32797412780376	0.730966204128344	0	-3.3308614078866	-5.82037839473896	0.556095994448307	0	3.05492588805546	11.1133859950394	0	5	0	4	8	3	0	0	2	3	0	0	1	1	-0.0882204865130711	-1.43632805917525	-1.54469030516298	-0.10637413797523	0.704334107821905	12.0975592815797	1.69712523650915	0.290115496786155	1.37463351177144	-0.761958664580487	0.424994596575499	0.447246392140447	2.58135579386075	1.2901781210597	3.84933853807236	9.72255015945908	0	13.5478221007888
33	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
34	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
35	Cefoperazone	3.32797412780376	0.730966204128344	0	-3.3308614078866	-5.82037839473896	0.556095994448307	0	3.05492588805546	11.1133859950394	0	5	0	4	8	3	0	0	2	3	0	0	1	1	-0.0882204865130711	-1.43632805917525	-1.54469030516298	-0.10637413797523	0.704334107821905	12.0975592815797	1.69712523650915	0.290115496786155	1.37463351177144	-0.761958664580487	0.424994596575499	0.447246392140447	2.58135579386075	1.2901781210597	3.84933853807236	9.72255015945908	0	13.5478221007888
36	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
37	Ceftriaxone	2.66112025360599	0.235790787170623	0	-1.7253048134492	-5.0752718353041	0.368899274924752	0	2.15837196512063	3.98956390285809	1.0903705400865	2	0	1	9	2	0	1	1	2	2	0	0	0	0.0415628033538944	-1.02742728034485	-1.566214252485	0.161036025073551	1.04539097274712	11.3177087432045	1.41984389720709	0.194227983816728	1.5026790660498	-0.697877533104356	0.346674436941393	0.207863249851202	2.5441240519336	1.11298099237351	3.98956390285809	0	4.71020964703699	12.8820826936912
38	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
39	Cefsulodin	0	0.240135998941863	0	-4.12443424404783	-4.15567379813916	0.213660880062329	0	0.97751753170404	0	0	2	0	9	6	2	0	1	1	1	0	0	1	0	0.0767735449726723	-2.06886248162181	-1.59066600997607	-0.0537854076042439	0.97751753170404	11.2406685099771	0	0.163362453969191	1.5810088088829	-0.827669339238604	0.356944061830426	0.267446287666573	2.2962356779139	0.97751753170404	0	0	0	12.8595895436534
40	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
41	Nocardicin B	0	0.0721825567930852	0	-3.37516957292075	-4.74206652983284	0.714799025124864	0	1.00531079912105	0	0	3	0	8	5	4	0	0	1	1	1	1	0	2	-0.130232653812858	-1.40712407578848	-1.52399815609673	-0.0750234458993995	1.00531079912105	10.6732364642739	0	0.132754074186435	1.47544720486144	-0.921884136667844	-0.391148490808934	0.369778760831649	2.39794786204821	1.00531079912105	0	9.38711191703095	5.40617978836166	12.6082962633707
42	Cyclacillin	3.56868703461642	4.51662591849055	0	-1.94929497879399	-1.77354066555839	0	-1.29452215608466	1.33489969135802	0	0	5	0	0	3	0	2	0	1	1	0	1	0	0	0.730586905286806	-0.956903397161334	-1.24626340743291	0	1.33489969135802	11.3641732947388	1.78434351730821	1.11175074241001	0	-0.336536517384732	-0.189346182917611	0	2.81822467876039	1.33489969135802	0	0	0	12.5516506046863
43	Cefuroxime	1.24608868722873	-0.253052889186998	0	-1.68560080204922	-4.49790656150772	0.130077177985833	0	0.980319822373394	0	0	2	0	3	7	1	0	1	1	1	1	0	0	0	-0.386596445498412	-1.00233596833795	-1.60303980504558	0.130077177985833	0.980319822373394	10.7809573461071	1.24608868722873	0.133543556311414	1.54923683537688	-0.683264833711263	0.167033891099548	0.130077177985833	2.50000887083228	0.980319822373394	0	0	4.64592262708195	12.5425992063492
44	Cefuroxime	1.24608868722873	-0.253052889186998	0	-1.68560080204922	-4.49790656150772	0.130077177985833	0	0.980319822373394	0	0	2	0	3	7	1	0	1	1	1	1	0	0	0	-0.386596445498412	-1.00233596833795	-1.60303980504558	0.130077177985833	0.980319822373394	10.7809573461071	1.24608868722873	0.133543556311414	1.54923683537688	-0.683264833711263	0.167033891099548	0.130077177985833	2.50000887083228	0.980319822373394	0	0	4.64592262708195	12.5425992063492
45	Cefuroxime	1.24608868722873	-0.253052889186998	0	-1.68560080204922	-4.49790656150772	0.130077177985833	0	0.980319822373394	0	0	2	0	3	7	1	0	1	1	1	1	0	0	0	-0.386596445498412	-1.00233596833795	-1.60303980504558	0.130077177985833	0.980319822373394	10.7809573461071	1.24608868722873	0.133543556311414	1.54923683537688	-0.683264833711263	0.167033891099548	0.130077177985833	2.50000887083228	0.980319822373394	0	0	4.64592262708195	12.5425992063492
46	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
47	Cefmetazole	2.92942536013	0.642662881295464	0	-0.751794873813722	-2.4074255336381	0.495951983284252	-1.66484166351726	1.0838458207357	11.0735645291712	0	4	0	0	5	1	1	0	1	1	0	0	1	0	-0.0276338919125301	-0.751794873813722	-1.48523552907797	0.495951983284252	1.0838458207357	11.8353941290022	1.65824732063035	0.291867929449098	0	-0.751794873813722	0.484449372660502	0.495951983284252	2.54914714207283	1.0838458207357	3.83486942671118	0	5.34115991825768	12.9070996315193
48	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
49	Cefoperazone	3.32797412780376	0.730966204128344	0	-3.3308614078866	-5.82037839473896	0.556095994448307	0	3.05492588805546	11.1133859950394	0	5	0	4	8	3	0	0	2	3	0	0	1	1	-0.0882204865130711	-1.43632805917525	-1.54469030516298	-0.10637413797523	0.704334107821905	12.0975592815797	1.69712523650915	0.290115496786155	1.37463351177144	-0.761958664580487	0.424994596575499	0.447246392140447	2.58135579386075	1.2901781210597	3.84933853807236	9.72255015945908	0	13.5478221007888
50	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
51	Ofloxacin	3.94801138691412	3.39232987709674	1.2842271877887	-0.181532554379777	-2.77459381270619	0.557715367011003	0	3.62453735197783	0	0	5	1	1	3	5	0	0	0	2	0	0	0	0	0.27073829994961	-0.181532554379777	-1.56257458847737	-0.568746220710507	1.68547760770975	11.3131659813104	2.09269376912626	0.878717205597166	1.1309693877551	-0.181532554379777	-0.465233982354292	0.445763888888889	0	1.93905974426808	0	0	5.84393872826908	14.9748308767952
52	Nocardicin B	0	0.0721825567930852	0	-3.37516957292075	-4.74206652983284	0.714799025124864	0	1.00531079912105	0	0	3	0	8	5	4	0	0	1	1	1	1	0	2	-0.130232653812858	-1.40712407578848	-1.52399815609673	-0.0750234458993995	1.00531079912105	10.6732364642739	0	0.132754074186435	1.47544720486144	-0.921884136667844	-0.391148490808934	0.369778760831649	2.39794786204821	1.00531079912105	0	9.38711191703095	5.40617978836166	12.6082962633707
53	SCE-796	0	0.334273028964309	0	-3.46008428184072	-5.27769450063296	0.483538053153787	0	1.04033640925506	0	0	2	0	9	7	2	0	1	1	1	0	0	1	0	0.114728090427217	-1.62673285199218	-1.61980392612276	0.196214592395755	1.04033640925506	11.2377388224771	0	0.219544938537092	1.6622162918761	-0.732856414068536	0.4010181359045	0.287323460758032	2.4293606779139	1.04033640925506	0	0	0	12.8442834212044
54	Cefsulodin	0	0.240135998941863	0	-4.12443424404783	-4.15567379813916	0.213660880062329	0	0.97751753170404	0	0	2	0	9	6	2	0	1	1	1	0	0	1	0	0.0767735449726723	-2.06886248162181	-1.59066600997607	-0.0537854076042439	0.97751753170404	11.2406685099771	0	0.163362453969191	1.5810088088829	-0.827669339238604	0.356944061830426	0.267446287666573	2.2962356779139	0.97751753170404	0	0	0	12.8595895436534
55	SCE-796	0	0.334273028964309	0	-3.46008428184072	-5.27769450063296	0.483538053153787	0	1.04033640925506	0	0	2	0	9	7	2	0	1	1	1	0	0	1	0	0.114728090427217	-1.62673285199218	-1.61980392612276	0.196214592395755	1.04033640925506	11.2377388224771	0	0.219544938537092	1.6622162918761	-0.732856414068536	0.4010181359045	0.287323460758032	2.4293606779139	1.04033640925506	0	0	0	12.8442834212044
56	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
57	Cefoperazone	3.32797412780376	0.730966204128344	0	-3.3308614078866	-5.82037839473896	0.556095994448307	0	3.05492588805546	11.1133859950394	0	5	0	4	8	3	0	0	2	3	0	0	1	1	-0.0882204865130711	-1.43632805917525	-1.54469030516298	-0.10637413797523	0.704334107821905	12.0975592815797	1.69712523650915	0.290115496786155	1.37463351177144	-0.761958664580487	0.424994596575499	0.447246392140447	2.58135579386075	1.2901781210597	3.84933853807236	9.72255015945908	0	13.5478221007888
58	Aztreonam	3.50566727299276	0	0	-2.43718465241035	-4.2544783425499	0.00763838014672391	-1.88877769429244	0.0885917507116101	3.84140705047451	0.959080400436371	0	0	1	4	2	1	1	1	1	1	0	0	0	0	-1.31337196607038	-1.60380834538437	-0.0677074278785583	0.0885917507116101	11.0095710992284	1.24518897293383	0	1.3368585180986	-1.12381268633997	-0.508605914588057	0.0753458080252822	2.20779809145881	0.0885917507116101	3.84140705047451	0	4.84782389035861	12.5308919123205
59	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
60	Moxalactam	2.66540878566913	-0.215401376008131	0	-3.286573581767	-5.87512814920615	0.20091596056062	-2.19981253149408	0.765880168412636	10.9462490983145	0	2	0	4	6	3	1	0	1	1	0	0	1	1	-0.26498285264519	-1.86927414656082	-1.77265728558405	-0.15644707091181	0.765880168412636	11.7354540626385	1.59367787997403	0.0495814766370593	1.20275906291783	-1.41729943520618	0.194754944730595	0.387325683647556	2.22752464585212	0.765880168412636	3.78583678936156	9.42793380407273	5.65839945333046	13.1471190231526
