No.	NAME	Mor03u	Mor07u	Mor14u	Mor17u	Mor25u	Mor27u	Mor29u	Mor02m	Mor03m	Mor04m	Mor05m	Mor06m	Mor07m	Mor08m	Mor09m	Mor10m	Mor11m	Mor12m	Mor13m	Mor14m	Mor15m	Mor16m	Mor17m	Mor18m	Mor19m	Mor20m	Mor21m	Mor22m	Mor23m	Mor24m	Mor25m	Mor26m	Mor27m	Mor28m	Mor29m	Mor30m	Mor31m	Mor32m	Mor02v	Mor03v	Mor05v	Mor06v	Mor08v	Mor09v	Mor11v	Mor13v	Mor17v	Mor18v	Mor19v	Mor20v	Mor21v	Mor22v	Mor26v	Mor27v	Mor28v	Mor29v	Mor32v	Mor01e	Mor02e	Mor05e	Mor06e	Mor08e	Mor09e	Mor10e	Mor11e	Mor12e	Mor13e	Mor15e	Mor16e	Mor18e	Mor19e	Mor20e	Mor21e	Mor22e	Mor23e	Mor24e	Mor26e	Mor30e	Mor31e	Mor32e	Mor03p	Mor04p	Mor06p	Mor07p	Mor09p	Mor10p	Mor11p	Mor12p	Mor14p	Mor15p	Mor16p	Mor17p	Mor23p	Mor24p	Mor25p	Mor30p	Mor31p	Mor04i	Mor28i	Mor02s	Mor03s	Mor04s	Mor05s	Mor06s	Mor07s	Mor08s	Mor09s	Mor10s	Mor11s	Mor12s	Mor13s	Mor14s	Mor15s	Mor16s	Mor17s	Mor18s	Mor19s	Mor20s	Mor21s	Mor22s	Mor23s	Mor24s	Mor25s	Mor26s	Mor27s	Mor28s	Mor29s	Mor30s	Mor31s	Mor32s
1	Ceftriaxone	-6.14306347568234	4.26149405094781	0.742185351775748	-0.796322435862387	0.180041541127489	0.256493723207974	-0.348336879967387	27.3177961202602	-9.05860384489759	0.480323593331793	-6.41055038752165	5.18135882667464	3.92264751525272	-1.22210586913593	-0.493555950704571	-0.342781089088771	-0.154724135866178	2.35002424350665	-0.93008370822284	-0.432113324938539	0.918526904774997	0.8586804140637	-0.592097551684129	-0.984170288954582	0.0527210756239557	0.47036376906615	-0.962132097828291	0.454910728984978	0.591086005385532	0.128577622183851	-0.594889240881062	0.0895632402380967	0.00821446741303921	-0.0910046636047064	0.259153213610268	-0.157290358238245	-0.19510836104206	-0.317835084963564	22.2208993604703	-3.94599390382258	-4.72035918572524	2.50624771221733	-0.90208655092186	-0.421629232425011	-0.0554260190437394	-0.597709896311632	-0.424993195080868	-0.815986723917722	0.298406435147713	0.252260915089318	-0.469850504114651	0.256440145442109	0.237586486493458	0.112534030598368	-0.170681476355668	-0.0132378667503681	-0.0927744812305507	1475.92677553001	38.9355475084191	-7.17330637990167	1.63205962389959	-0.0365597292106188	-0.126726446720377	-0.24419783916055	-1.22574730970947	0.876602964220326	-0.197892879099957	0.50896239679101	0.537232980680197	-2.0916576922791	0.59803141081405	1.2175368589987	-0.577933717457775	0.0786510070990074	0.094681513211438	-0.219762647378332	0.309295716377724	-0.0961731853573406	0.108709820321471	0.10333769755424	-4.30623228510781	0.629212800561149	2.43558502960664	1.7261003016007	0.194340190718292	-0.191766501855357	-0.443238661911931	0.928291105773652	0.278000957162972	0.503250376041426	0.249134270978729	-0.550771478383	0.154894125410095	-0.117548480978299	-0.129330986356527	-0.0377618090727398	0.163957706031109	0.79317350010806	-0.375298625195624	130.815737908459	-40.4788019131872	3.62462094089374	-29.0605587642595	9.06081401041268	37.5634724693177	-3.35678380782683	-9.27972132966777	0.888748472327869	-4.60515171685481	9.46054772263506	2.46543838444953	-1.53289147661899	1.28644532487325	4.12708596996602	-3.33949874515167	-3.65491762752722	-1.78314409045732	2.31634364663252	-2.46769847075136	3.19371483067003	1.71240504577616	2.0756823134527	-3.80304081315965	-1.72557479074297	2.30252241845222	1.7969672881802	0.525325893761962	-0.0532830576476692	-2.32832849749423	1.10202938166702
2	Nocardicin B	-6.13023644577388	6.13799493774886	2.05065950585619	-0.86703431517492	1.18338956298036	-0.0735590284790089	-0.583547096684896	27.1583781586825	-2.31162547118663	-1.7692639745404	-6.57376968585736	0.921180357872292	7.07838598758395	-2.92328117262349	-1.90547084862247	1.0723967771892	0.820636163351391	0.950087588462331	-1.25999460197531	-0.0711397184342717	0.942388363667484	-0.311087333693701	0.139144412298977	-1.12417250583038	0.515232980809764	0.894835110928996	-0.746347084930911	0.264858522275098	0.288032429877214	-0.0353069638628227	0.338503789634504	-0.666884673675978	0.154364744904644	0.359382953441165	-0.196345017937436	0.135318087710688	-0.278207341492497	0.0681588264726566	24.1808916479428	-2.43063503515705	-5.51891138570774	0.663590952417709	-1.97998427088771	-1.31984614821589	0.92705483007869	-1.04721123224284	-0.143546881662307	-1.19648732659075	0.693933539475318	0.890762366156314	-0.663873854600965	0.174744973492696	-0.375019304597508	0.0538967129634698	0.226776745488193	-0.23110135256559	0.0186363853934661	1843.28431214003	46.4123213149214	-9.2933544980312	-3.55125572402778	0.14194647321282	-0.704605096312527	1.331343343272	0.493653983976572	-1.78245046836473	-0.396196813978772	0.802194572145971	0.423965305485841	-2.34335008757035	1.0162517156712	1.80751691231449	-0.926072761798735	0.62710668086055	-0.555847324968187	-0.717970300158447	-0.483574999708204	-0.0386918749537635	0.308149270344394	-0.0541942459123562	-2.85825247466556	-0.352684553894128	0.327327084802117	4.3637256189075	-1.15984818737931	0.786267818832528	0.911605594140184	-0.77879197763417	0.860443639774482	0.77192230745359	0.00612289796879149	-0.347244068952261	-0.245289684336927	-0.0161618195059706	0.522092715314501	0.0851005134464208	0.0543270536165604	4.93242696000217	0.571318525007127	164.119968327489	-8.87313755984463	2.7784388428379	-36.3061824997303	-22.5303562600811	39.5733359903743	1.34623887191538	-8.4642718818118	11.6081486321221	-0.920571701422585	1.13672015385185	1.01910494141277	-0.889920871161642	0.503897232820692	2.85750945547061	-2.24017438933091	-6.77238124727968	0.861830752830608	5.67549067359405	-3.24490828296309	4.10805345187333	-0.469332552185916	-3.85452680966901	3.42006957492457	-5.99492783796628	1.96213280753322	2.53530390375446	-2.59592459124651	1.45097138865371	-0.820442213110401	-1.23834882923697
3	BL-S217	-5.74976428182769	2.97336757644726	0.867529316839731	-0.596889691263911	0.347211799903614	0.00966013651481178	-0.364378023724068	26.0630036006386	-5.38846302390044	-2.1372385886565	-5.88130263353335	3.01131547730058	2.10021582118078	-0.77531602881352	-0.528612273754489	-0.493677061426964	0.331973063098041	1.74534591417315	-0.359771441263374	-0.884166518612636	0.805461895602196	-0.16747221518598	0.0359518215183879	-0.343243125766348	0.314340777825814	0.594090819373282	-0.658715940903781	0.22448671668955	0.141470419308778	-0.47646144268891	-0.133286541563141	-0.00394722569077697	-0.141139658755615	-0.0792936612721593	0.114215275864329	0.22956211895167	-0.11055907010877	-0.442708683168294	23.1021752370668	-3.1206099909638	-4.5236874631451	1.08707313317262	-0.452592165564569	-0.336849169476398	0.131200069206323	-0.392684664478652	-0.181370001570448	-0.462779710522345	0.423692633922873	0.676683496991321	-0.54963857564234	0.0879807200237884	0.0517840529051559	-0.0701607913293547	-0.132761469587757	-0.0674711827821196	-0.26291658357157	1198.78105071	42.1384889560919	-7.20874765028754	-1.46403248428937	1.08519478885593	0.588359152363976	-1.31695134778789	-0.225507554569674	-0.690983971853492	0.224848819014678	0.133111743597941	-0.240322346175165	-1.36537584645395	1.19886617294945	1.36663290086629	-0.944384934468139	-0.157073325901441	-0.261199793584758	-0.654367678016361	0.324235324831024	0.249367084969601	0.375607724675635	-0.102808207005843	-3.50895878705349	-1.15261597852374	0.78130449501832	1.1554371342964	0.0343530014525085	-0.316042429141502	-0.098673811615268	0.128506466450936	0.0908870486417723	0.658590274227162	-0.211752599256264	-0.394411839566054	-0.117183857461741	-0.315040712799894	0.13274568570141	0.172063442488577	0.230612438052576	0.58708204234463	-0.560486625898669	111.826546793478	-33.56193697703	5.69753512391096	-32.5285137404458	3.64345143007474	21.7812660351257	-0.593395394321943	-2.01658103669023	-0.116537953227755	-2.77644057867482	5.14877026839926	0.91402650234627	-2.58292058419517	-2.80748905972785	-0.905806329886403	2.44309606811331	-0.319939315909381	3.00185365627412	2.01668376837241	-2.07780426452195	0.769607530947856	0.36609044567	-3.49291862809884	-1.65946102895937	-1.66079161288681	0.150276262696642	1.40215636345884	-0.151404907651121	1.10104613354693	-1.12623284913672	0.394902861322579
4	Nocardicin B	-5.68629160624734	6.40766790276672	2.21454003554333	-0.828660424581024	0.676948709436145	-0.0500213400290584	-0.692963917368708	28.0918303705287	-2.33800610449325	-2.09503459097848	-6.36590930986683	0.667035687026843	7.49093085867852	-3.26884447555303	-1.97064524021821	0.913102353000412	0.843589345834548	1.06557999946513	-1.18164501542341	0.0723623288919167	1.06713419655756	-0.324588672639529	0.238291713327619	-0.939678900924178	0.787340500355201	0.772082963447623	-1.00260227939667	0.184320841457633	0.219679586220198	-0.0106955462170116	0.0957734618278468	-0.599193215231712	0.200810407048416	0.373896487388735	-0.276751725043401	0.274601267980836	-0.292434880474929	0.0716986784882784	25.2223323760622	-2.49258460850839	-5.38676304918423	0.367057770019838	-2.10122356403651	-1.43933866295645	0.893764665583581	-1.0286459565115	-0.135170114944131	-1.04388743072159	0.81094846397431	0.876126016655631	-0.799721616259809	0.0546453913079712	-0.374936947316419	0.0643217504628865	0.221204054548048	-0.282070848261874	0.109688120074129	1843.28431214003	49.3293625813288	-8.77202816828469	-4.38615591461974	0.144356602090705	-0.942865973510973	1.20889014624269	0.275828500080166	-1.62012585699006	-0.558782554532004	1.0240345361623	0.0255231821313533	-2.17250704201438	1.56430683274772	1.72609071561795	-1.28983186929269	0.240750763125145	-0.637759305184991	-0.564001249792176	-0.471421514079059	0.000334603016300033	0.300258863376029	0.303566063028589	-2.93364497699923	-0.39579138964559	0.0104758164411794	4.39010454304602	-1.29088292385046	0.737996349328967	0.84351101242621	-0.580738021940443	0.926502656102467	0.821377003174936	-0.0498228990104712	-0.355583141990308	-0.242428024387863	0.0485969702694753	0.309434443831425	0.158185567470994	0.0660295540921056	4.79286125061352	0.47926349163979	172.976679184857	-7.48880391019114	-3.69720135176049	-34.5780132579984	-27.0206374726513	47.4256759211999	-4.07234717599344	-8.11535162846253	7.15206547287671	-0.409381139608891	1.42055792763131	0.93148189737994	3.60485722150968	0.798072104743597	0.878901943999816	-1.0360280184952	-3.9948819242526	4.68678944459449	3.46307780693084	-6.38380293315619	3.30798052689327	-0.836470742915744	-2.59249120808558	0.823856664457353	-4.30666484912212	2.32406215385092	2.08338959344217	-3.15695158884117	2.41565641031028	-0.684982943596467	-0.463957697012635
5	Ceftazidime	-7.0506555429981	4.83237584103736	0.803639507014417	-1.57411590549875	0.313893585249163	0.449200498426144	-0.472837867257993	27.5488881161197	-7.49035887655389	0.578552393498925	-6.7899073107386	3.4279109570432	4.28882769933238	-2.3943577514307	-0.252120899618861	-0.420046661688522	-0.0902325370502186	1.66284386877524	-1.00346132244988	-0.444875059489131	-0.111996932276107	0.604492582596697	-0.200558677448293	-0.755335127078035	0.0140022795270295	0.365873103889406	-0.794856280749525	0.309700957708734	0.287297415746358	-0.360597071358229	-0.451102425264426	0.00860900495488469	0.240232375757685	0.109704234202242	-0.0856579817462338	0.220276137952571	-0.16379586504275	-0.45072704551232	24.5853467587075	-4.1760033489272	-4.95891032695368	1.45748616425852	-1.51466702339532	-0.233815217849599	-0.0481099701742028	-0.639375452474939	-0.43427290961768	-0.722160039136744	0.403393073541796	0.349870551100177	-0.374605344764037	0.1648647541541	0.234159268608119	0.224862186988898	-0.168165588230351	-0.0750643984018359	-0.241046288307088	1779.24366595002	45.6217643208041	-8.77954239878645	-1.03830950251035	0.142276252836201	0.388762252205313	-0.490242867850611	-0.619130475708119	-0.760154054738712	0.688720791670036	-0.147485643431346	0.902112545738483	-1.76306931050038	0.9277718168424	1.14828588642488	-0.761698958052783	0.171668749311805	-0.690641923899222	-0.420863635460206	0.629603140912844	0.0946413889930198	0.781394369192733	-0.203624698757137	-4.26503007603975	0.295697638964648	1.24005295776959	2.83553221049679	0.171328460139759	0.165744863464158	-0.274133350560657	0.0568303163433896	0.413169758295391	0.0225006954029725	0.272413476464026	-0.606927312550806	-0.144985008816533	-0.264920425728563	0.0597189579506949	0.149411265559734	0.381569981833153	3.65880981044254	-0.43310327452189	139.297604378747	-36.8727204802533	18.4993390997473	-48.1211564884125	-8.37535224088585	27.878290045787	3.82842523786851	-3.45702335061101	-3.4576414865122	-5.59617691999205	3.35755523766946	3.78630372641916	-2.52636602963723	-2.50854510006524	7.20596079256848	-5.31546495043932	-3.03614912129572	1.17495448944623	-1.87237895454732	-3.66640257061438	4.01916719372027	-2.8430616979639	-1.54265349298199	-1.54242459508055	-0.709501593955737	2.40877927438511	1.09847266518463	-1.64686065729942	1.58461343047404	-1.42598290816305	-0.457652116393657
6	Cefoperazone	-6.70375405221733	4.42849542470993	1.50866437500905	-1.23238052161039	0.476345387437676	0.0157095827727306	-0.574757519179572	45.0793747825923	-6.20719867254896	-1.8440289435273	-7.33211027252443	1.75010186013719	5.75718359556534	-2.4242217746531	-2.1698844711548	-0.273113375680139	0.235153115766959	1.7741644342496	-1.29946191633444	-1.22339321924913	0.915040570109519	-0.0180980615749003	-0.00794839108827955	-1.4491417368539	0.994563330973081	0.113272098164894	-0.688363449433017	0.570059522692315	-0.126784341503298	0.326236355244126	-0.372172985984986	-0.0620737857882044	0.0779265141058325	-0.632086032787827	-0.0146283940098852	0.330997422398988	-0.0762705468541233	-0.178420987424493	34.8151845743727	-3.4189047311704	-6.53862525813258	0.530269321193523	-1.27678614998986	-1.09576538996758	0.446428178237306	-1.12588789550946	-0.248863271043129	-1.26153731051569	0.96456644341512	0.269959336509091	-0.472412845550826	0.329384558225521	0.0879829416554024	0.075336911369127	-0.445376810668349	-0.199417335851071	-0.0910180641554672	2604.20802976	56.2692188959562	-11.2564790255918	-4.18130143140157	1.20348784806606	-0.991617610925796	-0.628091243366529	-0.839412549320582	-0.456785053863905	-0.25948971035244	-0.314825075763653	-0.122369707582646	-2.74900439506896	1.68781736576219	1.23408584752763	-0.753474682652513	0.389475894385836	-0.976798883172753	0.018345705321538	0.560645998405214	0.108642189406378	0.561781813300637	-0.131367258690318	-3.78469794945864	-0.150134276652042	0.343780842722892	2.90426881735282	-0.562766526323355	-0.11290413878717	0.209627184245241	-0.0564184698668913	0.50640742749398	0.278979913363646	-0.358564340362652	-0.488855576344188	-0.454953500088982	0.0933359500104318	0.143498334208543	0.189161887255323	0.27651274065025	5.6208628389683	-0.920921373691269	178.380069202233	-24.3453419522784	22.1217041890238	-50.5047457785448	-18.0970200842886	34.8278065073896	-3.61224824778542	-10.3280149118203	-2.66407859051825	-11.0768765083526	7.9929805078947	1.17055865543834	-4.34173287236901	1.81465424862564	-1.56623805659969	-2.35901621644176	-6.38539736549048	1.83366431366571	0.693229400810589	-1.17312312566606	4.69377314884799	-0.680594320251025	-0.0282656864431655	-1.42179742984958	-2.37325546121778	1.06249198935474	-3.00854357414319	0.724067023677101	-0.144567779098292	-1.30883017322959	-0.740450930133528
7	SCE-796	-6.85200348067051	6.35779723093898	2.04029485560078	-1.51518998694612	0.620338761685059	0.195067126160291	-0.398880934177164	29.2305705926552	-5.46981168994812	-2.5483412119024	-6.06939210317257	1.50586383270885	5.5736820194986	-1.60096945778084	-1.58087576430169	0.0546520180825004	0.966003875136785	1.42950960448348	-1.42674809534685	0.130504839738295	0.844041383566181	0.156173978678147	-0.14067465123161	-0.933663487311557	1.05406166930632	0.0659702172937254	-0.249019972452976	0.352787601932547	-0.130959044234992	-0.13274373797088	-0.147923400331921	0.113230248852883	-0.00899390108792221	0.191116424571927	-0.0821804004393309	0.11267843081739	-0.361449109857199	-0.130068549308238	27.6236280875378	-3.82799696120848	-5.26903182975669	0.653735336631772	-1.42031252160032	-0.903824388835027	1.12890333896698	-1.04024756031032	-0.477319043757403	-0.969336857271559	0.949522909639896	0.431110941537344	-0.408299526040437	0.163678971692412	0.0925646044760544	-0.0428084661574323	0.0415023774834053	-0.0352760353194208	-0.153820223232563	1533.13709567001	45.4341318751836	-6.78041914947761	-3.95024239550302	0.0925606655773121	-0.603623314112121	-0.075873867034887	0.999265240949701	-1.55734664880365	-0.0699053531900241	-0.173819179115444	0.449411337646472	-2.11056505830109	1.49826195954354	1.11930844850947	-0.903293396395173	0.406104185211267	-1.27106213776314	-0.298258598336645	0.0732997888763241	-0.33485767409108	0.390307291077649	-0.0178110294427026	-3.92927972135825	-1.03629461336963	0.316107817968728	3.71013622740283	-0.54271115171001	-0.174871734967883	1.05171177215145	-0.514836591672882	1.14402557483875	0.381187833187883	0.245487530065879	-0.772032975658397	-0.525469979610713	-0.00849587999635519	0.124262819071035	0.0118921006620504	0.12829110442143	1.90759326677	-0.130227609504802	192.028906283298	-41.9123675648016	-1.97567488448586	-22.3350872621537	-24.312534831987	43.9413019131277	-1.06095441968099	-10.9605219588387	6.43025676954354	1.54749632326486	0.248876988869414	-0.831934221110668	-3.05633733738986	-1.35004415997429	1.51991530073264	-2.09803925097566	-7.37092009331267	7.44793742851956	-3.86877632858981	1.40590255959158	2.9420546200072	-3.46136587123862	-2.30613984261493	1.57071741567274	-2.37918646711175	2.53551674087706	1.64470394430001	-1.93726798544964	-1.32577541340726	-1.5135737911574	0.505196702321844
8	Imipenem	-2.97861046820038	1.78039960025858	0.978017092088028	-0.650689460008946	0.0579487878354506	-0.0238853037951365	-0.818987097675591	15.753782201535	-1.08333123250078	-1.80136459638328	-2.75545295993607	0.362000535906816	2.06471791280694	-1.13229183624975	-0.122766517971297	-0.215200493624138	0.556556023048472	-0.0112741974282078	-0.0835545838027425	-0.452606315156303	0.587025152849694	-0.349426195768966	0.10005744878538	-0.204095149560673	0.491055600476676	0.0122956793453947	-0.141320817482088	0.0593583087884959	0.272454435741215	-0.289443143266192	-0.233859993713116	0.403492436980668	-0.042088402311899	-0.128639815692539	-0.189094197088372	-0.164120433620258	0.339505507401787	-0.396886645644414	15.819112443211	-0.933334701692749	-2.54557009480227	-0.0878665293909066	-0.413690713013354	-0.275016135234453	0.33347590103445	0.0252742337771733	-0.155555855861228	-0.164632608751051	0.467933330110761	0.0570398690818808	-0.0951980984230006	0.0342376748579462	0.417613706458899	-0.0315195268602455	-0.0920748453891307	-0.309790931554816	-0.217796092331926	697.642702620006	34.2284569053873	-5.39116639208473	-2.79780071219568	1.66497105405071	-0.11412114651719	0.464073627554838	-0.725401711692813	-1.60556013211464	0.485043532653715	0.313398329560835	0.11612906788168	-0.893985205493263	0.852756125917595	0.664649737468002	-0.0212065371983455	-0.312456009209477	0.104484530276118	-0.47435306793815	0.740638533931762	0.0513177885649668	0.721565489332651	-0.185179417048685	-1.37046094200769	-0.486153359505736	-0.0700561533940009	0.96024333415853	-0.185727184898022	0.00232453087817453	0.149571346057165	-0.794619022417059	0.378785867657161	0.313287247196444	-0.112586776518185	-0.283304656572386	0.0544252839946535	-0.254052547338292	-0.0456091042102652	0.0557049096651243	0.420852525824381	1.34719573543999	-0.0852110170686204	96.6891563273241	-8.33005467626256	-0.309267121847253	-13.4971914805048	-15.8562004670812	19.0515324559802	0.237597931595625	0.978662441588837	3.60956698956304	-2.26761944881147	-1.75186109024909	2.19661308675919	-1.94539639208727	2.24206677283874	-1.58709504267643	0.0307666121787688	-2.18420181963133	2.87431209914985	-1.17083211740605	1.23471591083469	-1.26605660521817	1.49134409765911	-1.76471210770553	-1.24824961835694	0.628368550834255	0.116851054829138	0.348702055879012	-1.33412439758922	-0.919776117831296	1.86976232927856	-1.56284674461351
9	Ceftazidime	-6.13712567555699	3.9963304646289	0.923010378822777	-1.24971502755371	0.129899725687964	0.144827575902289	-0.758370843495599	28.1308054191013	-7.58048585718821	0.457077149483335	-5.68369203771029	3.74291416562498	3.71531156980789	-2.42665320786195	-0.946311515484068	-0.24549009152489	0.263977084833066	2.0671528474635	-1.56875741001806	-0.57807550867348	0.322526762185914	0.761810828482694	0.169981402100037	-0.559729372892897	0.308586304902371	0.318672584342412	-0.757175342727125	0.513289335651356	0.232233432426716	-0.0322247864535576	-0.511479688179377	0.0566761685900706	0.0535589226366982	-0.105644246790427	-0.114641153313502	0.10406468805804	-0.113796049907346	-0.255220033423195	24.3398277307009	-4.04192127778254	-4.50244111273807	1.6107533940712	-1.41963818840435	-0.50461788515293	0.263840580418762	-0.970623243368968	-0.150658263643298	-0.636338858711874	0.492697198932302	0.318922230441245	-0.449776424340867	0.419907087365472	0.165566273901195	0.0851041446738664	-0.21028241331556	-0.214303279504194	-0.135220303134329	1779.24366595002	43.8230796289259	-8.76081041559022	-1.51362394996598	0.686946298373355	-0.360981402112322	-0.673567412323793	-0.619918025105172	-0.496629256333855	-0.231649723716727	0.169546719127149	0.999982872291781	-1.45557599853483	1.08791360735694	1.31328642594555	-0.819155838516534	0.678334246421715	-0.615126808675307	-0.199148736882698	0.327421157285938	-0.192352646738089	0.381443843545147	-0.0656826919810549	-4.27372297632874	0.578343285813113	1.40589051121366	2.26068302317058	-0.190259762648066	0.173672199640597	-0.0268010181312448	0.148418200867018	0.374788664414804	0.335922712903201	0.476153904024181	-0.348802880859043	-0.243677661764799	-0.245565335985005	-0.0506349652190628	0.116106288484323	0.25577091844205	3.52258656668226	-0.545140657082163	141.741650887107	-29.2315666042421	15.8230450779345	-44.6150677523283	-9.68090288235785	27.8059923544396	4.5442375339411	-6.95169824013242	-4.15510009750073	-7.50916929776422	6.06256570829469	-0.596408429729086	-3.95006650409315	-2.64368454287791	3.60291153649524	-5.19740226812922	0.389763257246775	-0.27973463868206	3.67244184351363	-2.93996143850305	5.39719354770728	-2.86148681233186	2.54191076753709	-1.52030047872705	-1.04974510859789	0.954369128633907	-1.963545024779	-2.46895201761655	-0.674856176812223	-1.2745065483922	-1.35785321737379
10	Ceftazidime	-4.85377942613854	5.11489581334117	1.34299123951926	-1.4655170411818	0.220848032599058	0.487287316786743	-0.556282389212761	34.8934472534573	-7.70834075974031	-0.836509463957304	-6.78031646991546	2.96295026678169	4.22783909429661	-1.46435416042201	-0.546748746380283	-0.08582423773845	0.594290923464764	0.594374321948926	-0.718107726109504	-0.237154081444995	1.53390871138606	-0.0491977303249805	0.0575468298825735	-1.02482785324483	0.129760764432303	0.387736431189848	-0.494960642311283	0.295792152246612	0.327488746810857	-0.0424977443990958	-0.0696066456676323	-0.307578951353232	0.267134616108978	-0.318805091866355	0.543003972267529	0.16961264078274	0.110676816620636	-0.228786243059627	29.7692268415565	-3.56829721553884	-5.5426833542959	1.1860395681322	-1.23849348429796	-0.140758627768027	0.539164923360724	-0.583185883351444	-0.36100841223164	-0.717093317093711	0.428098599553517	0.302970442789322	-0.200194676138199	0.106883775244361	0.140548358192658	0.132975961911351	-0.231364878938512	0.0762268844763543	-0.126315326622404	1779.24366595002	52.7270756176045	-10.1510074779402	-1.96941719136831	0.257254870493747	0.28232027853228	0.176223000796039	-0.426784472794328	-1.33701745401685	0.619299407229684	0.659902304542079	0.547097213795199	-1.62086483317151	0.925531355891444	1.22115586369242	-0.224086975633722	-0.0552009411311513	-0.327950314214361	-0.331240016911025	0.445728289944378	0.165279103949351	0.519264250178236	0.0632825230805456	-3.40775101390944	-0.670906990412016	0.942186938190863	2.7503328838943	0.446589267302148	0.26767204680791	0.245105266339336	-0.546593102014551	0.664004962087489	0.743970014831384	0.0595356865802353	-0.643082716645928	-0.107639125366137	-0.0891460323415264	0.190605976195272	0.2145632628719	0.336011400487422	1.45511323599985	-0.488961185853979	163.564751555641	-33.5537934261902	20.4797954208213	-47.3921704530545	-11.1553530119402	36.4900945379232	3.18389864164976	-12.5928542357913	0.866689654930618	-1.91995005263286	-0.113571406274	3.18499991049677	-2.79129984037727	3.06330045768848	1.58474642277277	-0.60627815813235	-5.19253297475578	2.04136989900177	1.49369547001025	-0.850381026612144	2.24636100547674	1.93619952240896	-1.98148033433104	0.743148373433905	-3.39044673411566	5.70468652070525	-0.502027355094594	-0.424418027125963	1.25901273461494	0.324108226638914	-0.540594868762912
