No.	NAME	RDF020u	RDF065u	RDF095u	RDF015m	RDF020m	RDF025m	RDF030m	RDF035m	RDF040m	RDF045m	RDF050m	RDF055m	RDF060m	RDF065m	RDF070m	RDF075m	RDF080m	RDF085m	RDF090m	RDF095m	RDF100m	RDF105m	RDF115m	RDF120m	RDF125m	RDF130m	RDF140m	RDF145m	RDF150m	RDF155m	RDF010v	RDF030v	RDF040v	RDF045v	RDF050v	RDF055v	RDF060v	RDF070v	RDF075v	RDF085v	RDF100v	RDF110v	RDF135v	RDF150v	RDF155v	RDF025e	RDF030e	RDF040e	RDF045e	RDF050e	RDF055e	RDF060e	RDF070e	RDF075e	RDF080e	RDF090e	RDF105e	RDF115e	RDF120e	RDF130e	RDF140e	RDF145e	RDF020p	RDF030p	RDF035p	RDF080p	RDF090p	RDF095p	RDF015i	RDF035i	RDF085i	RDF100i	RDF110i	RDF125i	RDF135i	RDF150i	RDF155i	RDF010s	RDF015s	RDF020s	RDF025s	RDF030s	RDF035s	RDF040s	RDF045s	RDF050s	RDF055s	RDF060s	RDF065s	RDF070s	RDF075s	RDF080s	RDF085s	RDF090s	RDF095s	RDF100s	RDF105s	RDF110s	RDF115s	RDF120s	RDF125s	RDF130s	RDF135s	RDF140s	RDF145s	RDF150s	RDF155s
1	Ceftriaxone	8.32394718212424	28.6326754264027	11.5686522595764	14.8671785166234	2.43055584785254	28.4906740956159	22.1271605264746	11.4668419457844	21.6785121815144	14.8914754273933	24.6342955943286	32.0627902077747	8.23135862655907	24.0934749066489	14.2593597085058	13.0981488351955	9.55709527979034	11.5074096575611	11.6890765547786	9.74188957916198	3.00296443191378	16.0696679423374	7.46581639713632	6.08601813383539	7.19395920501668	8.69371969158966	7.51021852610852	2.67640528053066	1.66968665700209	6.29281071799031	2.16081710118715	13.0449385437437	12.8615870834518	10.08551335655	11.7921888570725	16.9760855928537	6.71799497686478	11.6900808504493	9.84892851427102	7.53972410692278	2.61249661209481	4.49678533590593	5.32791292735955	1.02986946318092	2.47770996114023	36.0428791333144	26.1486667593107	25.193955294938	20.4764848554289	29.2951814137192	38.6295723119543	17.211855474562	24.332543768447	20.6873978366311	21.417235946403	15.9994511204605	17.1938599157348	15.6488346735713	10.3959421114524	14.1560752159839	7.74537952801334	4.88064871511768	3.23823305575484	14.1960145569723	6.91575019492136	7.25015964719632	8.5194850821808	6.71284752248252	15.6682438251061	23.766500802919	19.972613545865	12.2293604540747	15.1085936412236	15.3280498032928	11.5737816556334	1.460259945459	5.07775187739446	20.9736353082878	47.9202674939256	18.9751997437442	133.857112632608	139.164999432172	101.883928229162	128.207124415804	76.4215402022181	113.424211817184	191.363304118797	76.2548248756651	140.78770244081	94.5852779213563	63.0134103213191	102.545759692688	94.6881025116586	53.7474919491079	36.6948735817374	36.8377584835635	100.754626257209	47.950783464014	75.2649688920999	82.7637523146147	44.3157989580028	82.3070472486387	48.1733818732635	73.3891387776811	27.0595378538873	4.04856380968569	35.1705909493989
2	Nocardicin B	10.7845901223989	38.5201266660099	22.6449945700284	20.2838465943327	1.9082250237683	32.8026296112474	12.1975173443652	13.4171246602157	7.1998789001137	15.7632603331783	14.4342814152727	9.51644183504181	10.9187503183641	19.2204174507828	14.4735662680092	15.4534405641825	11.1366932358493	12.9004744834841	8.08430443607634	11.6871868417551	5.16378168102023	12.9181856172019	8.18345832629739	6.86652888005841	10.40927268762	5.19483512924973	1.03339773787245	1.45149910210035	0.0130158169359369	0.111902170527103	3.27369511857941	9.73608487349782	8.78418107526166	14.1655817271552	13.8836264936779	10.0517723269163	10.2818217028046	11.3023712907384	10.8824467211687	11.8611261831875	6.24136229825432	4.34235777992953	2.8164366907759	0.0999729202209189	0.188051055172705	47.2294559380088	28.9019074726063	27.5022800683752	32.826638323346	38.2028644471012	24.8313271998693	29.1130422128328	31.9324295466032	23.1862188455216	29.8102493558562	21.2556035802607	22.8300028550602	21.7526436452645	13.1309330299611	11.329327146521	6.01534114563521	3.51731758197214	3.95631798631438	9.77046981056695	11.5314848713347	9.25423130486088	7.5890861838735	9.65789585098279	21.1832965021165	36.6452497512393	38.9018793041099	16.7399607467234	18.649764630538	28.958864461571	9.77765022842835	2.08613468560331	1.45872500777842	35.7120224375267	67.5184383810496	22.9714245495155	169.675712033914	155.715230380837	136.169362690941	93.5826778380244	123.273577450706	136.746927406255	75.2251644655529	126.80177653577	249.426543457112	141.812388401146	126.483168577327	130.12836934059	147.102600565878	75.7535335106407	111.021515475163	40.4428659434545	101.29095545787	48.8431686155303	72.6693701682261	60.211280521106	108.932765239463	46.855190586592	35.8169564679466	19.1828303531202	22.5035409838544	1.49773921849924	6.99152227110201
3	BL-S217	8.61657991643641	19.2440962315424	14.9414561515877	12.9809265134827	2.21998648426796	19.5570362623806	14.6077258862898	6.48425525912996	14.7473762412717	13.8790458495401	9.12338953627065	8.88614325827754	14.7871041013113	14.0042051999542	11.0330426708467	14.7955866692602	14.6067597130436	4.99780954907712	8.72683465230502	4.64763854521279	8.75130069039431	3.28372335556215	2.43249924797576	3.2995623036961	1.309940378141	1.89399379360639	0.0325193580994149	0.1695620486807	0.0000995191505114226	0.00605854061196445	2.38467707320252	9.20460025975143	9.70234979703151	9.34043095844792	8.96235362318887	7.91939733498456	9.99183263127185	8.33834395362967	12.0151955324563	4.32059849251774	7.08811335463291	4.88491911332705	1.81997529979396	0.000976216646392066	0.0594302521770307	34.1008506410261	20.7388898724082	24.2333697255884	23.7871024426025	23.6501563685868	22.5176349648599	19.6307317146671	20.0481610201863	24.4756753535068	23.3165566867644	17.1083357249389	6.6905062848006	6.07477377823639	11.5839992660709	3.55136731096859	1.49477965132129	3.1839199256913	3.05962432422531	9.58301897205168	5.47203614942888	11.9983652069983	8.18878227929836	4.72716012893335	13.3532175080086	15.5206085920402	15.827312363127	15.6803782301182	12.911977928143	5.28281915359221	5.81184486782915	0.0205192213319348	1.24917199858285	17.3012244279967	37.8321605611679	18.8054430512748	112.519466800861	131.311047063778	49.4908361487658	127.771365192726	73.7579743361742	76.0451991438455	75.7633758707041	69.729193749317	89.345789054247	76.7923561725215	71.4857535253537	108.889575651241	50.4606545464135	63.2577851028834	80.7009082046103	45.7267455738916	27.8426392621611	41.4591305074377	31.0981030228056	40.7283487816778	13.4390904427567	6.81546441693599	12.7918775619262	1.76843729143676	5.35566756418567	0.0140706664313281	0.856595979810635
4	Nocardicin B	10.6808585467389	35.4363724582238	23.6954748118336	20.2363992571431	1.88823738540201	33.1324885838972	11.2279396062738	16.3814320214964	7.85583354115348	15.5845592649769	16.7558603808148	10.1732698279107	11.9521424306548	17.2169138131362	16.6980677024396	15.4093481610394	10.5618454685559	11.7475574809422	9.52692391898209	11.7054629192544	7.20130234546628	10.2595377258032	8.66161026666954	10.5682522346606	4.81550495147695	8.43050941525657	4.45410684917197	0.676978756486215	0.247887671866736	0.0250474360182845	3.27186675722555	9.74677593501516	8.91315161699541	14.2719047822362	15.2911773660388	9.74540254465821	10.9658229641725	13.0411399041071	10.1920800914216	10.569823438085	6.93351051180871	8.26376222095785	3.29273182942418	0.485525920690948	0.163881316616206	47.820559390129	28.9528394849609	28.4276465103545	33.2348957348139	39.7317547672647	23.1380372302485	32.1397774528252	31.8291628684336	21.9933417161082	31.8719899506965	15.9292429013228	18.7662415704776	16.9126536518972	19.4745321882945	16.0834987608867	11.1722938980948	5.18193975087958	3.91901169356176	10.0959336801517	12.1006969542717	10.1030981802503	6.64489658595783	9.03734969289002	21.1349664250854	37.3085278152805	34.5375293105214	20.8997304037689	21.5936235787701	15.9037072794114	11.2613793624261	3.16405299882149	3.39943132551052	35.4422077965074	67.4187601896172	23.1017919294459	171.99196540887	145.362656012049	187.455702277665	107.749584509879	123.725009682291	146.79746001519	76.4979119597816	156.910439364173	186.698133953337	137.546196737192	148.572513518855	126.975659821114	112.682058541281	76.8466495978082	113.765924019107	67.0777629860417	84.6870756957603	75.0564009991576	49.7513925863666	98.703285666169	52.4313748491762	131.260212178179	28.9334323238128	59.9372853551856	15.4835923156253	10.8304234765811	2.53005752346874
5	Ceftazidime	7.10309510873483	37.2722728556238	18.1151295350217	17.1097690194409	1.70698853311691	34.3217324669727	19.9811863372282	16.9119870448961	18.5674410355006	15.9954105048711	20.4803464566755	22.3370619209855	17.5240737777926	23.7154649643499	17.4101913681597	18.900632786113	20.1021634748354	14.6745617321719	18.6421468562265	10.458448964836	6.90592112666018	8.53456333312739	3.60047083103329	5.93453458554172	6.74915017077098	3.85681290963286	3.37442871150913	2.8529288812939	1.67560694301035	1.03391646669854	2.85248877388984	12.0722921181106	10.8286971299843	11.6215396817081	15.9090252599294	13.8689735562413	12.6841255213995	11.8293378731321	13.1532272547522	11.5183892276335	6.25123600203975	6.25128013783452	1.85581985047756	2.03552622780983	1.81108783742609	44.1192637563746	26.7221945531248	25.2166358855341	25.4303830966955	34.424262532489	32.1257323392721	28.4320255378806	27.6397127858732	26.1079866925754	27.8106664145245	23.6814286833628	20.530563513573	13.1362953945727	15.8717542011363	9.80946203696091	6.96226165766942	8.13125481726381	2.74881752883642	11.4403786953008	14.52754098373	12.9177148771975	10.7340688122843	7.50826269470215	17.6123753639161	37.003646292548	26.4037121830112	17.7492497488752	16.0538340973814	15.8499690412654	7.24697403503428	6.40380950795526	8.52394994848597	26.166294402746	52.1407396663204	14.3471038906443	154.31624147124	168.711344692941	119.324111427693	117.209336523815	106.619496157369	112.581666706053	182.465803174578	133.797591762987	136.465643038096	116.583822456538	109.732777617387	134.039169554946	95.138897965455	112.89101584519	100.543753465788	44.9295132778486	125.064175170064	59.617573553254	42.7314148792333	60.0663487899351	89.190083192315	41.7453889790229	17.261321028209	24.1497368270907	24.2147363976208	17.4429230079776	14.0805349781737
6	Cefoperazone	11.3869256951768	31.3975986203302	32.5919057791949	20.7552834152949	2.73011642817362	38.2684991023242	12.2692137052763	25.8765804058304	17.6952391677605	20.9195709612294	23.0277714468898	19.9174921806986	22.2983726016163	20.5382167540504	30.3879580628516	23.333370525215	32.5612911630672	34.2255563311198	25.8742174408917	16.344411163334	20.2271751723519	14.6508176030429	14.081268117029	12.1528381579427	13.9005640556693	4.20164024664276	1.95452070114457	3.07167959424544	2.62445057207065	0.465924998493855	3.3175474594335	9.6638576103534	13.7408555262965	18.7566053911753	16.5791919480642	12.2142717538734	16.7755561959514	22.4481098120507	17.9137448042898	21.3314878148348	15.5357617337959	9.68332692985029	2.45129178483887	1.54242688401035	0.87495605749576	55.2448425519618	27.0661245968455	37.1842554250621	41.4743744470845	46.1752438739182	29.662031638507	38.4753556736032	55.5532186881582	40.8594284041476	44.6686873464264	46.4662123528474	35.5305213824527	29.2933710324857	23.1139686857982	12.664065131947	5.73930539414754	5.73052224893136	4.12641002235529	10.8966889767273	16.4712351696181	22.8514819678286	21.3747020635761	14.7090815206903	21.8042019117128	47.6448484156029	54.2709124740587	50.5632587678296	27.9975684190404	30.2530906206339	11.5344962946031	4.58300560489503	6.07284489003179	27.6443184424703	59.3142817388242	22.9951913297592	171.209049652009	121.210529417716	218.352118499897	143.497665839211	150.486131540218	198.488058521843	184.526822831678	216.398393247561	166.535089759995	297.07959861821	161.832541780023	222.696394119935	189.888794267385	194.701034688068	152.555992506047	149.576386825907	127.480808890112	88.3816666895102	102.809777749814	80.622406255423	86.6877604466975	44.8699472353543	27.2780751433915	25.8665036850043	19.8263703090423	26.0031068661772	8.64520378798345
7	SCE-796	9.08168121141479	40.1465269721035	15.8508739534119	16.961353947064	1.83780369449523	31.2666096739986	19.0525635670686	19.351192092455	11.9510731652142	25.1304606659888	21.9129777321666	20.8367468025029	23.2514446803986	28.0344008428599	17.0406321899882	16.7307602685274	17.52142805863	14.7165923300808	5.80643808459972	10.7774252806829	4.45253911849419	1.96411899464649	0.0615813009019991	5.23334862838916E-6	0.0000332668427754035	0	0	0	0	0	2.76649742628268	11.8233879220714	11.2202153700174	20.2533630623026	19.3647477610903	17.1281447371885	19.2558207769579	17.7948496959815	15.1695711633649	11.3400202180318	3.7965712281529	0.343018082356663	0	0	0	46.7696732879754	23.6984792089024	26.7361358202489	40.7015035342189	46.0115324730453	34.2768263455125	34.827176046782	38.0154453001433	31.4238437691839	40.0663306444048	18.5057679504366	4.32686930982845	0.877969452843921	0.000656303994572552	0	0	0	3.34033082066279	11.2932664637358	15.0014884460035	15.7648141427806	7.09081113644089	6.01610409963602	17.4904480781355	37.0303226499557	30.8743852644045	18.6530083390411	2.40600553625769	0.00685907896601818	0	0	0	25.148122135538	48.1411190868638	17.3195725935763	158.759441413562	151.265918018428	159.258951942445	88.7987855163715	172.493259724846	207.760576485502	110.803497438756	142.517170680419	208.859055922514	125.071331803608	133.55107397632	171.233932108502	154.405929926617	71.3891163092318	146.806467398584	60.0760841265568	36.8497490586889	9.81717899644059	2.7845307201469	0.000739924956048468	0.00470348316657785	0	0	0	0	0	0
8	Imipenem	8.72164033009225	11.4966019046873	7.09611200990868	10.3475909531097	1.75075111556311	8.42563687677837	5.59618228965978	6.61963894710736	10.3141547083962	9.852615143154	7.92392021718185	5.34942596561935	9.39982898456116	4.96000376021402	7.65052420917962	2.74832589567213	1.16960051094094	1.958922052868	1.13091334779289	2.59509720532254	0.0171635557218548	0.949745488806444	0.00794967544066606	0.107879821089673	0.0000100420112408315	0	0	0	0	0	2.2352070871907	6.05232800865816	7.86005145517388	7.43313449656681	5.42841510450367	5.55812870433851	8.02698814770699	6.10196971590131	3.09441378729032	2.26283660219814	0.0628635128332595	0.58604228231183	0	0	0	15.150618882633	23.6467888592965	18.962527479084	18.4647670218675	18.1289534996469	16.6882105835921	18.3339997627103	16.4125097919005	11.6904767087069	7.64383600274459	4.6927000423139	3.41798965649063	0.993716150554291	1.2057619469672	0	0	0	3.08342024167974	7.68587076142346	6.45973505258129	1.64063393738958	1.6651252216123	2.05451971175059	10.6029101989003	18.395437691975	10.6891984176445	0.826243087193302	2.03424698279106	0.00207049646851275	0	0	0	23.8105180408514	27.3761583672627	22.2808194707505	50.1085440691779	67.7746652502305	59.6701606271346	42.8635502878363	60.098684231824	99.6172375694283	56.9702004281055	63.1860862917082	80.156873984152	69.7344773054091	37.6596342434967	31.8961811918798	29.7507552124652	17.8193579942909	33.0451514076223	0.882783485082051	16.8043575618825	25.1632557791905	1.12112791882171	5.77893354093015	0.00141980410978249	0	0	0	0	0	0
9	Ceftazidime	7.66409391991258	27.1537467868859	19.2578999317862	17.1714400895889	1.77349871647717	33.8895011281862	23.7000058209339	18.4636770286139	16.1082457594126	16.1332423963701	21.0787097255633	13.8742845094283	16.7745329000311	18.6139284904204	12.4449739096534	15.252581973091	16.0670220815554	12.1245504361117	14.0980714756607	9.18315261598283	5.59422168899878	9.68468552680989	7.50283563563935	4.77134521089483	4.52849168822019	4.49319140750503	2.93714176258468	2.96776305761868	3.35608746075157	0.943998222425077	2.84002274307861	14.0250522353663	12.60911387201	11.9671833217742	16.0267442362006	10.2117446895048	12.9272695610779	10.7319911470282	10.8879371051514	10.2039640266235	5.18171571932959	7.15511121071602	2.20675544941743	3.42074575975827	1.17438818124951	43.443008796087	33.0890771720381	29.2823576413425	29.7109032664261	34.2666343541765	29.8442195943992	31.638805437844	31.2294894101484	24.7366063653213	27.703515236222	21.3686209622537	19.2032475960522	16.8048351972548	12.06595775192	8.85213304635111	8.2613777758743	7.34506518139633	2.83066329742485	13.5360027661682	13.8058782358058	11.7573695221976	10.5684559829574	8.81410936685982	17.6417876377938	33.7521598428288	28.9973427544432	16.1722910696045	18.0322826399621	11.909193699257	9.45774372065231	10.3797993936388	4.5574435949151	26.019709399273	51.8909133909346	16.3732002273803	148.031370382662	206.806335953116	122.694278434749	125.267966691753	117.259926243234	128.133564115058	129.339270498376	131.393359602237	104.016180565315	117.612253846457	124.698940128214	135.557698388479	100.731681126331	101.606603832835	91.8505514623484	48.6967497169853	80.4415589801555	71.6976089458819	49.8431876736294	88.3910436738464	27.8906713161482	65.6453417877548	20.3451117687508	22.5164386735217	30.4460341766711	35.515741221252	9.8833139482223
10	Ceftazidime	7.0157632088066	37.9348691038322	32.6685141266311	16.8091024781197	1.86377063100238	32.9884211478832	15.7794915515807	14.0340930580054	18.4578641989465	26.7372701366769	32.684842168371	33.319123236122	21.4592678666978	27.5964541024683	20.3954631034714	24.0628359571546	16.8256502819834	19.1265652937362	19.9933712285862	19.9687891449676	16.4887268679311	11.3265790960074	0.499652430560154	0.176826506729665	0.0141212107450646	0	0	0	0	0	2.83906333706884	10.6285477193062	14.3758274712962	19.6745118661266	23.7246481704281	17.5948253865657	14.6708278599015	16.0354027620055	20.5115221431216	14.9054631505232	10.2079327628913	4.3247943528319	0	0	0	44.9286887270183	27.8769254149177	30.6066534822261	42.0285775909361	46.7698190518014	36.1809831986711	34.8391775625105	39.9450300198147	47.2860066421699	34.0249423022508	34.653758504673	26.6068342129055	5.3861513231239	3.5793239263561	0	0	0	2.81116740288652	10.5402334736118	12.5333058364199	15.1119099710324	14.5832007060112	15.350479099757	17.2885220018621	36.4051335918201	38.9278579156686	35.5135813509172	11.4627233054549	2.91156271604013	0	0	0	26.0430159502424	50.9073370573569	14.5789617231625	163.653328585161	161.286474940939	108.607306650995	116.940124157243	178.781057180382	178.919773288917	196.47243591679	164.038247297992	160.981367545277	188.377662631075	185.084875971333	115.062480123701	143.589204676304	147.991221112746	182.068206215757	136.284124937218	137.986003904463	66.4664458542763	12.390372729205	12.0743204844881	1.99654885433397	0	0	0	0	0	0
