No.	NAME	CATS3D_02_DD	CATS3D_03_DD	CATS3D_04_DD	CATS3D_05_DD	CATS3D_06_DD	CATS3D_07_DD	CATS3D_08_DD	CATS3D_09_DD	CATS3D_10_DD	CATS3D_11_DD	CATS3D_12_DD	CATS3D_13_DD	CATS3D_02_DA	CATS3D_03_DA	CATS3D_04_DA	CATS3D_05_DA	CATS3D_06_DA	CATS3D_07_DA	CATS3D_08_DA	CATS3D_09_DA	CATS3D_10_DA	CATS3D_11_DA	CATS3D_12_DA	CATS3D_13_DA	CATS3D_14_DA	CATS3D_15_DA	CATS3D_16_DA	CATS3D_17_DA	CATS3D_18_DA	CATS3D_19_DA	CATS3D_02_DP	CATS3D_03_DP	CATS3D_04_DP	CATS3D_05_DP	CATS3D_06_DP	CATS3D_07_DP	CATS3D_08_DP	CATS3D_09_DP	CATS3D_10_DP	CATS3D_11_DP	CATS3D_12_DP	CATS3D_14_DP	CATS3D_19_DP	CATS3D_03_DN	CATS3D_04_DN	CATS3D_05_DN	CATS3D_06_DN	CATS3D_07_DN	CATS3D_08_DN	CATS3D_09_DN	CATS3D_10_DN	CATS3D_11_DN	CATS3D_12_DN	CATS3D_13_DN	CATS3D_14_DN	CATS3D_15_DN	CATS3D_16_DN	CATS3D_17_DN	CATS3D_19_DN	CATS3D_02_DL	CATS3D_03_DL	CATS3D_04_DL	CATS3D_05_DL	CATS3D_06_DL	CATS3D_07_DL	CATS3D_08_DL	CATS3D_09_DL	CATS3D_10_DL	CATS3D_11_DL	CATS3D_12_DL	CATS3D_13_DL	CATS3D_15_DL	CATS3D_16_DL	CATS3D_02_AA	CATS3D_03_AA	CATS3D_04_AA	CATS3D_05_AA	CATS3D_06_AA	CATS3D_07_AA	CATS3D_08_AA	CATS3D_09_AA	CATS3D_10_AA	CATS3D_11_AA	CATS3D_12_AA	CATS3D_13_AA	CATS3D_14_AA	CATS3D_15_AA	CATS3D_16_AA	CATS3D_17_AA	CATS3D_02_AP	CATS3D_03_AP	CATS3D_04_AP	CATS3D_05_AP	CATS3D_06_AP	CATS3D_07_AP	CATS3D_08_AP	CATS3D_09_AP	CATS3D_10_AP	CATS3D_11_AP	CATS3D_12_AP	CATS3D_13_AP	CATS3D_14_AP	CATS3D_15_AP	CATS3D_16_AP	CATS3D_17_AP	CATS3D_19_AP	CATS3D_02_AN	CATS3D_03_AN	CATS3D_04_AN	CATS3D_05_AN	CATS3D_06_AN	CATS3D_07_AN	CATS3D_08_AN	CATS3D_09_AN	CATS3D_10_AN	CATS3D_11_AN	CATS3D_12_AN	CATS3D_13_AN	CATS3D_14_AN	CATS3D_15_AN	CATS3D_16_AN	CATS3D_17_AN	CATS3D_02_AL	CATS3D_03_AL	CATS3D_04_AL	CATS3D_05_AL	CATS3D_06_AL	CATS3D_07_AL	CATS3D_08_AL	CATS3D_09_AL	CATS3D_10_AL	CATS3D_11_AL	CATS3D_12_AL	CATS3D_13_AL	CATS3D_14_AL	CATS3D_15_AL	CATS3D_16_AL	CATS3D_17_AL	CATS3D_18_AL	CATS3D_19_AL	CATS3D_04_PP	CATS3D_05_PP	CATS3D_07_PP	CATS3D_08_PP	CATS3D_09_PP	CATS3D_10_PP	CATS3D_12_PP	CATS3D_02_PN	CATS3D_03_PN	CATS3D_04_PN	CATS3D_05_PN	CATS3D_06_PN	CATS3D_07_PN	CATS3D_08_PN	CATS3D_09_PN	CATS3D_10_PN	CATS3D_11_PN	CATS3D_12_PN	CATS3D_13_PN	CATS3D_14_PN	CATS3D_15_PN	CATS3D_16_PN	CATS3D_02_PL	CATS3D_03_PL	CATS3D_04_PL	CATS3D_05_PL	CATS3D_06_PL	CATS3D_07_PL	CATS3D_08_PL	CATS3D_09_PL	CATS3D_10_PL	CATS3D_11_PL	CATS3D_12_PL	CATS3D_13_PL	CATS3D_14_PL	CATS3D_15_PL	CATS3D_16_PL	CATS3D_17_PL	CATS3D_03_NN	CATS3D_04_NN	CATS3D_05_NN	CATS3D_06_NN	CATS3D_07_NN	CATS3D_08_NN	CATS3D_09_NN	CATS3D_10_NN	CATS3D_11_NN	CATS3D_12_NN	CATS3D_13_NN	CATS3D_14_NN	CATS3D_16_NN	CATS3D_02_NL	CATS3D_03_NL	CATS3D_04_NL	CATS3D_05_NL	CATS3D_06_NL	CATS3D_07_NL	CATS3D_08_NL	CATS3D_09_NL	CATS3D_10_NL	CATS3D_11_NL	CATS3D_12_NL	CATS3D_13_NL	CATS3D_14_NL	CATS3D_15_NL	CATS3D_16_NL	CATS3D_02_LL	CATS3D_03_LL	CATS3D_04_LL	CATS3D_05_LL	CATS3D_06_LL	CATS3D_07_LL	CATS3D_08_LL	CATS3D_09_LL	CATS3D_10_LL	CATS3D_11_LL	CATS3D_12_LL	CATS3D_13_LL	CATS3D_14_LL	CATS3D_15_LL	CATS3D_16_LL
296	Cefotaxime	0	0	1	0	0	0	0	0	0	0	0	0	2	4	1	4	2	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	1	1	0	0	0	0	0	0	8	2	7	7	6	2	6	1	2	1	1	1	0	0	0	0	1	0	0	2	2	3	1	1	0	0	0	0	0	0	0	0	0	1	1	2	1	2	0	2	0	0	0	0	0	0	0	0	0	6	2	5	5	5	6	2	5	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	0	0	0	0	0	0
297	Cefuroxime	0	0	0	0	0	0	0	1	0	0	0	0	3	4	2	0	3	2	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	1	0	0	5	7	6	3	8	3	3	4	1	2	1	1	0	0	0	0	2	0	0	0	2	1	0	2	0	1	2	0	0	0	0	0	0	1	1	3	1	0	0	1	2	0	0	0	0	0	0	0	0	5	4	8	5	5	2	4	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0
298	Cefmetazole	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	7	5	4	4	4	6	4	5	3	4	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	0	0	0	1	0	0	0	0	0	0	5	7	4	8	5	3	4	1	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	1	0	0	0	0	0	0
299	Cefacetrile	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	3	7	4	2	5	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	7	4	5	6	2	2	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	0	0	0	0	0	0
300	Aztreonam	0	0	0	1	0	0	0	0	0	0	0	0	3	3	2	3	3	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	1	0	1	0	0	0	0	0	0	11	7	5	8	6	9	3	4	0	1	0	0	0	0	0	0	1	0	0	1	2	3	3	1	0	0	0	0	0	0	0	0	0	4	2	1	1	4	2	1	3	0	1	0	0	0	0	0	0	6	6	7	2	5	6	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0
301	Ceftriaxone	0	0	0	1	0	0	0	0	0	0	0	0	2	4	2	4	1	4	3	0	1	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	1	1	1	0	2	0	0	1	1	0	0	0	0	9	13	12	7	15	8	7	1	4	0	0	0	0	0	0	0	1	0	0	2	0	1	3	0	1	2	3	0	0	0	0	0	0	3	2	3	2	4	3	2	0	3	0	0	0	0	0	0	0	5	4	11	9	7	6	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	2	0	0	0	0	0	0	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0
302	Cephalexin	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	4	3	5	2	0	1	1	0	0	0	0	0	0	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	6	6	6	6	6	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	4	1	0	0	0	0	0	0	0	10	0	1	1	2	5	2	6	2	0	0	0	0	0	0
303	Carbenicillin	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	1	1	0	0	0	0	0	0	0	0	0	4	6	1	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	5	9	9	15	8	7	5	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	4	2	0	2	2	4	2	0	0	0	0	0	0	14	2	1	0	2	2	6	7	3	1	0	0	0	0	0
304	Ceftizoxime	0	0	0	1	0	0	0	0	0	0	0	0	2	4	1	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	7	2	5	5	2	4	0	2	0	0	0	0	0	0	0	0	1	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	4	1	3	6	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
305	Ceftriaxone	0	0	1	0	0	0	0	0	0	0	0	0	3	3	1	4	3	3	2	3	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	2	3	0	0	2	0	0	0	0	0	0	0	0	8	14	7	7	7	6	5	5	3	4	4	3	2	1	0	0	1	0	0	3	2	3	1	1	2	0	0	0	0	0	0	0	0	3	5	1	2	1	3	1	2	0	2	0	1	1	0	0	0	5	4	7	8	8	5	4	3	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	2	0	0	1	0	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0
306	Moxalactam	0	0	0	0	0	1	0	0	0	0	0	0	3	3	1	2	2	2	1	4	3	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	3	3	4	3	1	0	0	0	0	0	1	1	0	0	9	9	7	9	11	8	8	6	5	5	6	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	3	6	4	1	0	0	1	3	1	0	0	0	0	11	11	13	13	12	9	8	5	4	4	6	7	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	2	1	0	1	2	3	2	0	0	0	0	0	0	9	2	0	0	1	0	3	2	4	1	1	0	0	0	0
307	Cephaloridine	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	1	2	0	0	0	0	0	0	2	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	9	9	9	6	4	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	0	0	0	0	0	0	0	0	6	1	3	0	4	3	3	1	0	8	4	0	0	0	0
308	Ceftizoxime	0	0	0	0	1	0	0	0	0	0	0	0	4	3	0	3	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	4	7	4	2	5	2	1	2	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	4	1	4	5	3	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
309	Ceftizoxime	0	0	1	0	0	0	0	0	0	0	0	0	3	3	1	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	6	3	4	3	3	4	2	1	1	0	0	0	0	0	0	0	1	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	4	1	4	4	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
310	Cephalexin	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4	4	2	0	1	1	0	0	0	0	0	0	3	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	12	6	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	0	0	0	0	0	0	0	0	10	0	1	0	0	3	5	6	2	2	0	0	0	0	0
311	Cephalosporin C	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	5	5	6	5	5	4	2	2	2	0	0	0	0	0	0	0	1	1	0	0	3	1	1	0	2	0	0	0	0	0	0	0	0	3	1	1	2	4	2	0	1	1	0	0	0	0	0	0	0	5	6	9	9	4	5	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	2	4	0	0	0	0	0	0	0	0	0	2	0	2	1	1	2	0	0	0	0	0	0	0	0	0
312	Ampicillin	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	5	5	3	1	1	0	2	0	0	0	0	0	0	3	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	11	10	4	7	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	2	2	0	0	0	0	0	0	0	12	0	0	0	0	3	5	7	2	1	0	0	0	0	0
313	Sulbenicillin	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	0	0	0	0	0	0	0	0	7	3	4	2	2	3	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1	0	2	1	1	0	0	0	0	0	0	1	13	12	8	10	7	5	6	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	0	4	0	1	2	2	3	0	0	0	0	0	12	0	0	2	2	3	4	7	0	0	0	0	0	0	0
314	Cefotaxime	0	0	0	1	0	0	0	0	0	0	0	0	2	4	1	2	3	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	7	4	10	2	8	4	3	5	1	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	2	2	0	0	0	0	0	0	0	2	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	6	3	4	4	7	5	3	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	1	1	0	0	0	0	0	0	0
315	Cephalosporin C	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	4	6	6	6	5	2	1	4	1	1	0	0	0	0	0	0	1	1	0	0	3	1	2	0	1	0	0	0	0	0	0	0	0	2	3	1	1	3	2	0	1	1	1	0	0	0	0	0	0	4	8	5	12	3	3	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	2	0	1	4	0	0	0	0	0	0	0	0	2	0	1	2	1	2	0	0	0	0	0	0	0	0	0
316	Ceftriaxone	0	0	0	0	1	0	0	0	0	0	0	0	3	2	3	5	3	4	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	10	13	10	10	12	9	7	4	1	0	0	0	0	0	0	0	1	0	0	3	1	2	0	4	1	1	0	0	0	0	0	0	0	3	2	3	2	5	1	3	2	1	0	0	0	0	0	0	0	5	4	13	7	6	4	5	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	1	0	0	0	0
317	LY097964	0	0	0	0	1	0	0	0	0	0	0	0	4	3	0	3	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	2	1	1	1	0	0	0	0	0	0	3	8	4	2	5	2	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	3	4	5	6	4	2	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0
318	Carbenicillin	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	1	1	0	0	0	0	0	0	0	0	0	3	8	1	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	1	2	0	1	0	0	0	0	0	0	0	0	5	7	13	13	6	9	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	4	2	0	2	3	3	2	0	0	0	0	0	0	14	2	1	0	2	3	6	4	5	1	0	0	0	0	0
319	Cefazolin	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	5	6	4	4	6	4	5	4	3	2	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	2	1	1	0	0	0	0	0	0	0	6	4	7	4	3	6	5	3	5	1	3	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	3	1	1	2	0	2	0	1	0	0	0	0	0	0	0
320	Aztreonam	0	0	0	1	0	0	0	0	0	0	0	0	2	4	1	4	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	1	0	1	0	0	0	0	0	0	11	7	5	7	8	6	5	3	2	0	0	0	0	0	0	0	1	0	0	1	4	4	1	0	0	0	0	0	0	0	0	0	0	4	3	0	2	2	4	1	1	2	0	0	0	0	0	0	0	7	4	7	2	7	5	4	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	3	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0
