Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
CC1=C(C2=CC=C1)[C@@H]([C@@]3([C@@]2(CC[C@@]4(C3)O)[H])CC4=C)C[N+](C)(C)C,+,3-11,30.0,Low
CC1=C([C@H](CNC(C)=O)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,neutral,3-12,91.0,Low
OC[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@@H](O)[C@](C)(C3)CC2,neutral,3-15,113.0,Low
O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)[NH2+]C)=C,+,3-17,239.0,Low
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,3-19,49.0,Low
O=C1[C@]2(C)[C@H](N=[N+]=[N-])C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,neutral,3-21,16.0,Low
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[NH+](C)C)C=C)=O)ccn2,+,3-24,48.0,Low
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[N+](C)(C)C)C=C)=O)ccn2,+,3-25,44.0,Low
O=C(NC[C@H](C=C)[C@@H]1C[C@H]2[C@H](c3c4c(ncc3)ccc(OC)c4)SC(=O)N2CC1)C,neutral,3-26,91.0,Low
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CO)[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,neutral,3-29,21.0,Low
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,neutral,3-30,61.0,Low
O=C(OC)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,3-31,38.0,Low
COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[NH+](C)C)c3c1O,+,3-33,126.0,Low
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccc(C)cc3)=O,+,3-34,877.0,High
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1)c1ccc(C)cc1,neutral,3-35,25.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(C)cc1,neutral,3-36,111.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(C)cc1,neutral,3-37,152.0,Low
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccccc3)=O,+,3-38,616.0,High
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH2+]C)(c3ccccc3)=O,+,3-39,339.0,High
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH+](C)C)(c3ccccc3)=O,+,3-40,116.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccccc1,neutral,3-41,93.0,Low
[NH3+][C@H]([C@H]1OC2)CO[C@@H]1[C@@H]2OCc3ccccc3,+,3-42,552.0,High
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,neutral,3-43,20.0,Low
O=C(N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1)C,neutral,3-44,103.0,Low
O=C1[C@@]2(C[C@@]3(C1)[C@H](c4c([C@H]3CC2)cccc4C)[NH3+])CO,+,3-45,542.0,High
O=C1[C@@]2(C[C@@]3(C1)[C@H](C4C(CCCC4[C@H]3CC2)C)[NH2+]C)CO,+,3-46,179.0,Low
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,neutral,3-48,86.0,Low
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2)C,neutral,3-49,69.0,Low
O=C1[C@@]2(C[C@@]3(C1)[C@H](c4c([C@H]3CC2)cccc4C)[NH3+])C,+,3-50,515.0,High
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,neutral,3-52,28.0,Low
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2)C,neutral,3-53,49.0,Low
O=C([C@]12C(C[C@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)[NH3+])=O)[O-],±,3-54,238.0,Low
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccc(c4ccccc4)cc3)=O,+,2-1,1965.0,High
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@@H]([C@H]3OC2)[NH3+])=O)cc1,+,2-2,1647.0,High
O[C@]12C(C[C@]3([C@@H](C[NH3+])c4c(C)cccc4[C@H]3CC2)C1)=C,+,2-3,1335.0,High
[NH3+]C[C@H]1c2c([C@@H]3[C@]14C[C@H]([C@](C4)(CC3)C)[NH3+])cccc2C,+ +,2-4,946.0,High
O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)[NH3+])=C,+,2-5,756.0,High
O=C1[C@@]2([C@@H](C=C[C@@]3([C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C[NH3+])O1)[NH3+])C,+ +,2-6,504.0,High
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[NH3+])C=C)=O)ccn2,+,2-7,458.0,High
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccc(N)cc3)=O,+,2-8,331.0,Low
O=C1[C@@]2([C@H](C=C[C@@]3([C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C[NH3+])O1)O)C,+,2-9,309.0,High
COC1=C[C@H]([C@H]([C@@H](c2ccc3c(OCO3)c24)[NH3+])[N@H+](CC5)C)[C@]54CNC1=O,+ +,2-10,219.0,Low
CO[C@H]1[C@@H](C[C@@]23[C@H](C1)[C@H](Cc4ccc(OC)c(O)c43)[NH2+]CC2)[NH3+],+ +,2-11,204.0,Low
COc(c1)ccc2c1c([C@@H]([C@H]3N4C[C@@H]([C@@H](CC4)C3)C=C)[NH3+])ccn2,+,2-12,167.0,Low
[NH3+][C@@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+],+ +,2-13,20.0,Low
O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+],+,2-14,0.0,Low
COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[NH2+]C)c3c1O,+,2-15,525.0,High
OCC[NH2+][C@H]1c2c([C@@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)cccc2C,+,2-16,497.0,High
Oc1c(C[NH2+][C@H]2c3c([C@@H]4[C@@]25CC([C@@](C5)(CC4)O)=C)cccc3C)cccc1O,+,2-17,493.0,Low
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[NH2+]C)C=C)=O)ccn2,+,2-18,390.0,High
O=C(c1ccnc2ccc(OC)cc12)CC[C@H]3[C@H](C[NH2+]CC3)C=C,+,2-19,201.0,Low
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@@H]([C@H]3OC2)[NH2+]C)=O)cc1,+,2-20,176.0,Low
O=C([C@H]1[C@@H]2[C@]3([C@H]([C@@H]([C@H]4O[C@@]24[C@H]5[C@]16CC([C@](C6)(CC5)C[NH2+]C(C)(C)C)=O)OC3=O)O)C)NC7CC7,+,2-21,175.0,Low
COc1ccc(C([C@@H]2[NH2+]CC[C@@]34[C@@H]2C=C(C(C4)=O)OC)=O)c3c1O,+,2-22,154.0,Low
O=C1[C@@]2(C[C@@]3(C1)[C@H](c4c([C@H]3CC2)cccc4C)[NH2+]CCO)CO,+,2-23,118.0,Low
O=C([C@H]1[C@@H]2[C@]3([C@H]([C@@H]([C@H]4O[C@@]24[C@H]5[C@]16CC([C@](C6)(CC5)C[NH2+]C7CC7)=O)OC3=O)O)C)NC8CC8,+,2-24,113.0,Low
O=C1[C@@]2(C[C@@]3(C1)[C@H](c4c([C@H]3CC2)cccc4C)[NH2+]CCO)C,+,2-25,98.0,Low
O=C([C@H]1[C@@H]2[C@]3([C@H]([C@@H](C=C2[C@H]4[C@]15CC([C@](C5)(CC4)C[NH2+]Cc6ccco6)=O)OC3=O)O)C)NC7CCC7,+,2-26,67.0,Low
O=C([C@@H](CO)[NH2+]C[C@]12C(C[C@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)C(OC)=O)=O)OC,+,2-27,54.0,Low
O=C([C@@H](C)[NH2+]C[C@]12C(C[C@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)C(OC)=O)=O)OC,+,2-28,16.0,Low
COc1ccc(C2)c3c1O[C@@H]4C(C(OC)=C[C@@H]5[C@H]2[N@H+](CC[C@@]453)C)=O,+,2-29,407.0,High
COc(c1)ccc2c1c([C@H]([C@H]3[NH+]4C[C@@H]([C@@H](CC4)C3)C=C)O)ccn2,+,2-30,261.0,Low
COc1ccc2nccc([C@@H](O)[C@H]3[NH+]4C[C@H](C=C)[C@H](C3)CC4)c2c1,+,2-31,232.0,Low
COc1ccc(C[C@@H]2[N@H+](CC[C@@]34[C@@H]2C=C(C(C4)=O)OC)C)c3c1O,+,2-32,218.0,Low
COC1=C[C@H]([C@H](C=C2C3=C(C(C=C2)=O)O)[N@H+](CC4)C)[C@]43CC1=O,+,2-33,213.0,Low
COc1ccc2c3c1O[C@H]4[C@@]53[C@H](CCOC(NC4)=O)[C@H](C2)[NH+](CC5)C,+,2-34,209.0,Low
COc1ccc(C[C@@H]2[N@H+](CC[C@@]34[C@@H]2C=C(/C(C4)=N/O)OC)C)c3c1O,+,2-35,204.0,Low
COC(C(C[C@@](c1c2ccc3c1OCO3)4CC[NH+](C)C)=O)=CC4=CC2=O,+,2-36,139.0,Low
COc1ccc(C=CC([C@@]23C[C@@]([NH+](CC3)C)4O)=CC4=O)c2c1O,+,2-37,134.0,Low
COc1ccc(C([C@@H]2[N@H+](CC[C@@]34[C@@H]2C=C(/C(C4)=N/O)OC)C)=O)c3c1O,+,2-38,107.0,Low
O=C(CC[C@]1(C(CC[C@@H]2[C@@H]1C(C[C@@]3(C(CC[C@@H]23)=O)C)=O)=O)C)NCCC[NH+](C)C,+,2-39,72.0,Low
CO[C@H]1[C@@H]2[N@H+](CC[C@]3(C(C(C(OC)=C4)=O)=C1C4=O)[C@@H]2C=C(C(C3)=O)OC)C,+,2-40,3.0,Low
COc1ccc2c([C@]3(C(C=C2)=Cc4c(C3)nc5ccccc5n4)CC[NH+](C)C)c1O,+,2-41,1.0,Low
O=C([C@H]1c2c([C@@H]3[C@]14CC([C@](C4)(CC3)C)=O)cccc2C)[O-],-,2-42,138.0,Low
