Canonical SMILES,name
O=C(NC[C@H](C=C)[C@@H]1C[C@H]2[C@H](c3c4c(ncc3)ccc(OC)c4)SC(=O)N2CC1)C,3-26
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CO)[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,3-29
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,3-30
O=C(OC)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,3-31
COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[NH+](C)C)c3c1O,3-33
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccc(C)cc3)=O,3-34
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1)c1ccc(C)cc1,3-35
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(C)cc1,3-36
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(C)cc1,3-37
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccccc3)=O,3-38
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH2+]C)(c3ccccc3)=O,3-39
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH+](C)C)(c3ccccc3)=O,3-40
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccccc1,3-41
[NH3+][C@H]([C@H]1OC2)CO[C@@H]1[C@@H]2OCc3ccccc3,3-42
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,3-43
O=C(N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1)C,3-44
O=C1[C@@]2(C[C@@]3(C1)[C@H](c4c([C@H]3CC2)cccc4C)[NH3+])CO,3-45
O=C1[C@@]2(C[C@@]3(C1)[C@H](C4C(CCCC4[C@H]3CC2)C)[NH2+]C)CO,3-46
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,3-48
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2)C,3-49
O=C1[C@@]2(C[C@@]3(C1)[C@H](c4c([C@H]3CC2)cccc4C)[NH3+])C,3-50
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,3-52
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2)C,3-53
O=C([C@]12C(C[C@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)[NH3+])=O)[O-],3-54
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccc(c4ccccc4)cc3)=O,2-1
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@@H]([C@H]3OC2)[NH3+])=O)cc1,2-2
O[C@]12C(C[C@]3([C@@H](C[NH3+])c4c(C)cccc4[C@H]3CC2)C1)=C,2-3
[NH3+]C[C@H]1c2c([C@@H]3[C@]14C[C@H]([C@](C4)(CC3)C)[NH3+])cccc2C,2-4
O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)[NH3+])=C,2-5
O=C1[C@@]2([C@@H](C=C[C@@]3([C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C[NH3+])O1)[NH3+])C,2-6
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[NH3+])C=C)=O)ccn2,2-7
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccc(N)cc3)=O,2-8
O=C1[C@@]2([C@H](C=C[C@@]3([C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C[NH3+])O1)O)C,2-9
COC1=C[C@H]([C@H]([C@@H](c2ccc3c(OCO3)c24)[NH3+])[N@H+](CC5)C)[C@]54CNC1=O,2-10
CO[C@H]1[C@@H](C[C@@]23[C@H](C1)[C@H](Cc4ccc(OC)c(O)c43)[NH2+]CC2)[NH3+],2-11
COc(c1)ccc2c1c([C@@H]([C@H]3N4C[C@@H]([C@@H](CC4)C3)C=C)[NH3+])ccn2,2-12
[NH3+][C@@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+],2-13
O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+],2-14
COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[NH2+]C)c3c1O,2-15
OCC[NH2+][C@H]1c2c([C@@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)cccc2C,2-16
